ACBK1g00001,Mpyg-1-004012
ACBK2g02897,.
ACBK2g02898,Mpyg-3-003210
ACBK2g02899,.
ACBK2g02900,.
ACBK2g02901,Mpyg-3-003211
ACBK2g02902,.
ACBK2g02903,Mpyg-3-003213
ACBK2g02904,Mpyg-3-003214
ACBK2g02905,.
ACBK2g02906,Mpyg-3-003215
ACBK2g02907,.
ACBK2g02908,Mpyg-3-003217
ACBK2g02909,Mpyg-3-003218
ACBK2g02910,Mpyg-3-003220
ACBK2g02911,.
ACBK2g02912,Mpyg-3-003223
ACBK2g02913,Mpyg-3-003224
ACBK2g02914,Mpyg-3-003225
ACBK2g02915,Mpyg-3-003227
ACBK2g02916,Mpyg-3-003228
ACBK2g02917,Mpyg-3-003229
ACBK2g02918,.
ACBK2g02919,Mpyg-3-003230
ACBK2g02920,.
ACBK2g02921,.
ACBK2g02922,Mpyg-3-003232
ACBK2g02923,Mpyg-3-003233
ACBK2g02924,Mpyg-3-003234
ACBK2g02925,Mpyg-3-003235
ACBK2g02926,.
ACBK2g02927,.
ACBK2g02928,.
ACBK2g02929,.
ACBK2g02930,.
ACBK2g02931,.
ACBK2g02932,Mpyg-3-003236
ACBK2g02933,Mpyg-3-003237
ACBK2g02934,.
ACBK2g02935,Mpyg-3-003238
ACBK2g02936,Mpyg-3-003239
ACBK2g02937,.
ACBK2g02938,.
ACBK2g02939,Mpyg-3-003253
ACBK2g02940,.
ACBK2g02941,.
ACBK2g02942,.
ACBK2g02943,Mpyg-3-003252
ACBK2g02944,Mpyg-3-003251
ACBK2g02945,.
ACBK2g02946,Mpyg-3-003249
ACBK2g02947,Mpyg-3-003248
ACBK2g02948,Mpyg-3-003247
ACBK2g02949,.
ACBK2g02950,.
ACBK2g02951,Mpyg-3-003245
ACBK2g02952,Mpyg-3-003244
ACBK2g02953,Mpyg-3-003243
ACBK2g02954,.
ACBK2g02955,.
ACBK2g02956,.
ACBK2g02957,Mpyg-3-003242
ACBK2g02958,.
ACBK2g02959,.
ACBK2g02960,Mpyg-3-003254
ACBK2g02961,Mpyg-3-003255
ACBK2g02962,.
ACBK2g02963,.
ACBK2g02964,.
ACBK2g02965,.
ACBK2g02966,Mpyg-3-003281
ACBK2g02967,Mpyg-3-003280
ACBK2g02968,Mpyg-3-003279
ACBK2g02969,Mpyg-3-003278
ACBK2g02970,Mpyg-3-003276
ACBK2g02971,.
ACBK2g02972,.
ACBK2g02973,.
ACBK2g02974,Mpyg-3-003275
ACBK2g02975,Mpyg-3-003274
ACBK2g02976,.
ACBK2g02977,Mpyg-3-003272
ACBK2g02978,Mpyg-3-003271
ACBK2g02979,Mpyg-3-003270
ACBK2g02980,Mpyg-3-003269
ACBK2g02981,Mpyg-3-003266
ACBK2g02982,.
ACBK2g02983,Mpyg-3-003265
ACBK2g02984,Mpyg-3-003264
ACBK2g02985,.
ACBK2g02986,.
ACBK2g02987,.
ACBK2g02988,Mpyg-3-003296
ACBK2g02989,.
ACBK2g02990,.
ACBK2g02991,Mpyg-3-003335
ACBK2g02992,Mpyg-3-003336
ACBK2g02993,Mpyg-3-003338
ACBK2g02994,.
ACBK2g02995,.
ACBK2g02996,.
ACBK2g02997,.
ACBK2g02998,Mpyg-3-003340
ACBK2g02999,.
ACBK2g03000,.
ACBK2g03001,Mpyg-3-003342
ACBK2g03002,.
ACBK2g03003,Mpyg-3-003343
ACBK2g03004,.
ACBK2g03005,Mpyg-3-003345
ACBK2g03006,Mpyg-3-003347
ACBK2g03007,Mpyg-3-003348
ACBK2g03008,Mpyg-3-003349
ACBK2g03009,.
ACBK2g03010,Mpyg-3-003350
ACBK2g03011,Mpyg-3-003351
ACBK2g03012,.
ACBK2g03013,.
ACBK2g03014,Mpyg-3-003352
ACBK2g03015,.
ACBK2g03016,Mpyg-3-003354
ACBK2g03017,Mpyg-3-003355
ACBK2g03018,Mpyg-3-003356
ACBK2g03019,Mpyg-3-003357
ACBK2g03020,Mpyg-3-003360
ACBK2g03021,Mpyg-3-003361
ACBK2g03022,.
ACBK2g03023,Mpyg-3-003365
ACBK2g03024,Mpyg-3-003368
ACBK2g03025,.
ACBK2g03026,.
ACBK2g03027,Mpyg-3-003369
ACBK2g03028,Mpyg-3-003370
ACBK2g03029,Mpyg-3-003372
ACBK2g03030,.
ACBK2g03031,.
ACBK2g03032,Mpyg-3-003375
ACBK2g03033,Mpyg-3-003376
ACBK2g03034,Mpyg-3-003377
ACBK2g03035,.
ACBK2g03036,.
ACBK2g03037,.
ACBK2g03038,.
ACBK2g03039,.
ACBK2g03040,Mpyg-3-003319
ACBK2g03041,.
ACBK2g03042,Mpyg-3-003378
ACBK2g03043,Mpyg-3-003379
ACBK2g03044,Mpyg-3-003381
ACBK2g03045,Mpyg-3-003382
ACBK2g03046,Mpyg-3-003333
ACBK2g03047,Mpyg-3-003384
ACBK2g03048,Mpyg-3-003332
ACBK2g03049,.
ACBK2g03050,Mpyg-3-003386
ACBK2g03051,Mpyg-3-003331
ACBK2g03052,.
ACBK2g03053,.
ACBK2g03054,Mpyg-3-003330
ACBK2g03055,Mpyg-3-003329
ACBK2g03056,Mpyg-3-003323
ACBK2g03057,.
ACBK2g03058,Mpyg-3-003393
ACBK2g03059,Mpyg-3-003320
ACBK2g03060,Mpyg-3-003395
ACBK2g03061,Mpyg-3-003397
ACBK2g03062,.
ACBK2g03063,.
ACBK2g03064,Mpyg-3-003398
ACBK2g03065,.
ACBK2g03066,Mpyg-3-003402
ACBK2g03067,Mpyg-3-003403
ACBK2g03068,.
ACBK2g03069,Mpyg-3-003404
ACBK2g03070,Mpyg-3-003405
ACBK2g03071,Mpyg-3-003406
ACBK2g03072,Mpyg-3-003486
ACBK2g03073,Mpyg-3-003483
ACBK2g03074,Mpyg-3-003482
ACBK2g03075,.
ACBK2g03076,Mpyg-3-003481
ACBK2g03077,Mpyg-3-003480
ACBK2g03078,Mpyg-3-003479
ACBK2g03079,Mpyg-3-003317
ACBK2g03080,.
ACBK2g03081,.
ACBK2g03082,.
ACBK2g03083,.
ACBK2g03084,.
ACBK2g03085,.
ACBK2g03086,.
ACBK2g03087,.
ACBK2g03088,.
ACBK2g03089,.
ACBK2g03090,Mpyg-3-003467
ACBK2g03091,Mpyg-3-003466
ACBK2g03092,Mpyg-3-003416
ACBK2g03093,Mpyg-3-003417
ACBK2g03094,.
ACBK2g03095,.
ACBK2g03096,.
ACBK2g03097,Mpyg-3-003418
ACBK2g03098,Mpyg-3-003419
ACBK2g03099,Mpyg-3-003420
ACBK2g03100,.
ACBK2g03101,Mpyg-3-003421
ACBK2g03102,.
ACBK2g03103,Mpyg-3-003422
ACBK2g03104,Mpyg-3-003424
ACBK2g03105,.
ACBK2g03106,.
ACBK2g03107,Mpyg-3-003427
ACBK2g03108,Mpyg-3-003429
ACBK2g03109,.
ACBK2g03110,.
ACBK2g03111,Mpyg-3-003430
ACBK2g03112,.
ACBK2g03113,.
ACBK2g03114,.
ACBK2g03115,.
ACBK2g03116,Mpyg-3-003436
ACBK2g03117,Mpyg-3-003437
ACBK2g03118,Mpyg-3-003438
ACBK2g03119,Mpyg-3-003439
ACBK2g03120,.
ACBK2g03121,.
ACBK2g03122,Mpyg-3-003440
ACBK2g03123,.
ACBK2g03124,.
ACBK2g03125,.
ACBK2g03126,.
ACBK2g03127,.
ACBK2g03128,Mpyg-3-003441
ACBK2g03129,Mpyg-3-003442
ACBK2g03130,Mpyg-3-003443
ACBK2g03131,Mpyg-3-003444
ACBK2g03132,.
ACBK2g03133,Mpyg-3-003445
ACBK2g03134,Mpyg-3-003447
ACBK2g03135,Mpyg-3-003448
ACBK2g03136,Mpyg-3-003449
ACBK2g03137,Mpyg-3-003450
ACBK2g03138,Mpyg-3-003452
ACBK2g03139,.
ACBK2g03140,.
ACBK2g03141,Mpyg-3-003453
ACBK2g03142,.
ACBK2g03143,Mpyg-3-003454
ACBK2g03144,Mpyg-3-003456
ACBK2g03145,Mpyg-3-003457
ACBK2g03146,.
ACBK2g03147,.
ACBK2g03148,.
ACBK2g03149,.
ACBK2g03150,.
ACBK2g03151,.
ACBK2g03152,.
ACBK2g03153,.
ACBK2g03154,.
ACBK2g03155,Mpyg-3-003458
ACBK2g03156,Mpyg-3-003459
ACBK2g03157,Mpyg-3-003460
ACBK2g03158,
ACBK2g03159,
ACBK2g03160,
ACBK2g03161,
ACBK2g03162,
ACBK2g03163,
ACBK2g03164,
ACBK2g03165,
ACBK2g03166,
ACBK2g03167,
ACBK2g03168,
ACBK2g03169,
ACBK2g03170,
ACBK2g03171,
ACBK2g03172,
ACBK2g03173,
ACBK2g03174,
ACBK2g03175,
ACBK2g03176,
ACBK2g03177,
ACBK2g03178,
ACBK2g03179,
ACBK2g03180,
ACBK2g03181,
ACBK3g00001,Mpyg-6-005230
ACBK3g00002,Mpyg-6-005229
ACBK3g00003,Mpyg-6-005228
ACBK3g00004,Mpyg-6-005227
ACBK3g00005,Mpyg-6-005224
ACBK3g00006,Mpyg-6-005221
ACBK3g00007,.
ACBK3g00008,Mpyg-6-005220
ACBK3g00009,Mpyg-6-005219
ACBK3g00010,Mpyg-6-005217
ACBK3g00011,Mpyg-6-005216
ACBK3g00012,.
ACBK3g00013,.
ACBK3g00014,.
ACBK3g00015,Mpyg-6-005213
ACBK3g00016,Mpyg-6-005212
ACBK3g00017,Mpyg-6-005211
ACBK3g00018,Mpyg-6-005210
ACBK3g00019,Mpyg-6-005208
ACBK3g00020,Mpyg-6-005207
ACBK3g00021,Mpyg-6-005206
ACBK3g00022,Mpyg-6-005205
ACBK3g00023,Mpyg-6-005204
ACBK3g00024,Mpyg-6-005203
ACBK3g00025,Mpyg-6-005202
ACBK3g00026,Mpyg-6-005201
ACBK3g00027,Mpyg-6-005200
ACBK3g00028,Mpyg-6-005199
ACBK3g00029,Mpyg-6-005198
ACBK3g00030,.
ACBK3g00031,Mpyg-6-005196
ACBK3g00032,.
ACBK3g00033,Mpyg-6-005195
ACBK3g00034,Mpyg-6-005194
ACBK3g00035,Mpyg-6-005193
ACBK3g00036,Mpyg-6-005192
ACBK3g00037,Mpyg-6-005191
ACBK3g00038,.
ACBK3g00039,Mpyg-6-005190
ACBK3g00040,Mpyg-6-005189
ACBK3g00041,.
ACBK3g00042,.
ACBK3g00043,Mpyg-6-005188
ACBK3g00044,Mpyg-6-005187
ACBK3g00045,.
ACBK3g00046,Mpyg-6-005186
ACBK3g00047,Mpyg-6-005185
ACBK3g00048,Mpyg-6-005184
ACBK3g00049,.
ACBK3g00050,Mpyg-6-005182
ACBK3g00051,Mpyg-6-005181
ACBK3g00052,Mpyg-6-005180
ACBK3g00053,.
ACBK3g00054,Mpyg-6-005179
ACBK3g00055,Mpyg-6-005178
ACBK3g00056,.
ACBK3g00057,Mpyg-6-005176
ACBK3g00058,.
ACBK3g00059,Mpyg-6-005175
ACBK3g00060,Mpyg-6-005174
ACBK3g00061,.
ACBK3g00062,Mpyg-6-005172
ACBK3g00063,Mpyg-6-005171
ACBK3g00064,.
ACBK3g00065,.
ACBK3g00066,Mpyg-6-005169
ACBK3g00067,Mpyg-6-005168
ACBK3g00068,Mpyg-6-005167
ACBK3g00069,.
ACBK3g00070,Mpyg-6-005166
ACBK3g00071,Mpyg-6-005165
ACBK3g00072,Mpyg-6-005164
ACBK3g00073,.
ACBK3g00074,.
ACBK3g00075,.
ACBK3g00076,.
ACBK3g00077,Mpyg-6-005163
ACBK3g00078,.
ACBK3g00079,.
ACBK3g00080,Mpyg-6-005162
ACBK3g00081,Mpyg-6-005161
ACBK3g00082,Mpyg-6-005160
ACBK3g00083,Mpyg-6-005159
ACBK3g00084,Mpyg-6-005158
ACBK3g00085,Mpyg-6-005155
ACBK3g00086,Mpyg-6-005154
ACBK3g00087,.
ACBK3g00088,Mpyg-6-005152
ACBK3g00089,Mpyg-6-005151
ACBK3g00090,Mpyg-6-005150
ACBK3g00091,Mpyg-6-005149
ACBK3g00092,.
ACBK3g00093,Mpyg-6-005148
ACBK3g00094,Mpyg-6-005146
ACBK3g00095,Mpyg-6-005145
ACBK3g00096,Mpyg-6-005144
ACBK3g00097,Mpyg-6-005143
ACBK3g00098,.
ACBK3g00099,.
ACBK3g00100,Mpyg-6-005142
ACBK3g00101,Mpyg-6-005141
ACBK3g00102,Mpyg-6-005140
ACBK3g00103,Mpyg-6-005137
ACBK3g00104,Mpyg-6-005136
ACBK3g00105,Mpyg-6-005135
ACBK3g00106,Mpyg-6-005134
ACBK3g00107,Mpyg-6-005133
ACBK3g00108,Mpyg-6-005132
ACBK3g00109,Mpyg-6-005131
ACBK3g00110,Mpyg-6-005130
ACBK3g00111,.
ACBK3g00112,Mpyg-6-005129
ACBK3g00113,Mpyg-6-005128
ACBK3g00114,Mpyg-6-005127
ACBK3g00115,Mpyg-6-005126
ACBK3g00116,Mpyg-6-005125
ACBK3g00117,Mpyg-6-005124
ACBK3g00118,.
ACBK3g00119,Mpyg-6-005123
ACBK3g00120,.
ACBK3g00121,Mpyg-6-005120
ACBK3g00122,Mpyg-6-005119
ACBK3g00123,Mpyg-6-005118
ACBK3g00124,Mpyg-6-005116
ACBK3g00125,.
ACBK3g00126,Mpyg-6-005115
ACBK3g00127,Mpyg-6-005114
ACBK3g00128,Mpyg-6-005113
ACBK3g00129,Mpyg-6-005112
ACBK3g00130,.
ACBK3g00131,Mpyg-6-005111
ACBK3g00132,Mpyg-6-005110
ACBK3g00133,.
ACBK3g00134,Mpyg-6-005108
ACBK3g00135,Mpyg-6-005107
ACBK3g00136,.
ACBK3g00137,Mpyg-6-005106
ACBK3g00138,Mpyg-6-005105
ACBK3g00139,Mpyg-6-005104
ACBK3g00140,Mpyg-6-005103
ACBK3g00141,Mpyg-6-005102
ACBK3g00142,.
ACBK3g00143,Mpyg-6-005101
ACBK3g00144,Mpyg-6-005088
ACBK3g00145,Mpyg-6-005089
ACBK3g00146,.
ACBK3g00147,Mpyg-6-005090
ACBK3g00148,Mpyg-6-005091
ACBK3g00149,.
ACBK3g00150,Mpyg-6-005092
ACBK3g00151,.
ACBK3g00152,Mpyg-6-005095
ACBK3g00153,.
ACBK3g00154,.
ACBK3g00155,Mpyg-6-005085
ACBK3g00156,Mpyg-6-005084
ACBK3g00157,Mpyg-6-005083
ACBK3g00158,Mpyg-6-005082
ACBK3g00159,Mpyg-6-005081
ACBK3g00160,Mpyg-6-005080
ACBK3g00161,Mpyg-6-005079
ACBK3g00162,.
ACBK3g00163,.
ACBK3g00164,Mpyg-6-005077
ACBK3g00165,Mpyg-6-005076
ACBK3g00166,Mpyg-6-005075
ACBK3g00167,Mpyg-6-005074
ACBK3g00168,Mpyg-6-005073
ACBK3g00169,Mpyg-6-005072
ACBK3g00170,Mpyg-6-005070
ACBK3g00171,.
ACBK3g00172,Mpyg-6-005069
ACBK3g00173,Mpyg-6-005068
ACBK3g00174,Mpyg-6-005067
ACBK3g00175,Mpyg-6-005065
ACBK3g00176,Mpyg-6-005064
ACBK3g00177,Mpyg-6-005063
ACBK3g00178,Mpyg-6-005062
ACBK3g00179,Mpyg-6-005061
ACBK3g00180,.
ACBK3g00181,Mpyg-6-005060
ACBK3g00182,Mpyg-6-005059
ACBK3g00183,Mpyg-6-005058
ACBK3g00184,Mpyg-6-005056
ACBK3g00185,Mpyg-6-005055
ACBK3g00186,.
ACBK3g00187,Mpyg-6-005054
ACBK3g00188,.
ACBK3g00189,Mpyg-6-005053
ACBK3g00190,Mpyg-6-005052
ACBK3g00191,Mpyg-6-005050
ACBK3g00192,.
ACBK3g00193,Mpyg-6-005049
ACBK3g00194,.
ACBK3g00195,Mpyg-6-005048
ACBK3g00196,Mpyg-6-005047
ACBK3g00197,Mpyg-6-005046
ACBK3g00198,Mpyg-6-005045
ACBK3g00199,Mpyg-6-005044
ACBK3g00200,Mpyg-6-005043
ACBK3g00201,.
ACBK3g00202,.
ACBK3g00203,Mpyg-6-005042
ACBK3g00204,Mpyg-6-005041
ACBK3g00205,.
ACBK3g00206,.
ACBK3g00207,Mpyg-6-005040
ACBK3g00208,.
ACBK3g00209,Mpyg-6-005039
ACBK3g00210,.
ACBK3g00211,.
ACBK3g00212,Mpyg-6-005037
ACBK3g00213,Mpyg-6-005036
ACBK3g00214,Mpyg-6-005035
ACBK3g00215,Mpyg-6-005034
ACBK3g00216,Mpyg-6-005033
ACBK3g00217,Mpyg-6-005032
ACBK3g00218,Mpyg-6-005031
ACBK3g00219,Mpyg-6-005030
ACBK3g00220,Mpyg-6-005029
ACBK3g00221,Mpyg-6-005028
ACBK3g00222,Mpyg-6-005027
ACBK3g00223,Mpyg-6-005026
ACBK3g00224,Mpyg-6-005025
ACBK3g00225,Mpyg-6-005024
ACBK3g00226,Mpyg-6-005023
ACBK3g00227,Mpyg-6-005022
ACBK3g00228,Mpyg-6-005021
ACBK3g00229,Mpyg-6-005020
ACBK3g00230,Mpyg-6-005019
ACBK3g00231,.
ACBK3g00232,Mpyg-6-005018
ACBK3g00233,Mpyg-6-005017
ACBK3g00234,Mpyg-6-005015
ACBK3g00235,.
ACBK3g00236,Mpyg-6-005014
ACBK3g00237,Mpyg-6-005012
ACBK3g00238,Mpyg-6-005011
ACBK3g00239,.
ACBK3g00240,.
ACBK3g00241,Mpyg-6-005010
ACBK3g00242,.
ACBK3g00243,Mpyg-6-005009
ACBK3g00244,.
ACBK3g00245,Mpyg-6-005008
ACBK3g00246,Mpyg-6-005005
ACBK3g00247,Mpyg-6-005004
ACBK3g00248,.
ACBK3g00249,Mpyg-6-005002
ACBK3g00250,Mpyg-6-005001
ACBK3g00251,Mpyg-6-005000
ACBK3g00252,Mpyg-6-004999
ACBK3g00253,Mpyg-6-004997
ACBK3g00254,Mpyg-6-004996
ACBK3g00255,.
ACBK3g00256,Mpyg-6-004995
ACBK3g00257,Mpyg-6-004994
ACBK3g00258,Mpyg-6-004993
ACBK3g00259,.
ACBK3g00260,.
ACBK3g00261,Mpyg-6-004992
ACBK3g00262,Mpyg-6-004991
ACBK3g00263,Mpyg-6-004990
ACBK3g00264,Mpyg-6-004989
ACBK3g00265,.
ACBK3g00266,.
ACBK3g00267,Mpyg-6-004987
ACBK3g00268,Mpyg-6-004985
ACBK3g00269,Mpyg-6-004984
ACBK3g00270,Mpyg-6-004983
ACBK3g00271,Mpyg-6-004982
ACBK3g00272,Mpyg-6-004981
ACBK3g00273,Mpyg-6-004980
ACBK3g00274,Mpyg-6-004978
ACBK3g00275,Mpyg-6-004977
ACBK3g00276,Mpyg-6-004976
ACBK3g00277,Mpyg-6-004975
ACBK3g00278,Mpyg-6-004974
ACBK3g00279,.
ACBK3g00280,.
ACBK3g00281,Mpyg-6-004973
ACBK3g00282,Mpyg-6-004972
ACBK3g00283,Mpyg-6-004971
ACBK3g00284,Mpyg-6-004970
ACBK3g00285,Mpyg-6-004969
ACBK3g00286,Mpyg-6-004968
ACBK3g00287,.
ACBK3g00288,Mpyg-6-004964
ACBK3g00289,Mpyg-6-004962
ACBK3g00290,Mpyg-6-004959
ACBK3g00291,.
ACBK3g00292,Mpyg-6-004958
ACBK3g00293,.
ACBK3g00294,.
ACBK3g00295,.
ACBK3g00296,Mpyg-6-004957
ACBK3g00297,.
ACBK3g00298,Mpyg-6-004956
ACBK3g00299,Mpyg-6-004955
ACBK3g00300,Mpyg-6-004954
ACBK3g00301,.
ACBK3g00302,Mpyg-6-004951
ACBK3g00303,Mpyg-6-004950
ACBK3g00304,Mpyg-6-004949
ACBK3g00305,Mpyg-6-004948
ACBK3g00306,Mpyg-6-004947
ACBK3g00307,Mpyg-6-004946
ACBK3g00308,Mpyg-6-004945
ACBK3g00309,.
ACBK3g00310,Mpyg-6-004944
ACBK3g00311,Mpyg-6-004943
ACBK3g00312,Mpyg-6-004942
ACBK3g00313,Mpyg-6-004940
ACBK3g00314,Mpyg-6-004939
ACBK3g00315,Mpyg-6-004938
ACBK3g00316,Mpyg-6-004937
ACBK3g00317,.
ACBK3g00318,.
ACBK3g00319,Mpyg-6-004935
ACBK3g00320,.
ACBK3g00321,.
ACBK3g00322,Mpyg-6-004934
ACBK3g00323,Mpyg-6-004933
ACBK3g00324,.
ACBK3g00325,.
ACBK3g00326,Mpyg-6-004932
ACBK3g00327,.
ACBK3g00328,.
ACBK3g00329,Mpyg-6-004931
ACBK3g00330,Mpyg-6-004930
ACBK3g00331,Mpyg-6-004925
ACBK3g00332,.
ACBK3g00333,Mpyg-6-004924
ACBK3g00334,Mpyg-6-004922
ACBK3g00335,Mpyg-6-004921
ACBK3g00336,Mpyg-6-004920
ACBK3g00337,Mpyg-6-004919
ACBK3g00338,Mpyg-6-004918
ACBK3g00339,Mpyg-6-004917
ACBK3g00340,Mpyg-6-004916
ACBK3g00341,Mpyg-6-004915
ACBK3g00342,.
ACBK3g00343,Mpyg-6-004914
ACBK3g00344,Mpyg-6-004913
ACBK3g00345,Mpyg-6-004912
ACBK3g00346,Mpyg-6-004911
ACBK3g00347,Mpyg-6-004910
ACBK3g00348,Mpyg-6-004909
ACBK3g00349,Mpyg-6-004908
ACBK3g00350,Mpyg-6-004906
ACBK3g00351,Mpyg-6-004905
ACBK3g00352,Mpyg-6-004904
ACBK3g00353,Mpyg-6-004903
ACBK3g00354,.
ACBK3g00355,Mpyg-6-004902
ACBK3g00356,Mpyg-6-004901
ACBK3g00357,Mpyg-6-004900
ACBK3g00358,Mpyg-6-004899
ACBK3g00359,.
ACBK3g00360,Mpyg-6-004897
ACBK3g00361,Mpyg-6-004896
ACBK3g00362,Mpyg-6-004895
ACBK3g00363,Mpyg-6-004894
ACBK3g00364,.
ACBK3g00365,Mpyg-6-004893
ACBK3g00366,Mpyg-6-004892
ACBK3g00367,.
ACBK3g00368,Mpyg-6-004891
ACBK3g00369,Mpyg-6-004890
ACBK3g00370,Mpyg-6-004889
ACBK3g00371,Mpyg-6-004888
ACBK3g00372,Mpyg-6-004887
ACBK3g00373,Mpyg-6-004886
ACBK3g00374,Mpyg-6-004885
ACBK3g00375,Mpyg-6-004884
ACBK3g00376,Mpyg-6-004883
ACBK3g00377,Mpyg-6-004882
ACBK3g00378,Mpyg-6-004880
ACBK3g00379,Mpyg-6-004878
ACBK3g00380,.
ACBK3g00381,Mpyg-6-004877
ACBK3g00382,.
ACBK3g00383,Mpyg-6-004875
ACBK3g00384,Mpyg-6-004874
ACBK3g00385,Mpyg-6-004873
ACBK3g00386,Mpyg-6-004872
ACBK3g00387,Mpyg-6-004871
ACBK3g00388,.
ACBK3g00389,.
ACBK3g00390,Mpyg-6-004870
ACBK3g00391,.
ACBK3g00392,.
ACBK3g00393,Mpyg-6-004869
ACBK3g00394,Mpyg-6-004868
ACBK3g00395,Mpyg-6-004867
ACBK3g00396,Mpyg-6-004866
ACBK3g00397,.
ACBK3g00398,Mpyg-6-004865
ACBK3g00399,.
ACBK3g00400,Mpyg-6-004864
ACBK3g00401,Mpyg-6-004863
ACBK3g00402,Mpyg-6-004860
ACBK3g00403,.
ACBK3g00404,Mpyg-6-004859
ACBK3g00405,Mpyg-6-004858
ACBK3g00406,Mpyg-6-004857
ACBK3g00407,Mpyg-6-004856
ACBK3g00408,Mpyg-6-004855
ACBK3g00409,.
ACBK3g00410,.
ACBK3g00411,Mpyg-6-004854
ACBK3g00412,Mpyg-6-004852
ACBK3g00413,Mpyg-6-004851
ACBK3g00414,Mpyg-6-004850
ACBK3g00415,Mpyg-6-004849
ACBK3g00416,Mpyg-6-004848
ACBK3g00417,Mpyg-6-004845
ACBK3g00418,Mpyg-6-004844
ACBK3g00419,Mpyg-6-004843
ACBK3g00420,.
ACBK3g00421,Mpyg-6-004842
ACBK3g00422,Mpyg-6-004841
ACBK3g00423,Mpyg-6-004840
ACBK3g00424,Mpyg-6-004838
ACBK3g00425,Mpyg-6-004837
ACBK3g00426,Mpyg-6-004836
ACBK3g00427,Mpyg-6-004835
ACBK3g00428,Mpyg-6-004834
ACBK3g00429,Mpyg-6-004833
ACBK3g00430,Mpyg-6-004832
ACBK3g00431,Mpyg-6-004831
ACBK3g00432,Mpyg-6-004830
ACBK3g00433,Mpyg-6-004829
ACBK3g00434,.
ACBK3g00435,.
ACBK3g00436,.
ACBK3g00437,Mpyg-6-004828
ACBK3g00438,Mpyg-6-004827
ACBK3g00439,Mpyg-6-004826
ACBK3g00440,Mpyg-6-004825
ACBK3g00441,Mpyg-6-004824
ACBK3g00442,Mpyg-6-004823
ACBK3g00443,Mpyg-6-004822
ACBK3g00444,Mpyg-6-004821
ACBK3g00445,Mpyg-6-004820
ACBK3g00446,Mpyg-6-004819
ACBK3g00447,.
ACBK3g00448,Mpyg-6-004818
ACBK3g00449,Mpyg-6-004817
ACBK3g00450,Mpyg-6-004816
ACBK3g00451,.
ACBK3g00452,.
ACBK3g00453,.
ACBK3g00454,.
ACBK3g00455,Mpyg-6-004815
ACBK3g00456,Mpyg-6-004814
ACBK3g00457,Mpyg-6-004813
ACBK3g00458,Mpyg-6-004812
ACBK3g00459,Mpyg-6-004811
ACBK3g00460,Mpyg-6-004810
ACBK3g00461,Mpyg-6-004809
ACBK3g00462,Mpyg-6-004808
ACBK3g00463,Mpyg-6-004807
ACBK3g00464,.
ACBK3g00465,Mpyg-6-004806
ACBK3g00466,.
ACBK3g00467,.
ACBK3g00468,Mpyg-6-004804
ACBK3g00469,Mpyg-6-004803
ACBK3g00470,.
ACBK3g00471,Mpyg-6-004802
ACBK3g00472,Mpyg-6-004801
ACBK3g00473,Mpyg-6-004799
ACBK3g00474,Mpyg-6-004798
ACBK3g00475,Mpyg-6-004797
ACBK3g00476,Mpyg-6-004796
ACBK3g00477,Mpyg-6-004795
ACBK3g00478,Mpyg-6-004794
ACBK3g00479,.
ACBK3g00480,Mpyg-6-004793
ACBK3g00481,Mpyg-6-004792
ACBK3g00482,Mpyg-6-004791
ACBK3g00483,.
ACBK3g00484,Mpyg-6-004790
ACBK3g00485,Mpyg-6-004788
ACBK3g00486,Mpyg-6-004786
ACBK3g00487,.
ACBK3g00488,.
ACBK3g00489,Mpyg-6-004785
ACBK3g00490,Mpyg-6-004784
ACBK3g00491,Mpyg-6-004783
ACBK3g00492,Mpyg-6-004782
ACBK3g00493,Mpyg-6-004781
ACBK3g00494,Mpyg-6-004780
ACBK3g00495,.
ACBK3g00496,Mpyg-6-004779
ACBK3g00497,Mpyg-6-004778
ACBK3g00498,Mpyg-6-004777
ACBK3g00499,Mpyg-6-004775
ACBK3g00500,.
ACBK3g00501,Mpyg-6-004774
ACBK3g00502,Mpyg-6-004773
ACBK3g00503,.
ACBK3g00504,Mpyg-6-004772
ACBK3g00505,Mpyg-6-004771
ACBK3g00506,Mpyg-6-004770
ACBK3g00507,.
ACBK3g00508,Mpyg-6-004769
ACBK3g00509,.
ACBK3g00510,.
ACBK3g00511,.
ACBK3g00512,Mpyg-6-004767
ACBK3g00513,.
ACBK3g00514,.
ACBK3g00515,Mpyg-6-004764
ACBK3g00516,.
ACBK3g00517,Mpyg-6-004763
ACBK3g00518,Mpyg-6-004762
ACBK3g00519,Mpyg-6-004759
ACBK3g00520,Mpyg-6-004758
ACBK3g00521,Mpyg-6-004757
ACBK3g00522,Mpyg-6-004756
ACBK3g00523,Mpyg-6-004755
ACBK3g00524,Mpyg-6-004754
ACBK3g00525,Mpyg-6-004753
ACBK3g00526,.
ACBK3g00527,Mpyg-6-004752
ACBK3g00528,Mpyg-6-004751
ACBK3g00529,Mpyg-6-004750
ACBK3g00530,Mpyg-6-004749
ACBK3g00531,.
ACBK3g00532,Mpyg-6-004748
ACBK3g00533,Mpyg-6-004746
ACBK3g00534,Mpyg-6-004744
ACBK3g00535,Mpyg-6-004743
ACBK3g00536,Mpyg-6-004742
ACBK3g00537,Mpyg-6-004741
ACBK3g00538,.
ACBK3g00539,Mpyg-6-004740
