ACBK1g00001,Ath-1-000118
ACBK2g02339,Ath-4-001227
ACBK2g02340,.
ACBK2g02341,Ath-4-001225
ACBK2g02342,Ath-4-001223
ACBK2g02343,Ath-4-001222
ACBK2g02344,Ath-4-001220
ACBK2g02345,Ath-4-001219
ACBK2g02346,Ath-4-001218
ACBK2g02347,Ath-4-001217
ACBK2g02348,Ath-4-001216
ACBK2g02349,Ath-4-001215
ACBK2g02350,Ath-4-001213
ACBK2g02351,.
ACBK2g02352,Ath-4-001212
ACBK2g02353,Ath-4-001211
ACBK2g02354,.
ACBK2g02355,.
ACBK2g02356,Ath-4-001210
ACBK2g02357,.
ACBK2g02358,Ath-4-001209
ACBK2g02359,Ath-4-001208
ACBK2g02360,.
ACBK2g02361,.
ACBK2g02362,Ath-4-001206
ACBK2g02363,.
ACBK2g02364,.
ACBK2g02365,.
ACBK2g02366,.
ACBK2g02367,Ath-4-001205
ACBK2g02368,Ath-4-001204
ACBK2g02369,.
ACBK2g02370,.
ACBK2g02371,.
ACBK2g02372,Ath-4-001197
ACBK2g02373,Ath-4-001196
ACBK2g02374,Ath-4-001195
ACBK2g02375,.
ACBK2g02376,.
ACBK2g02377,.
ACBK2g02378,.
ACBK2g02379,Ath-4-001194
ACBK2g02380,Ath-4-001193
ACBK2g02381,.
ACBK2g02382,.
ACBK2g02383,.
ACBK2g02384,.
ACBK2g02385,.
ACBK2g02386,.
ACBK2g02387,Ath-4-001191
ACBK2g02388,.
ACBK2g02389,.
ACBK2g02390,.
ACBK2g02391,Ath-4-001190
ACBK2g02392,.
ACBK2g02393,Ath-4-001189
ACBK2g02394,Ath-4-001188
ACBK2g02395,Ath-4-001187
ACBK2g02396,.
ACBK2g02397,Ath-4-001186
ACBK2g02398,Ath-4-001185
ACBK2g02399,.
ACBK2g02400,.
ACBK2g02401,.
ACBK2g02402,.
ACBK2g02403,.
ACBK2g02404,.
ACBK2g02405,Ath-4-001184
ACBK2g02406,Ath-4-001183
ACBK2g02407,Ath-4-001179
ACBK2g02408,Ath-4-001178
ACBK2g02409,.
ACBK2g02410,.
ACBK2g02411,Ath-4-001177
ACBK2g02412,Ath-4-001176
ACBK2g02413,Ath-4-001175
ACBK2g02414,.
ACBK2g02415,.
ACBK2g02416,Ath-4-001174
ACBK2g02417,.
ACBK2g02418,.
ACBK2g02419,.
ACBK2g02420,.
ACBK2g02421,.
ACBK2g02422,Ath-4-001168
ACBK2g02423,Ath-4-001167
ACBK2g02424,.
ACBK2g02425,.
ACBK2g02426,.
ACBK2g02427,.
ACBK2g02428,Ath-4-001163
ACBK2g02429,.
ACBK2g02430,Ath-4-001162
ACBK2g02431,.
ACBK2g02432,Ath-4-001158
ACBK2g02433,Ath-4-001157
ACBK2g02434,Ath-4-001156
ACBK2g02435,Ath-4-001155
ACBK2g02436,Ath-4-001154
ACBK2g02437,Ath-4-001152
ACBK2g02438,Ath-4-001149
ACBK2g02439,.
ACBK2g02440,.
ACBK2g02441,.
ACBK2g02442,.
ACBK2g02443,.
ACBK2g02444,.
ACBK2g02445,.
ACBK2g02446,.
ACBK2g02447,.
ACBK2g02448,.
ACBK2g02449,.
ACBK2g02450,.
ACBK2g02451,.
ACBK2g02452,.
ACBK2g02453,.
ACBK2g02454,.
ACBK2g02455,.
ACBK2g02456,.
ACBK2g02457,.
ACBK2g02458,.
ACBK2g02459,.
ACBK2g02460,Ath-4-001148
ACBK2g02461,Ath-4-001146
ACBK2g02462,.
ACBK2g02463,.
ACBK2g02464,.
ACBK2g02465,.
ACBK2g02466,Ath-4-001143
ACBK2g02467,Ath-4-001140
ACBK2g02468,.
ACBK2g02469,Ath-4-001139
ACBK2g02470,Ath-4-001138
ACBK2g02471,Ath-4-001137
ACBK2g02472,.
ACBK2g02473,.
ACBK2g02474,Ath-4-001136
ACBK2g02475,Ath-4-001134
ACBK2g02476,Ath-4-001133
ACBK2g02477,Ath-4-001127
ACBK2g02478,Ath-4-001126
ACBK2g02479,.
ACBK2g02480,Ath-4-001125
ACBK2g02481,Ath-4-001124
ACBK2g02482,Ath-4-001122
ACBK2g02483,Ath-4-001121
ACBK2g02484,Ath-4-001120
ACBK2g02485,Ath-4-001119
ACBK2g02486,Ath-4-001115
ACBK2g02487,.
ACBK2g02488,.
ACBK2g02489,Ath-4-001113
ACBK2g02490,Ath-4-001112
ACBK2g02491,Ath-4-001110
ACBK2g02492,.
ACBK2g02493,Ath-4-001109
ACBK2g02494,.
ACBK2g02495,.
ACBK2g02496,Ath-4-001099
ACBK2g02497,Ath-4-001098
ACBK2g02498,.
ACBK2g02499,.
ACBK2g02500,Ath-4-001100
ACBK2g02501,Ath-4-001101
ACBK2g02502,Ath-4-001102
ACBK2g02503,Ath-4-001103
ACBK2g02504,.
ACBK2g02505,.
ACBK2g02506,Ath-4-001104
ACBK2g02507,Ath-4-001105
ACBK2g02508,.
ACBK2g02509,Ath-4-001106
ACBK2g02510,
ACBK2g02511,
ACBK2g02512,
ACBK2g02513,
ACBK2g02514,
ACBK2g02515,
ACBK2g02516,
ACBK2g02517,
ACBK2g02518,
ACBK2g02519,Ath-5-002775
ACBK2g02520,Ath-5-002773
ACBK2g02521,.
ACBK2g02522,Ath-5-002771
ACBK2g02523,.
ACBK2g02524,Ath-5-002770
ACBK2g02525,Ath-5-002769
ACBK2g02526,Ath-5-002768
ACBK2g02527,
ACBK2g02528,
ACBK2g02529,
ACBK2g02530,
ACBK2g02531,
ACBK2g02532,
ACBK2g02533,
ACBK2g02534,
ACBK2g02535,
ACBK2g02536,
ACBK2g02537,
ACBK2g02538,
ACBK2g02539,
ACBK2g02540,
ACBK2g02541,
ACBK2g02542,
ACBK2g02543,
ACBK2g02544,
ACBK2g02545,Ath-5-002842
ACBK2g02546,Ath-5-002841
ACBK2g02547,.
ACBK2g02548,Ath-5-002840
ACBK2g02549,Ath-5-002839
ACBK2g02550,Ath-5-002838
ACBK2g02551,Ath-5-002836
ACBK2g02552,Ath-5-002834
ACBK2g02553,Ath-5-002813
ACBK2g02554,Ath-5-002816
ACBK2g02555,Ath-5-002817
ACBK2g02556,Ath-5-002819
ACBK2g02557,.
ACBK2g02558,Ath-5-002823
ACBK2g02559,Ath-5-002824
ACBK2g02560,Ath-5-002826
ACBK2g02561,Ath-5-002827
ACBK2g02562,Ath-5-002829
ACBK2g02563,Ath-5-002811
ACBK2g02564,Ath-5-002808
ACBK2g02565,Ath-5-002807
ACBK2g02566,.
ACBK2g02567,.
ACBK2g02568,.
ACBK2g02569,Ath-5-002803
ACBK2g02570,.
ACBK2g02571,.
ACBK2g02572,Ath-5-002801
ACBK2g02573,.
ACBK2g02574,Ath-5-002797
ACBK2g02575,Ath-5-002796
ACBK2g02576,.
ACBK2g02577,.
ACBK2g02578,.
ACBK2g02579,.
ACBK2g02580,.
ACBK2g02581,Ath-5-002847
ACBK2g02582,Ath-5-002848
ACBK2g02583,Ath-5-002851
ACBK2g02584,Ath-5-002852
ACBK2g02585,Ath-5-002854
ACBK2g02586,Ath-5-002857
ACBK2g02587,.
ACBK2g02588,Ath-5-002859
ACBK2g02589,Ath-5-002860
ACBK2g02590,Ath-5-002861
ACBK2g02591,.
ACBK2g02592,Ath-5-002863
ACBK2g02593,Ath-5-002864
ACBK2g02594,Ath-5-002865
ACBK2g02595,Ath-5-002867
ACBK2g02596,Ath-5-002868
ACBK2g02597,.
ACBK2g02598,.
ACBK2g02599,.
ACBK2g02600,Ath-5-002871
ACBK2g02601,Ath-5-002872
ACBK2g02602,.
ACBK2g02603,Ath-5-002875
ACBK2g02604,.
ACBK2g02605,.
ACBK2g02606,.
ACBK2g02607,Ath-5-002881
ACBK2g02608,Ath-5-002885
ACBK2g02609,.
ACBK2g02610,.
ACBK2g02611,.
ACBK2g02612,.
ACBK2g02613,.
ACBK2g02614,Ath-5-002886
ACBK2g02615,Ath-5-002887
ACBK2g02616,Ath-5-002892
ACBK2g02617,Ath-5-002893
ACBK2g02618,Ath-5-002894
ACBK2g02619,Ath-5-002898
ACBK2g02620,Ath-5-002899
ACBK2g02621,Ath-5-002903
ACBK2g02622,Ath-5-002904
ACBK2g02623,Ath-5-002907
ACBK2g02624,Ath-5-002909
ACBK2g02625,Ath-5-002910
ACBK2g02626,Ath-5-002912
ACBK2g02627,Ath-5-002913
ACBK2g02628,
ACBK2g02629,Ath-5-002953
ACBK2g02630,Ath-5-002955
ACBK2g02631,Ath-5-002956
ACBK2g02632,.
ACBK2g02633,.
ACBK2g02634,Ath-5-002961
ACBK2g02635,Ath-5-002962
ACBK2g02636,.
ACBK2g02637,.
ACBK2g02638,.
ACBK2g02639,.
ACBK2g02640,.
ACBK2g02641,Ath-5-002969
ACBK2g02642,Ath-5-002970
ACBK2g02643,Ath-5-002971
ACBK2g02644,Ath-5-002972
ACBK2g02645,Ath-5-002974
ACBK2g02646,Ath-5-002975
ACBK2g02647,Ath-5-002976
ACBK2g02648,Ath-5-002977
ACBK2g02649,.
ACBK2g02650,Ath-5-002980
ACBK2g02651,Ath-5-002984
ACBK2g02652,.
ACBK2g02653,Ath-5-002989
ACBK2g02654,.
ACBK2g02655,Ath-5-002990
ACBK2g02656,Ath-5-002998
ACBK2g02657,.
ACBK2g02658,Ath-5-003001
ACBK2g02659,Ath-5-003003
ACBK2g02660,Ath-5-003005
ACBK2g02661,Ath-5-003007
ACBK2g02662,.
ACBK2g02663,.
ACBK2g02664,.
ACBK2g02665,Ath-5-003008
ACBK2g02666,Ath-5-003009
ACBK2g02667,.
ACBK2g02668,.
ACBK2g02669,Ath-5-003011
ACBK2g02670,Ath-5-003015
ACBK2g02671,Ath-5-003016
ACBK2g02672,Ath-5-003017
ACBK2g02673,.
ACBK2g02674,.
ACBK2g02675,Ath-5-003021
ACBK2g02676,Ath-5-003022
ACBK2g02677,Ath-5-003023
ACBK2g02678,Ath-5-003024
ACBK2g02679,Ath-5-003025
ACBK2g02680,.
ACBK2g02681,Ath-5-003027
ACBK2g02682,Ath-5-003028
ACBK2g02683,.
ACBK2g02684,.
ACBK2g02685,.
ACBK2g02686,Ath-5-003029
ACBK2g02687,Ath-5-003031
ACBK2g02688,Ath-5-003032
ACBK2g02689,Ath-5-003033
ACBK2g02690,.
ACBK2g02691,Ath-5-003036
ACBK2g02692,Ath-5-003038
ACBK2g02693,.
ACBK2g02694,Ath-5-003039
ACBK2g02695,Ath-5-003040
ACBK2g02696,Ath-5-003041
ACBK2g02697,Ath-5-003042
ACBK2g02698,.
ACBK2g02699,Ath-5-003044
ACBK2g02700,.
ACBK2g02701,Ath-5-003045
ACBK2g02702,Ath-5-003046
ACBK2g02703,Ath-5-003049
ACBK2g02704,Ath-5-003050
ACBK2g02705,.
ACBK2g02706,.
ACBK2g02707,.
ACBK2g02708,.
ACBK2g02709,.
ACBK2g02710,Ath-5-003051
ACBK2g02711,.
ACBK2g02712,.
ACBK2g02713,.
ACBK2g02714,.
ACBK2g02715,Ath-5-003054
ACBK2g02716,.
ACBK2g02717,.
ACBK2g02718,Ath-5-003057
ACBK2g02719,Ath-5-003058
ACBK2g02720,Ath-5-003059
ACBK2g02721,.
ACBK2g02722,.
ACBK2g02723,Ath-5-003066
ACBK2g02724,Ath-5-003067
ACBK2g02725,Ath-5-003069
ACBK2g02726,
ACBK2g02727,Ath-5-003128
ACBK2g02728,Ath-5-003127
ACBK2g02729,Ath-5-003126
ACBK2g02730,Ath-5-003125
ACBK2g02731,.
ACBK2g02732,Ath-5-003124
ACBK2g02733,Ath-5-003121
ACBK2g02734,Ath-5-003120
ACBK2g02735,Ath-5-003119
ACBK2g02736,Ath-5-003118
ACBK2g02737,Ath-5-003116
ACBK2g02738,.
ACBK2g02739,Ath-5-003112
ACBK2g02740,.
ACBK2g02741,.
ACBK2g02742,.
ACBK2g02743,.
ACBK2g02744,Ath-5-003110
ACBK2g02745,.
ACBK2g02746,.
ACBK2g02747,.
ACBK2g02748,.
ACBK2g02749,Ath-5-003103
ACBK2g02750,Ath-5-003102
ACBK2g02751,Ath-5-003101
ACBK2g02752,Ath-5-003100
ACBK2g02753,.
ACBK2g02754,.
ACBK2g02755,.
ACBK2g02756,.
ACBK2g02757,.
ACBK2g02758,.
ACBK2g02759,Ath-5-003097
ACBK2g02760,Ath-5-003095
ACBK2g02761,Ath-5-003094
ACBK2g02762,.
ACBK2g02763,Ath-5-003093
ACBK2g02764,.
ACBK2g02765,.
ACBK2g02766,Ath-5-003085
ACBK2g02767,Ath-5-003084
ACBK2g02768,Ath-5-003083
ACBK2g02769,Ath-5-003079
ACBK2g02770,Ath-5-003078
ACBK2g02771,Ath-5-003077
ACBK2g02772,Ath-5-003067
ACBK2g02773,.
ACBK2g02774,Ath-5-003068
ACBK2g02775,Ath-5-003069
ACBK2g02776,.
ACBK2g02777,Ath-5-003065
ACBK2g02778,Ath-5-003074
ACBK2g02779,Ath-5-003075
ACBK2g02780,Ath-5-003130
ACBK2g02781,Ath-5-003131
ACBK2g02782,Ath-5-003132
ACBK2g02783,Ath-5-003135
ACBK2g02784,.
ACBK2g02785,.
ACBK2g02786,.
ACBK2g02787,Ath-5-003136
ACBK2g02788,Ath-5-003140
ACBK2g02789,Ath-5-003141
ACBK2g02790,.
ACBK2g02791,.
ACBK2g02792,Ath-5-003143
ACBK2g02793,Ath-5-003144
ACBK2g02794,.
ACBK2g02795,.
ACBK2g02796,.
ACBK2g02797,.
ACBK2g02798,.
ACBK2g02799,.
ACBK2g02800,.
ACBK2g02801,.
ACBK2g02802,.
ACBK2g02803,.
ACBK2g02804,.
ACBK2g02805,.
ACBK2g02806,.
ACBK2g02807,.
ACBK2g02808,.
ACBK2g02809,Ath-5-003145
ACBK2g02810,Ath-5-003148
ACBK2g02811,.
ACBK2g02812,.
ACBK2g02813,.
ACBK2g02814,.
ACBK2g02815,.
ACBK2g02816,Ath-5-003150
ACBK2g02817,.
ACBK2g02818,Ath-5-003151
ACBK2g02819,Ath-5-003152
ACBK2g02820,Ath-5-003158
ACBK2g02821,Ath-5-003159
ACBK2g02822,.
ACBK2g02823,.
ACBK2g02824,Ath-5-003161
ACBK2g02825,Ath-5-003163
ACBK2g02826,Ath-5-003164
ACBK2g02827,.
ACBK2g02828,Ath-5-003165
ACBK2g02829,.
ACBK2g02830,Ath-5-003167
ACBK2g02831,Ath-5-003170
ACBK2g02832,Ath-5-003171
ACBK2g02833,Ath-5-003172
ACBK2g02834,Ath-5-003173
ACBK2g02835,Ath-5-003176
ACBK2g02836,Ath-5-003178
ACBK2g02837,Ath-5-003179
ACBK2g02838,Ath-5-003180
ACBK2g02839,Ath-5-003181
ACBK2g02840,Ath-5-003182
ACBK2g02841,Ath-5-003183
ACBK2g02842,.
ACBK2g02843,Ath-5-003184
ACBK2g02844,Ath-5-003187
ACBK2g02845,Ath-5-003188
ACBK2g02846,Ath-5-003191
ACBK2g02847,Ath-5-003192
ACBK2g02848,Ath-5-003194
ACBK2g02849,Ath-5-003201
ACBK2g02850,Ath-5-003202
ACBK2g02851,Ath-5-003203
ACBK2g02852,.
ACBK2g02853,.
ACBK2g02854,Ath-5-003206
ACBK2g02855,.
ACBK2g02856,Ath-5-003207
ACBK2g02857,Ath-5-003213
ACBK2g02858,Ath-5-003215
ACBK2g02859,Ath-5-003216
ACBK2g02860,Ath-5-003220
ACBK2g02861,Ath-5-003222
ACBK2g02862,Ath-5-003223
ACBK2g02863,Ath-5-003224
ACBK2g02864,Ath-5-003226
ACBK2g02865,Ath-5-003227
ACBK2g02866,Ath-5-003234
ACBK2g02867,.
ACBK2g02868,.
ACBK2g02869,.
ACBK2g02870,.
ACBK2g02871,Ath-5-003235
ACBK2g02872,Ath-5-003236
ACBK2g02873,.
ACBK2g02874,.
ACBK2g02875,.
ACBK2g02876,.
ACBK2g02877,.
ACBK2g02878,.
ACBK2g02879,.
ACBK2g02880,.
ACBK2g02881,.
ACBK2g02882,Ath-5-003237
ACBK2g02883,Ath-5-003240
ACBK2g02884,.
ACBK2g02885,.
ACBK2g02886,Ath-5-003242
ACBK2g02887,Ath-5-003243
ACBK2g02888,Ath-5-003244
ACBK2g02889,Ath-5-003245
ACBK2g02890,.
ACBK2g02891,Ath-5-003251
ACBK2g02892,Ath-5-003252
ACBK2g02893,Ath-5-003253
ACBK2g02894,.
ACBK2g02895,Ath-5-003255
ACBK2g02896,Ath-5-003256
ACBK2g02897,Ath-5-003258
ACBK2g02898,Ath-5-003259
ACBK2g02899,Ath-5-003260
ACBK2g02900,.
ACBK2g02901,Ath-5-003262
ACBK2g02902,.
ACBK2g02903,Ath-5-003264
ACBK2g02904,Ath-5-003265
ACBK2g02905,Ath-5-003267
ACBK2g02906,Ath-5-003268
ACBK2g02907,.
ACBK2g02908,Ath-5-003269
ACBK2g02909,Ath-5-003270
ACBK2g02910,Ath-5-003271
ACBK2g02911,.
ACBK2g02912,Ath-5-003273
ACBK2g02913,Ath-5-003275
ACBK2g02914,Ath-5-003276
ACBK2g02915,Ath-5-003277
ACBK2g02916,Ath-5-003281
ACBK2g02917,Ath-5-003282
ACBK2g02918,.
ACBK2g02919,Ath-5-003283
ACBK2g02920,.
ACBK2g02921,.
ACBK2g02922,Ath-5-003284
ACBK2g02923,.
ACBK2g02924,Ath-5-003285
ACBK2g02925,Ath-5-003286
ACBK2g02926,.
ACBK2g02927,.
ACBK2g02928,.
ACBK2g02929,.
ACBK2g02930,.
ACBK2g02931,.
ACBK2g02932,Ath-5-003287
ACBK2g02933,Ath-5-003288
ACBK2g02934,.
ACBK2g02935,Ath-5-003289
ACBK2g02936,Ath-5-003290
ACBK2g02937,Ath-5-003291
ACBK2g02938,.
ACBK2g02939,Ath-5-003314
ACBK2g02940,.
ACBK2g02941,.
ACBK2g02942,.
ACBK2g02943,Ath-5-003313
ACBK2g02944,Ath-5-003312
ACBK2g02945,.
ACBK2g02946,Ath-5-003311
ACBK2g02947,Ath-5-003310
ACBK2g02948,Ath-5-003309
ACBK2g02949,.
ACBK2g02950,.
ACBK2g02951,Ath-5-003307
ACBK2g02952,Ath-5-003306
ACBK2g02953,Ath-5-003305
ACBK2g02954,.
ACBK2g02955,Ath-5-003302
ACBK2g02956,Ath-5-003300
ACBK2g02957,Ath-5-003299
ACBK2g02958,.
ACBK2g02959,.
ACBK2g02960,Ath-5-003316
ACBK2g02961,Ath-5-003317
ACBK2g02962,.
ACBK2g02963,.
ACBK2g02964,.
ACBK2g02965,.
ACBK2g02966,Ath-5-003321
ACBK2g02967,Ath-5-003322
ACBK2g02968,Ath-5-003323
ACBK2g02969,Ath-5-003324
ACBK2g02970,Ath-5-003325
ACBK2g02971,Ath-5-003326
ACBK2g02972,.
ACBK2g02973,.
ACBK2g02974,Ath-5-003327
ACBK2g02975,Ath-5-003328
ACBK2g02976,Ath-5-003329
ACBK2g02977,Ath-5-003330
ACBK2g02978,Ath-5-003331
ACBK2g02979,Ath-5-003333
ACBK2g02980,Ath-5-003334
ACBK2g02981,Ath-5-003335
ACBK2g02982,.
ACBK2g02983,Ath-5-003336
ACBK2g02984,Ath-5-003337
ACBK2g02985,.
ACBK2g02986,.
ACBK2g02987,Ath-5-003338
ACBK2g02988,Ath-5-003339
ACBK2g02989,Ath-5-003340
ACBK2g02990,Ath-5-003341
ACBK2g02991,Ath-5-003342
ACBK2g02992,Ath-5-003344
ACBK2g02993,Ath-5-003346
ACBK2g02994,.
ACBK2g02995,.
ACBK2g02996,.
ACBK2g02997,.
ACBK2g02998,Ath-5-003348
ACBK2g02999,.
ACBK2g03000,.
ACBK2g03001,Ath-5-003351
ACBK2g03002,Ath-5-003352
ACBK2g03003,Ath-5-003353
ACBK2g03004,.
ACBK2g03005,Ath-5-003354
ACBK2g03006,Ath-5-003356
ACBK2g03007,Ath-5-003357
ACBK2g03008,Ath-5-003358
ACBK2g03009,Ath-5-003359
ACBK2g03010,Ath-5-003360
ACBK2g03011,Ath-5-003361
ACBK2g03012,.
ACBK2g03013,Ath-5-003362
ACBK2g03014,Ath-5-003363
ACBK2g03015,.
ACBK2g03016,Ath-5-003365
ACBK2g03017,Ath-5-003367
ACBK2g03018,Ath-5-003368
ACBK2g03019,Ath-5-003369
ACBK2g03020,Ath-5-003370
ACBK2g03021,Ath-5-003371
ACBK2g03022,Ath-5-003372
ACBK2g03023,Ath-5-003375
ACBK2g03024,Ath-5-003376
ACBK2g03025,.
ACBK2g03026,.
ACBK2g03027,Ath-5-003379
ACBK2g03028,Ath-5-003380
ACBK2g03029,Ath-5-003381
ACBK2g03030,.
ACBK2g03031,.
ACBK2g03032,Ath-5-003384
ACBK2g03033,Ath-5-003386
ACBK2g03034,.
ACBK2g03035,Ath-5-003391
ACBK2g03036,.
ACBK2g03037,.
ACBK2g03038,.
ACBK2g03039,.
ACBK2g03040,.
ACBK2g03041,.
ACBK2g03042,Ath-5-003392
ACBK2g03043,Ath-5-003394
ACBK2g03044,Ath-5-003396
ACBK2g03045,Ath-5-003397
ACBK2g03046,Ath-5-003398
ACBK2g03047,Ath-5-003399
ACBK2g03048,Ath-5-003401
ACBK2g03049,Ath-5-003402
ACBK2g03050,Ath-5-003403
ACBK2g03051,Ath-5-003405
ACBK2g03052,Ath-5-003406
ACBK2g03053,.
ACBK2g03054,Ath-5-003407
ACBK2g03055,Ath-5-003408
ACBK2g03056,Ath-5-003409
ACBK2g03057,.
ACBK2g03058,Ath-5-003411
ACBK2g03059,Ath-5-003412
ACBK2g03060,Ath-5-003413
ACBK2g03061,Ath-5-003415
ACBK2g03062,.
ACBK2g03063,Ath-5-003418
ACBK2g03064,Ath-5-003420
ACBK2g03065,Ath-5-003424
ACBK2g03066,Ath-5-003425
ACBK2g03067,Ath-5-003426
ACBK2g03068,.
ACBK2g03069,Ath-5-003428
ACBK2g03070,Ath-5-003429
ACBK2g03071,Ath-5-003430
ACBK2g03072,Ath-5-003432
ACBK2g03073,Ath-5-003434
ACBK2g03074,Ath-5-003436
ACBK2g03075,.
ACBK2g03076,Ath-5-003441
ACBK2g03077,Ath-5-003442
ACBK2g03078,Ath-5-003443
ACBK2g03079,Ath-5-003447
ACBK2g03080,Ath-5-003448
ACBK2g03081,.
ACBK2g03082,.
ACBK2g03083,.
ACBK2g03084,.
ACBK2g03085,.
ACBK2g03086,.
ACBK2g03087,.
ACBK2g03088,.
ACBK2g03089,Ath-5-003451
ACBK2g03090,Ath-5-003452
ACBK2g03091,Ath-5-003453
ACBK2g03092,Ath-5-003454
ACBK2g03093,Ath-5-003455
ACBK2g03094,.
ACBK2g03095,.
ACBK2g03096,.
ACBK2g03097,Ath-5-003456
ACBK2g03098,Ath-5-003457
ACBK2g03099,Ath-5-003462
ACBK2g03100,.
ACBK2g03101,Ath-5-003463
ACBK2g03102,Ath-5-003465
ACBK2g03103,Ath-5-003466
ACBK2g03104,.
ACBK2g03105,.
ACBK2g03106,.
ACBK2g03107,Ath-5-003467
ACBK2g03108,Ath-5-003468
ACBK2g03109,.
ACBK2g03110,.
ACBK2g03111,Ath-5-003471
ACBK2g03112,Ath-5-003472
ACBK2g03113,.
ACBK2g03114,.
ACBK2g03115,.
ACBK2g03116,Ath-5-003475
ACBK2g03117,Ath-5-003476
ACBK2g03118,Ath-5-003477
ACBK2g03119,Ath-5-003478
ACBK2g03120,.
ACBK2g03121,.
ACBK2g03122,Ath-5-003479
ACBK2g03123,.
ACBK2g03124,.
ACBK2g03125,.
ACBK2g03126,Ath-5-003481
ACBK2g03127,.
ACBK2g03128,Ath-5-003483
ACBK2g03129,Ath-5-003484
ACBK2g03130,Ath-5-003485
ACBK2g03131,Ath-5-003486
ACBK2g03132,Ath-5-003487
ACBK2g03133,Ath-5-003488
ACBK2g03134,Ath-5-003491
ACBK2g03135,Ath-5-003492
ACBK2g03136,Ath-5-003493
ACBK2g03137,Ath-5-003494
ACBK2g03138,Ath-5-003497
ACBK2g03139,Ath-5-003498
ACBK2g03140,.
ACBK2g03141,Ath-5-003499
ACBK2g03142,.
ACBK2g03143,Ath-5-003500
ACBK2g03144,Ath-5-003501
ACBK2g03145,Ath-5-003503
ACBK2g03146,Ath-5-003505
ACBK2g03147,Ath-5-003506
ACBK2g03148,.
ACBK2g03149,.
ACBK2g03150,.
ACBK2g03151,.
ACBK2g03152,.
ACBK2g03153,.
ACBK2g03154,.
ACBK2g03155,Ath-5-003507
ACBK2g03156,Ath-5-003508
ACBK2g03157,Ath-5-003509
ACBK2g03158,
ACBK2g03159,
ACBK2g03160,
ACBK2g03161,
ACBK2g03162,
ACBK2g03163,
ACBK2g03164,
ACBK2g03165,
ACBK2g03166,
ACBK2g03167,
ACBK2g03168,
ACBK2g03169,
ACBK2g03170,
ACBK2g03171,
ACBK2g03172,
ACBK2g03173,
ACBK2g03174,
ACBK2g03175,
ACBK2g03176,
ACBK2g03177,
ACBK2g03178,
ACBK2g03179,
ACBK2g03180,
ACBK2g03181,
ACBK3g00001,Ath-3-000128
ACBK3g00002,Ath-3-000127
ACBK3g00003,Ath-3-000126
ACBK3g00004,Ath-3-000125
ACBK3g00005,Ath-3-000124
ACBK3g00006,.
ACBK3g00007,Ath-3-000122
ACBK3g00008,Ath-3-000120
ACBK3g00009,Ath-3-000119
ACBK3g00010,Ath-3-000117
ACBK3g00011,Ath-3-000115
ACBK3g00012,Ath-3-000114
ACBK3g00013,Ath-3-000113
ACBK3g00014,Ath-3-000111
ACBK3g00015,Ath-3-000109
ACBK3g00016,Ath-3-000107
ACBK3g00017,Ath-3-000106
ACBK3g00018,Ath-3-000105
ACBK3g00019,.
ACBK3g00020,Ath-3-000103
ACBK3g00021,Ath-3-000102
ACBK3g00022,Ath-3-000100
ACBK3g00023,Ath-3-000099
ACBK3g00024,Ath-3-000098
ACBK3g00025,Ath-3-000097
ACBK3g00026,Ath-3-000096
ACBK3g00027,Ath-3-000095
ACBK3g00028,Ath-3-000094
ACBK3g00029,Ath-3-000092
ACBK3g00030,.
ACBK3g00031,Ath-3-000091
ACBK3g00032,.
ACBK3g00033,Ath-3-000089
ACBK3g00034,Ath-3-000088
ACBK3g00035,Ath-3-000087
ACBK3g00036,Ath-3-000086
ACBK3g00037,Ath-3-000085
ACBK3g00038,Ath-3-000084
ACBK3g00039,Ath-3-000083
ACBK3g00040,Ath-3-000082
ACBK3g00041,Ath-3-000081
ACBK3g00042,Ath-3-000080
ACBK3g00043,Ath-3-000079
ACBK3g00044,Ath-3-000078
ACBK3g00045,.
ACBK3g00046,Ath-3-000076
ACBK3g00047,Ath-3-000075
ACBK3g00048,Ath-3-000074
ACBK3g00049,Ath-3-000073
ACBK3g00050,Ath-3-000072
ACBK3g00051,Ath-3-000071
ACBK3g00052,Ath-3-000070
ACBK3g00053,Ath-3-000069
ACBK3g00054,Ath-3-000068
ACBK3g00055,Ath-3-000067
ACBK3g00056,Ath-3-000066
ACBK3g00057,Ath-3-000065
ACBK3g00058,.
ACBK3g00059,Ath-3-000064
ACBK3g00060,Ath-3-000063
ACBK3g00061,.
ACBK3g00062,Ath-3-000061
ACBK3g00063,Ath-3-000060
ACBK3g00064,Ath-3-000058
ACBK3g00065,Ath-3-000055
ACBK3g00066,Ath-3-000054
ACBK3g00067,Ath-3-000053
ACBK3g00068,Ath-3-000052
ACBK3g00069,Ath-3-000051
ACBK3g00070,Ath-3-000050
ACBK3g00071,Ath-3-000048
ACBK3g00072,Ath-3-000047
ACBK3g00073,.
ACBK3g00074,Ath-3-000046
ACBK3g00075,Ath-3-000045
ACBK3g00076,Ath-3-000044
ACBK3g00077,Ath-3-000037
ACBK3g00078,.
ACBK3g00079,Ath-3-000035
ACBK3g00080,Ath-3-000034
ACBK3g00081,Ath-3-000033
ACBK3g00082,Ath-3-000032
ACBK3g00083,Ath-3-000031
ACBK3g00084,Ath-3-000030
ACBK3g00085,Ath-3-000028
ACBK3g00086,Ath-3-000027
