,Aare-4-000003,Aha-4-000001,Alsp-4-000002,Aru-a04-002343,,Asu-2-001210,Asu-9-000006,Ath-2-001391,,,Cen-7-002886,Cen-10-002845,Cfle-4-002886,Chivh-2-004894,Cla-7-02636,Cne-2-003890,Cpl-320-000004,Crub-4-000001,Csa-9-003557,Csa-7-002974,Csa-16-002824,Eche-7-002234,Esal-3-000009,Iind-5-003179,Mpe-12-000003,Mpyg-2-000094,Spar-4-000006,Tar-4-002763,,,
Aara-5-000717,Aare-4-000911,Aha-4-000946,Alsp-4-000981,Aru-a04-001767,Aru-b04-001754,Asu-2-001944,Asu-9-001103,Ath-2-002138,Bdiv-4-002006,.,Cen-3-000918,Cen-10-002043,Cfle-4-002025,.,Cla-7-01869,Cne-2-001425,Cpl-393-001677,Crub-4-000878,Csa-5-002398,Csa-7-001170,Csa-16-001127,Eche-7-001859,Esal-3-001138,Iind-5-001955,Mpe-3-000242,Mpyg-2-002135,Spar-4-001997,Tar-4-001860,Tca-9-002569,,Ggyn-6-000520
Aara-5-000716,Aare-4-000912,Aha-4-000947,Alsp-4-000979,Aru-a04-001766,Aru-b04-001753,Asu-2-001946,Asu-9-001104,Ath-2-002140,Bdiv-4-002007,Bst-4-000850,Cen-3-000921,Cen-10-002046,Cfle-4-002024,Chivh-4-002885,Cla-7-01871,Cne-2-001424,Cpl-393-001676,Crub-4-000879,.,Csa-7-001169,Csa-16-001126,.,Esal-3-001140,Iind-5-001953,Mpe-3-000244,Mpyg-2-002136,Spar-4-001996,Tar-4-001859,,,.
.,Aare-4-000913,Aha-4-000949,Alsp-4-000978,Aru-a04-001764,Aru-b04-001750,Asu-2-001947,Asu-9-001106,Ath-2-002141,Bdiv-4-002008,Bst-4-000849,Cen-3-000922,Cen-10-002048,Cfle-4-002023,Chivh-4-002883,Cla-7-01873,Cne-2-001422,.,Crub-4-000880,Csa-5-002396,Csa-7-001167,Csa-16-001124,Eche-7-001862,Esal-3-001142,Iind-5-001951,Mpe-3-000246,Mpyg-2-002137,Spar-4-001995,Tar-4-001855,,,Ggyn-6-000513
Aara-5-000714,Aare-4-000914,Aha-4-000951,Alsp-4-000977,.,.,Asu-2-001948,Asu-9-001107,Ath-2-002142,Bdiv-4-002009,Bst-4-000848,Cen-3-000923,Cen-10-002049,Cfle-4-002022,Chivh-4-002879,Cla-7-01874,Cne-2-001421,Cpl-393-001674,Crub-4-000881,Csa-5-002395,Csa-7-001166,Csa-16-001123,Eche-7-001863,Esal-3-001143,Iind-5-001950,Mpe-3-000247,Mpyg-2-002139,Spar-4-001994,Tar-4-001851,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000882,.,.,.,.,.,.,.,.,.,.,,,
.,.,Aha-4-000952,Alsp-4-000976,.,.,Asu-2-001949,.,.,.,.,.,.,.,Chivh-4-002878,.,.,.,Crub-4-000883,Csa-5-002394,.,.,Eche-7-001866,.,.,.,.,.,.,Tca-9-002981,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000884,.,.,.,.,.,.,.,.,.,.,.,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000885,.,.,.,.,.,.,.,.,.,.,.,,
.,Aare-4-000915,Aha-4-000953,Alsp-4-000975,.,Aru-b04-001749,.,Asu-9-001108,Ath-2-002143,Bdiv-4-002010,Bst-4-000847,.,Cen-10-002050,Cfle-4-002021,.,Cla-7-01876,Cne-2-001417,.,Crub-4-000886,Csa-5-002393,Csa-7-001165,Csa-16-001121,Eche-7-001867,Esal-3-001148,Iind-5-001949,Mpe-3-000248,.,.,Tar-4-001848,Tca-9-002978,,
.,.,.,Alsp-4-000974,Aru-a04-001763,Aru-b04-001748,Asu-2-001950,Asu-9-001109,Ath-2-002145,.,.,Cen-3-000924,Cen-10-002052,.,.,.,.,.,Crub-4-000887,.,.,.,.,Esal-3-001149,Iind-5-001948,.,.,.,.,.,,
.,.,.,.,Aru-a04-001762,.,.,.,.,Bdiv-4-002012,Bst-4-000843,Cen-3-000926,.,.,.,.,.,.,Crub-4-000888,.,.,.,.,Esal-3-001150,.,.,.,.,.,.,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000889,Csa-5-002392,.,.,.,.,.,.,.,.,.,.,,
.,.,Aha-4-000954,Alsp-4-000973,Aru-a04-001761,Aru-b04-001747,Asu-2-001951,Asu-9-001110,Ath-2-002146,Bdiv-4-002013,Bst-4-000842,Cen-3-000927,Cen-10-002053,Cfle-4-002017,Chivh-4-002876,.,Cne-2-001416,.,Crub-4-000890,Csa-5-002391,Csa-7-001164,Csa-16-001120,.,Esal-3-001151,Iind-5-001947,Mpe-3-000249,Mpyg-2-002142,Spar-4-001993,Tar-4-001847,.,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000891,.,.,.,.,.,.,.,.,.,.,.,,
.,.,Aha-4-000955,Alsp-4-000972,Aru-a04-001760,.,Asu-2-001952,Asu-9-001111,Ath-2-002147,Bdiv-4-002014,Bst-4-000841,Cen-3-000928,Cen-10-002054,.,Chivh-4-002874,Cla-7-01881,Cne-2-001414,.,Crub-4-000892,Csa-5-002389,Csa-7-001162,Csa-16-001118,Eche-7-001870,Esal-3-001153,.,.,Mpyg-2-001931,.,.,.,,
Aara-5-000712,.,Aha-4-000956,Alsp-4-000971,Aru-a04-001759,Aru-b04-001745,.,Asu-9-001112,Ath-2-002148,.,.,Cen-3-000929,Cen-10-002055,.,.,Cla-7-01882,Cne-2-001413,Cpl-393-001671,Crub-4-000893,Csa-5-002387,Csa-7-001161,Csa-16-001117,Eche-7-001871,Esal-3-001154,.,Mpe-3-000251,Mpyg-2-001935,Spar-4-001991,Tar-4-001845,Tca-9-002970,,
Aara-5-000711,Aare-4-000918,Aha-4-000957,Alsp-4-000970,Aru-a04-001758,Aru-b04-001743,Asu-2-001953,Asu-9-001113,Ath-2-002149,Bdiv-4-002015,.,Cen-3-000930,,.,Chivh-4-002873,Cla-7-01883,Cne-2-001412,Cpl-393-001670,Crub-4-000894,Csa-5-002386,Csa-7-001160,Csa-16-001116,Eche-7-001872,Esal-3-001155,Iind-5-001940,Mpe-3-000253,Mpyg-2-001936,Spar-4-001990,Tar-4-001844,Tca-9-002967,,
.,.,.,.,.,.,.,.,.,.,.,.,,.,.,Cla-7-01886,.,.,Crub-4-000895,Csa-5-002385,.,.,.,.,.,.,.,.,.,.,,
.,.,.,.,.,.,.,.,.,.,.,.,,.,.,Cla-7-01887,.,.,Crub-4-000896,.,.,.,.,.,.,.,.,.,.,.,,
.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,Crub-4-000897,.,.,.,.,.,.,.,.,.,.,.,,
Aara-5-000710,.,Aha-4-000960,Alsp-4-000965,Aru-a04-001752,Aru-b04-001739,Asu-2-001957,Asu-9-001117,Ath-2-002152,.,.,Cen-3-000935,Cen-10-002187,.,Chivh-4-002865,Cla-7-01891,.,Cpl-393-001669,Crub-4-000898,Csa-5-002380,Csa-7-001158,Csa-16-001113,Eche-7-001875,Esal-3-001156,Iind-5-001939,Mpe-3-000254,Mpyg-2-001938,Spar-4-001989,Tar-4-001843,Tca-9-002966,,
.,.,Aha-4-000961,Alsp-4-000964,Aru-a04-001751,Aru-b04-001738,Asu-2-001958,Asu-9-001118,Ath-2-002153,.,.,Cen-3-000936,Cen-10-002188,.,.,Cla-7-01892,.,Cpl-393-001668,Crub-4-000899,Csa-5-002379,Csa-7-001157,Csa-16-001112,Eche-7-001876,Esal-3-001157,Iind-5-001938,Mpe-3-000255,Mpyg-2-001939,Spar-4-001988,Tar-4-001842,Tca-9-002963,,
Aara-5-000709,Aare-4-000923,Aha-4-000962,Alsp-4-000963,Aru-a04-001750,Aru-b04-001737,Asu-2-001959,Asu-9-001119,Ath-2-002154,Bdiv-4-002020,Bst-4-000836,Cen-3-000937,Cen-10-002189,Cfle-4-002010,Chivh-4-002864,Cla-7-01893,Cne-2-001404,Cpl-393-001667,Crub-4-000900,Csa-5-002378,Csa-7-001156,Csa-16-001111,Eche-7-001877,Esal-3-001158,Iind-5-001937,Mpe-3-000256,Mpyg-2-001940,.,Tar-4-001841,Tca-9-002962,,
Aara-5-000708,Aare-4-000924,Aha-4-000966,Alsp-4-000961,Aru-a04-001749,Aru-b04-001736,Asu-2-001960,Asu-9-001120,Ath-2-002155,Bdiv-4-002021,Bst-4-000835,Cen-3-000938,Cen-10-002190,Cfle-4-002009,Chivh-4-002863,Cla-7-01894,Cne-2-001403,.,Crub-4-000901,Csa-5-002377,Csa-7-001155,Csa-16-001110,,Esal-3-001159,Iind-5-001936,Mpe-3-000258,.,.,Tar-4-001839,Tca-9-002961,,
.,.,Aha-4-000967,Alsp-4-000960,.,.,Asu-2-001961,Asu-9-001121,Ath-2-002156,Bdiv-4-002022,.,Cen-3-000939,Cen-10-002191,Cfle-4-002008,Chivh-4-002862,.,Cne-2-001402,Cpl-393-001666,Crub-4-000902,Csa-5-002376,Csa-7-001154,.,Eche-7-001729,Esal-3-001160,Iind-5-001935,Mpe-3-000259,Mpyg-2-001941,Spar-4-001987,Tar-4-001838,.,,
.,.,.,.,.,.,.,.,.,.,.,.,,.,Chivh-4-002861,.,Cne-2-001401,.,Crub-4-000903,Csa-5-002375,Csa-7-001153,Csa-16-001109,.,.,.,.,.,.,.,Tca-9-002959,,
.,Aare-4-000926,Aha-4-000968,Alsp-4-000959,Aru-a04-001748,Aru-b04-001735,Asu-2-001962,Asu-9-001122,Ath-2-002157,Bdiv-4-002023,Bst-4-000833,Cen-3-000940,,Cfle-4-002007,Chivh-4-002860,Cla-7-01895,Cne-2-001400,Cpl-393-001665,Crub-4-000904,Csa-5-002374,Csa-7-001152,Csa-16-001108,.,Esal-3-001161,Iind-5-001934,Mpe-3-000260,Mpyg-2-001942,Spar-4-001986,Tar-4-001834,.,,
Aara-5-000707,Aare-4-000927,Aha-4-000969,Alsp-4-000958,Aru-a04-001747,Aru-b04-001734,Asu-2-001963,Asu-9-001123,Ath-2-002158,Bdiv-4-002024,.,Cen-3-000941,,Cfle-4-002005,Chivh-4-002858,Cla-7-01896,Cne-2-001398,Cpl-393-001664,Crub-4-000905,Csa-5-002371,Csa-7-001150,Csa-16-001106,Eche-7-001725,Esal-3-001162,Iind-5-001933,Mpe-3-000261,Mpyg-2-001943,Spar-4-001985,Tar-4-001830,Tca-9-002958,,
.,Aare-4-000928,.,Alsp-4-000957,.,.,Asu-2-001964,.,Ath-2-002159,.,.,.,,.,Chivh-4-002857,.,Cne-2-001397,.,Crub-4-000906,Csa-5-002370,.,Csa-16-001105,.,.,.,.,.,.,.,.,,
Aara-5-000706,Aare-4-000929,Aha-4-000970,Alsp-4-000955,Aru-a04-001746,Aru-b04-001733,Asu-2-001965,Asu-9-001125,Ath-2-002160,Bdiv-4-002026,Bst-4-000831,Cen-3-000942,Cen-10-001945,Cfle-4-002004,Chivh-4-002856,Cla-7-01897,Cne-2-001396,Cpl-393-001663,Crub-4-000907,Csa-5-002367,Csa-7-001149,Csa-16-001103,.,Esal-3-001163,Iind-5-001932,Mpe-3-000262,Mpyg-2-001944,Spar-4-001984,Tar-4-001828,Tca-9-002956,,
Aara-5-000705,Aare-4-000930,Aha-4-000971,Alsp-4-000954,Aru-a04-001745,Aru-b04-001732,Asu-2-001966,Asu-9-001127,Ath-2-002161,Bdiv-4-002027,Bst-4-000830,Cen-3-000943,Cen-10-001947,Cfle-4-002003,Chivh-4-002853,Cla-7-01898,Cne-2-001394,Cpl-393-001662,Crub-4-000908,Csa-5-002366,Csa-7-001147,Csa-16-001102,Eche-7-001723,Esal-3-001164,Iind-5-001931,Mpe-3-000263,Mpyg-2-001945,Spar-4-001982,Tar-4-001827,Tca-9-002955,,
Aara-5-000704,Aare-4-000931,.,Alsp-4-000953,Aru-a04-001744,Aru-b04-001730,Asu-2-001967,Asu-9-001128,Ath-2-002162,.,Bst-4-000829,Cen-3-000944,Cen-10-001948,Cfle-4-002002,Chivh-4-002852,Cla-7-01899,Cne-2-001393,Cpl-393-001661,Crub-4-000909,Csa-5-002365,Csa-7-001145,Csa-16-001101,Eche-7-001722,Esal-3-001165,Iind-5-001930,Mpe-3-000264,Mpyg-2-001946,Spar-4-001981,Tar-4-001826,Tca-9-002953,,
Aara-5-000703,Aare-4-000932,Aha-4-000972,Alsp-4-000952,Aru-a04-001743,Aru-b04-001729,Asu-2-001968,Asu-9-001129,Ath-2-002163,Bdiv-4-002029,Bst-4-000828,Cen-3-000945,Cen-10-001949,Cfle-4-002001,.,Cla-7-01900,.,Cpl-393-001660,Crub-4-000910,Csa-5-002364,Csa-7-001144,Csa-16-001100,Eche-7-001721,Esal-3-001166,Iind-5-001929,Mpe-3-000265,Mpyg-2-001947,Spar-4-001980,Tar-4-001825,Tca-9-002952,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000911,.,.,.,.,.,.,.,.,.,.,.,,
Aara-5-000702,Aare-4-000933,Aha-4-000974,Alsp-4-000951,.,.,Asu-2-001969,Asu-9-001130,Ath-2-002164,Bdiv-4-002030,Bst-4-000827,Cen-3-000946,Cen-10-001950,Cfle-4-002000,Chivh-4-002850,Cla-7-01901,Cne-2-001391,Cpl-393-001659,Crub-4-000912,Csa-5-002363,Csa-7-001143,Csa-16-001099,Eche-7-001720,Esal-3-001167,Iind-5-001928,Mpe-3-000266,Mpyg-2-001948,Spar-4-001979,Tar-4-001824,.,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000913,.,.,.,.,.,.,.,.,.,.,.,,
.,Aare-4-000934,Aha-4-000976,Alsp-4-000949,Aru-a04-001742,Aru-b04-001728,Asu-2-001971,Asu-9-001131,Ath-2-002166,Bdiv-4-002031,Bst-4-000826,Cen-3-000947,Cen-10-001951,Cfle-4-001999,Chivh-4-002847,Cla-7-01902,Cne-2-001390,Cpl-393-001658,Crub-4-000914,Csa-5-002362,Csa-7-001141,Csa-16-001098,Eche-7-001719,Esal-3-001168,.,Mpe-3-000267,Mpyg-2-001950,Spar-4-001978,Tar-4-001823,Tca-9-002947,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000915,.,.,.,.,.,.,.,.,.,.,.,,
.,Aare-4-000935,Aha-4-000977,Alsp-4-000948,Aru-a04-001741,Aru-b04-001726,Asu-2-001972,Asu-9-001132,Ath-2-002167,Bdiv-4-002032,Bst-4-000825,Cen-3-000948,Cen-10-001952,Cfle-4-001998,Chivh-4-002846,Cla-7-01903,Cne-2-001389,.,Crub-4-000916,Csa-5-002361,Csa-7-001140,Csa-16-001097,.,Esal-3-001169,Iind-5-001925,Mpe-3-000268,Mpyg-2-001951,.,Tar-4-001822,.,,
Aara-5-000700,Aare-4-000936,Aha-4-000978,Alsp-4-000947,Aru-a04-001740,Aru-b04-001725,Asu-2-001973,Asu-9-001133,Ath-2-002169,Bdiv-4-002033,Bst-4-000824,Cen-3-000950,Cen-10-001953,Cfle-4-001997,Chivh-4-002845,.,Cne-2-001388,Cpl-393-001657,Crub-4-000917,Csa-5-002360,Csa-7-001139,Csa-16-001096,Eche-7-001717,Esal-3-001170,Iind-5-001924,Mpe-3-000269,Mpyg-2-001952,Spar-4-001976,Tar-4-001821,Tca-9-002945,,
Aara-5-000698,.,Aha-4-000980,Alsp-4-000945,Aru-a04-001739,Aru-b04-001724,Asu-2-001975,Asu-9-001135,Ath-2-002171,Bdiv-4-002035,Bst-4-000822,Cen-3-000952,Cen-10-001955,Cfle-4-001995,Chivh-4-002843,Cla-7-01906,.,Cpl-393-001654,Crub-4-000918,Csa-5-002358,Csa-7-001137,Csa-16-001094,Eche-7-001715,Esal-3-001171,Iind-5-001914,Mpe-3-000272,.,Spar-4-001974,Tar-4-001819,Tca-9-002937,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
Aara-5-000697,.,Aha-4-000981,Alsp-4-000943,Aru-a04-001738,Aru-b04-001723,Asu-2-001977,Asu-9-001138,Ath-2-002173,.,.,Cen-3-000953,Cen-10-001956,.,.,Cla-7-01907,Cne-2-001386,.,Crub-4-000920,Csa-5-002357,Csa-7-001136,Csa-16-001093,Eche-7-001714,Esal-3-001172,Iind-5-001907,Mpe-3-000275,.,Spar-4-001972,Tar-4-001815,,,
.,Aare-4-000940,Aha-4-000982,Alsp-4-000942,Aru-a04-001737,Aru-b04-001722,Asu-2-001978,Asu-9-001139,Ath-2-002174,Bdiv-4-002036,Bst-4-000821,Cen-3-000954,Cen-10-001957,Cfle-4-001994,.,Cla-7-01908,Cne-2-001385,.,Crub-4-000921,Csa-5-002356,Csa-7-001134,Csa-16-001092,Eche-7-001713,Esal-3-001173,Iind-5-001906,Mpe-3-000276,Mpyg-2-001955,Spar-4-001971,Tar-4-001812,,,
.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000922,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-4-000941,Aha-4-000984,Alsp-4-001053,Aru-a04-001736,Aru-b04-001720,Asu-2-001979,Asu-9-001140,Ath-2-002175,Bdiv-4-002037,Bst-4-000820,Cen-3-000956,Cen-10-001960,.,Chivh-4-002840,Cla-7-01909,Cne-2-001384,Cpl-393-001650,Crub-4-000923,Csa-5-002355,Csa-7-001133,Csa-16-001091,.,Esal-3-001177,Iind-5-001905,Mpe-3-000277,Mpyg-2-001959,.,Tar-4-001801,,,
Aara-5-000695,Aare-4-000942,Aha-4-000986,Alsp-4-001054,Aru-a04-001735,Aru-b04-001719,Asu-2-001980,Asu-9-001141,Ath-2-002176,Bdiv-4-002038,Bst-4-000819,Cen-3-000957,Cen-10-001962,Cfle-4-001992,Chivh-4-002835,Cla-7-01910,Cne-2-001383,Cpl-393-001649,Crub-4-000924,Csa-5-002354,Csa-7-001132,Csa-16-001090,Eche-7-001711,Esal-3-001178,Iind-5-001903,Mpe-3-000278,Mpyg-2-001960,Spar-4-001969,Tar-4-001800,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000925,Csa-5-002334,.,.,.,.,.,.,.,.,.,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000926,.,.,.,.,.,.,.,.,.,.,,,
Aara-5-000692,Aare-4-000945,Aha-4-000988,Alsp-4-001055,Aru-a04-001734,Aru-b04-001718,Asu-2-001982,Asu-9-001144,Ath-2-002177,Bdiv-4-002040,Bst-4-000817,Cen-3-000976,Cen-10-001963,Cfle-4-001990,Chivh-4-002832,Cla-7-01912,Cne-2-001382,Cpl-393-001648,Crub-4-000927,Csa-5-002352,Csa-7-001131,Csa-16-001089,Eche-7-001710,Esal-3-001180,Iind-5-001901,Mpe-3-000279,Mpyg-2-001961,Spar-4-001968,Tar-4-001799,,,
.,.,.,.,.,.,.,Asu-9-001145,.,.,.,.,.,.,.,.,.,.,Crub-4-000928,.,.,.,.,.,.,.,.,.,.,,,
Aara-5-000691,.,.,Alsp-4-001062,Aru-a04-001733,Aru-b04-001717,Asu-2-001983,Asu-9-001147,Ath-2-002178,.,.,Cen-3-000977,Cen-10-001964,.,.,Cla-7-01913,.,Cpl-393-001647,Crub-4-000929,Csa-5-002341,Csa-7-001128,Csa-16-001086,.,Esal-3-001181,Iind-5-001899,Mpe-3-000280,Mpyg-2-001962,Spar-4-001967,Tar-4-001796,,,
.,Aare-4-000948,Aha-4-000990,Alsp-4-001064,Aru-a04-001732,Aru-b04-001716,Asu-2-001984,Asu-9-001149,Ath-2-002179,Bdiv-4-002044,Bst-4-000815,Cen-3-000978,Cen-10-001965,Cfle-4-001988,Chivh-4-002822,Cla-7-01914,Cne-2-001379,Cpl-393-001646,Crub-4-000930,Csa-5-002342,Csa-7-001127,Csa-16-001085,Eche-7-001708,Esal-3-001182,Iind-5-001897,Mpe-3-000281,Mpyg-2-001963,.,Tar-4-001795,Tca-9-002907,,
Aara-5-000689,.,Aha-4-000991,Alsp-4-001065,Aru-a04-001731,Aru-b04-001715,Asu-2-001985,Asu-9-001150,Ath-2-002180,.,.,Cen-3-000979,Cen-10-001966,.,Chivh-4-002821,Cla-7-01915,Cne-2-001378,Cpl-393-001645,Crub-4-000931,Csa-5-002343,Csa-7-001126,.,Eche-7-001707,Esal-3-001183,Iind-5-001896,Mpe-3-000282,Mpyg-2-001964,Spar-4-001965,Tar-4-001793,Tca-9-002906,,
.,.,Aha-4-000992,Alsp-4-001066,Aru-a04-001730,Aru-b04-001714,Asu-2-001986,Asu-9-001151,Ath-2-002181,.,.,Cen-3-000980,Cen-10-001967,Cfle-4-001986,.,Cla-7-01916,.,.,Crub-4-000932,Csa-5-002344,Csa-7-001125,Csa-16-001084,Eche-7-001706,Esal-3-001184,Iind-5-001895,Mpe-3-000283,Mpyg-2-001965,.,Tar-4-001792,Tca-9-002905,,
.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000933,.,.,.,.,.,.,.,.,.,.,.,,
Aara-5-000686,Aare-4-000951,Aha-4-000998,Alsp-4-001069,,Aru-b04-001710,Asu-2-001988,Asu-9-001154,Ath-2-002184,Bdiv-4-002047,Bst-4-000810,.,.,Cfle-4-001984,Chivh-4-002817,Cla-7-01918,Cne-2-001376,.,Crub-4-000934,Csa-5-002347,Csa-7-001123,Csa-16-001082,.,Esal-3-001189,Iind-5-001890,Mpe-3-000285,Mpyg-2-001966,Spar-4-001963,Tar-4-001789,Tca-9-002897,,
Aara-5-000684,Aare-4-000952,Aha-4-000999,Alsp-4-001070,Aru-a04-001696,Aru-b04-001709,Asu-2-001989,Asu-9-001155,Ath-2-002185,Bdiv-4-002048,Bst-4-000809,Cen-3-000982,Cen-10-001969,Cfle-4-001983,Chivh-4-002816,Cla-7-01919,Cne-2-001375,Cpl-393-001642,Crub-4-000935,Csa-5-002348,Csa-7-001122,Csa-16-001081,Eche-7-001702,Esal-3-001190,Iind-5-001887,Mpe-3-000286,Mpyg-2-001968,.,Tar-4-001788,.,,
.,Aare-4-000953,Aha-4-001000,Alsp-4-001071,Aru-a04-001695,Aru-b04-001708,Asu-2-001990,Asu-9-001156,Ath-2-002186,.,Bst-4-000808,Cen-3-000983,Cen-10-001970,Cfle-4-001982,Chivh-4-002815,Cla-7-01920,Cne-2-001374,.,Crub-4-000936,Csa-5-002349,Csa-7-001121,Csa-16-001080,.,Esal-3-001191,Iind-5-001886,Mpe-3-000287,Mpyg-2-001969,.,Tar-4-001787,.,,
Aara-5-000683,Aare-4-000955,Aha-4-001001,Alsp-4-001072,Aru-a04-001694,Aru-b04-001707,Asu-2-001991,Asu-9-001157,Ath-2-002187,Bdiv-4-002051,Bst-4-000805,Cen-3-000984,Cen-10-001971,Cfle-4-001981,Chivh-4-002814,Cla-7-01921,Cne-2-001373,Cpl-393-001640,Crub-4-000937,Csa-5-002350,Csa-7-001120,Csa-16-001079,Eche-7-001700,Esal-3-001192,Iind-5-001885,Mpe-3-000288,Mpyg-2-001970,Spar-4-001962,Tar-4-001786,Tca-9-002879,,
Aara-5-000682,.,Aha-4-001002,Alsp-4-001073,Aru-a04-001693,Aru-b04-001706,Asu-2-001992,Asu-9-001158,Ath-2-002188,Bdiv-4-002052,Bst-4-000804,Cen-3-000985,Cen-10-001972,Cfle-4-001980,Chivh-4-002813,Cla-7-01922,Cne-2-001371,Cpl-393-001639,Crub-4-000938,Csa-5-002351,Csa-7-001119,Csa-16-001077,Eche-7-001699,Esal-3-001193,Iind-5-001884,Mpe-3-000289,Mpyg-2-001971,.,Tar-4-001785,Tca-9-002876,,
.,Aare-4-000959,Aha-4-001003,Alsp-4-001074,.,.,Asu-2-001993,Asu-9-001159,Ath-2-002189,Bdiv-4-002059,Bst-4-000799,Cen-3-000986,Cen-10-001976,Cfle-4-001979,Chivh-4-002810,.,Cne-2-001370,.,Crub-4-000939,Csa-5-002337,Csa-7-001118,Csa-16-001076,.,.,.,Mpe-3-000291,.,.,Tar-4-001783,,,
Aara-5-000679,Aare-4-000960,Aha-4-001004,Alsp-4-001075,.,.,Asu-2-001994,Asu-9-001160,Ath-2-002190,Bdiv-4-002060,Bst-4-000798,Cen-3-000974,Cen-10-001977,Cfle-4-001978,Chivh-4-002809,Cla-7-01923,Cne-2-001368,Cpl-393-001638,Crub-4-000940,Csa-5-002336,Csa-7-001117,Csa-16-001075,Eche-7-001698,Esal-3-001195,.,Mpe-3-000292,Mpyg-2-001972,.,Tar-4-001781,,,
Aara-5-000678,.,Aha-4-001006,Alsp-4-001076,Aru-a04-001692,Aru-b04-001698,Asu-2-001995,Asu-9-001161,Ath-2-002191,Bdiv-4-002063,Bst-4-000796,Cen-3-000988,Cen-10-001979,Cfle-4-001976,Chivh-4-002804,Cla-7-01925,Cne-2-001366,Cpl-393-001637,Crub-4-000941,Csa-5-002333,Csa-7-001114,.,Eche-7-001696,Esal-3-001196,Iind-5-001879,Mpe-3-000293,Mpyg-2-001973,.,Tar-4-001780,,,
.,Aare-4-000962,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000942,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-4-000963,Aha-4-001007,Alsp-4-001077,Aru-a04-001691,.,Asu-2-001996,Asu-9-001165,Ath-2-002192,Bdiv-4-002065,Bst-4-000794,.,Cen-10-001980,Cfle-4-001975,Chivh-4-002799,Cla-7-01926,Cne-2-001362,Cpl-393-001636,Crub-4-000943,Csa-5-002329,.,Csa-16-001071,Eche-7-001695,Esal-3-001197,Iind-5-001877,Mpe-3-000294,Mpyg-2-001974,.,Tar-4-001777,,,
Aara-5-000677,Aare-4-000964,Aha-4-001011,Alsp-4-001078,Aru-a04-001690,Aru-b04-001696,Asu-2-001997,Asu-9-001166,Ath-2-002193,Bdiv-4-002066,Bst-4-000793,Cen-3-000990,Cen-10-001937,Cfle-4-001974,Chivh-4-002798,Cla-7-01927,Cne-2-001361,Cpl-393-001635,Crub-4-000944,Csa-5-002328,Csa-7-001113,Csa-16-001070,Eche-7-001694,Esal-3-001198,Iind-5-001876,Mpe-3-000296,Mpyg-2-001975,.,Tar-4-001776,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000945,.,.,.,.,.,.,.,.,.,.,,,
Aara-5-000676,Aare-4-000965,Aha-4-001013,Alsp-4-001079,.,Aru-b04-001695,Asu-2-001998,Asu-9-001168,Ath-2-002194,Bdiv-4-002067,Bst-4-000792,Cen-3-000991,Cen-10-001936,.,Chivh-4-002797,Cla-7-01928,.,.,Crub-4-000946,Csa-5-002327,Csa-7-001112,Csa-16-001069,Eche-7-001693,Esal-3-001199,Iind-5-001875,Mpe-3-000297,Mpyg-2-001976,.,Tar-4-001775,,,
Aara-5-000675,.,Aha-4-001014,Alsp-4-001080,.,Aru-b04-001694,Asu-2-001999,Asu-9-001169,Ath-2-002195,Bdiv-4-002068,Bst-4-000791,Cen-3-000993,Cen-10-001934,.,Chivh-4-002796,Cla-7-01929,Cne-2-001356,Cpl-393-001633,Crub-4-000947,Csa-5-002326,.,Csa-16-001068,Eche-7-001692,Esal-3-001200,Iind-5-001874,Mpe-3-000298,Mpyg-2-001977,.,Tar-4-001774,,,
