,Aare-2-000003,Aha-2-000001,Alsp-2-000002,Aru-a02-002015,Aru-b02-000006,Asu-1-005099,Asu-7-000002,Ath-1-005393,Bdiv-1-001742,Bst-1-003188,,Cen-14-002794,Cfle-7-002488,Chivh-2-006206,Cla-5-02337,Cne-2-005372,Cpl-481-000002,Crub-2-000001,Csa-9-004813,,Csa-16-004146,Eche-4-000017,Esal-2-003258,Iind-1-003667,Mpe-14-000712,,Spar-2-000001,,,,
Aara-2-001076,.,.,Alsp-1-004813,Aru-a02-001456,Aru-b02-000677,Asu-1-004299,Asu-7-000868,Ath-1-004528,,Bst-1-002227,Cen-6-000920,,Cfle-7-001635,Chivh-4-003739,Cla-5-01586,Cne-2-001892,Cpl-396-001596,Crub-2-000847,Csa-17-004615,Csa-7-001436,,Eche-4-000643,Esal-2-002416,Iind-1-002806,Mpe-54-000009,Mpyg-6-001417,,,,,
Aara-2-001077,Aare-2-000864,.,Alsp-1-004812,Aru-a02-001453,Aru-b02-000679,.,Asu-7-000870,.,,Bst-1-002225,Cen-6-000913,,.,Chivh-4-003740,Cla-5-01585,Cne-2-001894,Cpl-396-001597,Crub-2-000848,Csa-17-004613,Csa-7-001435,,.,Esal-2-002415,.,Mpe-54-000008,Mpyg-6-001416,,,,,
Aara-2-001078,Aare-2-000866,.,Alsp-1-004811,,Aru-b02-000680,Asu-1-004298,Asu-7-000873,Ath-1-004527,,.,Cen-6-000911,,Cfle-7-001639,Chivh-4-003747,Cla-5-01583,Cne-2-001895,.,Crub-2-000849,Csa-5-002847,Csa-7-001434,Csa-16-001359,Eche-4-000653,Esal-2-002414,Iind-1-002804,,Mpyg-6-001415,,,,,
.,.,.,.,,.,Asu-1-004295,.,Ath-1-004523,,.,.,,.,Chivh-4-003749,.,Cne-2-001898,.,Crub-2-000850,Csa-5-002844,Csa-7-001431,.,,.,.,,.,,,,,
Aara-2-001079,Aare-2-000869,.,.,,.,Asu-1-004293,Asu-7-000879,Ath-1-004521,,.,.,,Cfle-7-001640,Chivh-4-003752,.,Cne-2-001902,Cpl-396-001601,Crub-2-000851,Csa-5-002842,Csa-7-001429,Csa-16-001353,,.,.,Mpe-34-000004,Mpyg-6-001413,,,,,
Aara-2-001080,Aare-2-000871,Aha-2-000916,Alsp-1-004808,,Aru-b02-000681,Asu-1-004292,.,Ath-1-004520,,Bst-1-002222,Cen-6-000908,,Cfle-7-001642,Chivh-4-003755,Cla-5-01580,Cne-2-001905,Cpl-396-001602,Crub-2-000852,Csa-5-002841,.,Csa-16-001351,,.,Iind-1-002797,Mpe-34-000005,Mpyg-6-001412,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000853,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000854,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000855,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000856,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000857,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000858,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000859,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000860,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000861,,.,.,,.,.,.,.,,,,,
Aara-2-001083,.,,.,,.,.,Asu-7-000880,.,,,.,,.,.,.,.,.,Crub-2-000862,,.,.,,Esal-2-002408,.,Mpe-34-000006,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000863,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000864,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000865,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000866,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000867,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000868,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000869,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000870,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000871,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000872,,.,.,,.,.,.,.,,,,,
.,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000873,,.,.,,.,.,.,.,,,,,
Aara-2-001097,.,Aha-2-000905,Alsp-1-004806,,Aru-b02-000684,Asu-1-004290,Asu-7-000884,Ath-1-004518,,,Cen-6-000905,,Cfle-7-001644,Chivh-4-003756,Cla-5-01579,.,Cpl-396-001604,Crub-2-000874,Csa-5-003192,Csa-7-001427,Csa-16-001349,Eche-4-000656,Esal-2-002405,Iind-1-002793,Mpe-34-000008,Mpyg-6-001410,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000875,.,.,.,.,.,.,.,.,,,,,
Aara-2-001098,Aare-2-000878,.,Alsp-1-004804,,Aru-b02-000685,.,Asu-7-000886,Ath-1-004516,,,.,,Cfle-7-001645,Chivh-4-003757,Cla-5-01576,Cne-2-001907,.,Crub-2-000876,Csa-5-003190,Csa-7-001426,Csa-16-001348,Eche-4-000657,Esal-2-002404,Iind-1-002789,Mpe-34-000009,.,,,,,
Aara-2-001099,.,Aha-2-000929,Alsp-1-004802,,Aru-b02-000687,Asu-1-004286,Asu-7-000888,Ath-1-004514,,,.,,.,.,Cla-5-01574,Cne-2-001908,.,Crub-2-000877,Csa-5-003186,Csa-7-001424,Csa-16-001346,Eche-4-000658,Esal-2-002399,Iind-1-002782,Mpe-34-000020,Mpyg-6-001408,,,,,
.,.,.,Alsp-1-004801,,.,Asu-1-004285,Asu-7-000889,Ath-1-004513,,,.,,.,.,.,Cne-2-001909,.,Crub-2-000878,Csa-5-003185,.,Csa-16-001345,.,.,.,.,.,,,,,
Aara-2-001102,Aare-2-000881,Aha-2-000930,Alsp-1-004800,,Aru-b02-000691,Asu-1-004284,Asu-7-000891,Ath-1-004512,,,Cen-6-000900,,Cfle-7-001655,Chivh-4-003760,Cla-5-01571,Cne-2-001910,Cpl-396-001612,Crub-2-000879,Csa-5-003184,Csa-7-001423,Csa-16-001343,Eche-4-000659,Esal-2-002392,Iind-1-002769,Mpe-34-000029,Mpyg-6-001406,,,,,
.,.,Aha-2-000949,Alsp-1-004799,,.,Asu-1-004283,Asu-7-000892,Ath-1-004511,,,.,,.,.,.,.,.,Crub-2-000880,Csa-5-003183,.,.,.,.,.,.,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000881,.,.,.,.,.,.,.,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000882,.,.,.,.,.,.,.,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000883,.,.,.,.,.,.,.,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000884,.,.,.,.,.,.,.,.,,,,,
Aara-2-001103,Aare-2-000883,Aha-2-000950,Alsp-1-004798,,Aru-b02-000695,Asu-1-004282,Asu-7-000893,Ath-1-004510,,,Cen-6-000897,,Cfle-7-001662,Chivh-4-003762,Cla-5-01568,Cne-2-001912,Cpl-396-001613,Crub-2-000885,Csa-5-003182,Csa-7-001422,Csa-16-001342,Eche-4-000661,Esal-2-002389,Iind-1-002766,Mpe-34-000031,Mpyg-6-001404,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,Chivh-4-003765,.,Cne-2-001913,.,Crub-2-000886,Csa-5-003181,.,Csa-16-001341,.,.,.,.,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,.,Crub-2-000887,,.,.,.,.,.,.,.,,,,,
.,Aare-2-000884,Aha-2-000951,Alsp-1-004797,,.,Asu-1-004281,Asu-7-000895,Ath-1-004508,,,Cen-6-000896,,.,Chivh-4-003766,Cla-5-01567,.,.,Crub-2-000888,,Csa-7-001421,Csa-16-001340,Eche-4-000662,Esal-2-002383,.,Mpe-34-000032,Mpyg-6-001403,,,,,
Aara-2-001105,Aare-2-000885,Aha-2-000952,Alsp-1-004795,,.,Asu-1-004280,Asu-7-000896,Ath-1-004507,,,.,,.,Chivh-4-003768,Cla-5-01566,Cne-2-001915,.,Crub-2-000889,,Csa-7-001420,Csa-16-001339,Eche-4-000665,.,.,.,.,,,,,
Aara-2-001106,.,Aha-2-000953,Alsp-1-004794,,.,Asu-1-004279,Asu-7-000897,Ath-1-004506,,,Cen-6-000886,,Cfle-7-001667,.,Cla-5-01564,Cne-2-001916,Cpl-396-001618,Crub-2-000890,,Csa-7-001419,Csa-16-001338,Eche-4-000666,Esal-2-002382,Iind-1-002759,Mpe-34-000033,Mpyg-6-001402,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,Cla-5-01563,.,,Crub-2-000891,,Csa-7-001418,Csa-16-001337,Eche-4-000671,.,.,.,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000892,,.,.,.,.,.,.,.,,,,,
Aara-2-001107,Aare-2-000887,Aha-2-000954,Alsp-1-004793,,.,Asu-1-004278,Asu-7-000903,Ath-1-004505,,,.,,.,Chivh-4-003772,Cla-5-01561,.,,Crub-2-000893,,Csa-7-001417,Csa-16-001336,.,Esal-2-002381,Iind-1-002757,Mpe-34-000035,.,,,,,
Aara-2-001108,Aare-2-000888,Aha-2-000956,Alsp-1-004792,,.,Asu-1-004277,Asu-7-000904,Ath-1-004503,,,.,,Cfle-7-001668,Chivh-4-003773,Cla-5-01560,Cne-2-001920,,Crub-2-000894,,Csa-7-001416,Csa-16-001335,Eche-4-000674,.,Iind-1-002756,Mpe-34-000036,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000895,,.,.,.,.,.,.,.,,,,,
Aara-2-001109,Aare-2-000889,Aha-2-000957,Alsp-1-004791,,.,Asu-1-004276,Asu-7-000905,Ath-1-004502,,,Cen-6-000884,,Cfle-7-001669,Chivh-4-003774,Cla-5-01559,Cne-2-001922,,Crub-2-000896,,Csa-7-001414,Csa-16-001333,Eche-4-000679,Esal-2-002377,.,Mpe-34-000039,.,,,,,
Aara-2-001114,Aare-2-000890,Aha-2-000958,Alsp-1-004790,,Aru-b02-000698,Asu-1-004275,Asu-7-000906,Ath-1-004501,,,Cen-6-000883,,Cfle-7-001670,Chivh-4-003775,Cla-5-01556,Cne-2-001923,,Crub-2-000897,,Csa-7-001413,Csa-16-001332,Eche-4-000680,Esal-2-002372,Iind-1-002748,,Mpyg-6-001401,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000898,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000899,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000900,,.,.,.,.,.,,.,,,,,
.,.,Aha-2-000962,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000901,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000902,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,Cfle-7-001671,Chivh-4-003787,.,.,,Crub-2-000903,,Csa-7-001409,Csa-16-001329,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000904,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000905,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000906,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000907,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000908,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000909,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000910,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000911,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000912,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000913,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000914,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000915,,.,.,.,.,.,,.,,,,,
.,.,.,.,,.,.,.,.,,,.,,.,.,.,.,,Crub-2-000916,,.,.,.,.,.,,.,,,,,
Aara-2-001115,Aare-2-000892,Aha-2-000963,Alsp-1-004787,,Aru-b02-000699,Asu-1-004274,Asu-7-000911,Ath-1-004500,Bdiv-1-000459,,.,,.,.,.,Cne-2-001934,,Crub-2-000917,,Csa-7-001408,.,Eche-4-000685,.,.,,Mpyg-6-001400,,,,,
Aara-2-001116,Aare-2-000893,Aha-2-000964,Alsp-1-004786,,.,Asu-1-004273,Asu-7-000913,Ath-1-004499,.,,Cen-6-000880,,.,Chivh-4-003789,Cla-5-01535,.,,Crub-2-000918,,Csa-7-001407,Csa-16-001328,Eche-4-000686,.,Iind-1-002744,,Mpyg-6-001399,,,,,
Aara-2-001117,Aare-2-000894,Aha-2-000965,Alsp-1-004785,,Aru-b02-000703,Asu-1-004272,Asu-7-000914,Ath-1-004498,Bdiv-1-000461,,Cen-6-000879,,Cfle-7-001673,Chivh-4-003790,Cla-5-01534,Cne-2-001936,,Crub-2-000919,,Csa-7-001406,Csa-16-001327,Eche-4-000687,.,Iind-1-002743,,Mpyg-6-001397,,,,,
.,Aare-2-000896,Aha-2-000966,Alsp-1-004781,,.,Asu-1-004271,Asu-7-000919,Ath-1-004497,.,,.,,.,,.,Cne-2-001943,,Crub-2-000920,,.,Csa-16-001326,.,.,.,,.,,,,,
Aara-2-001118,Aare-2-000897,Aha-2-000967,Alsp-1-004779,,Aru-b02-000704,Asu-1-004270,Asu-7-000921,Ath-1-004495,Bdiv-1-000464,,Cen-6-000876,,Cfle-7-001674,,.,Cne-2-001944,,Crub-2-000921,,Csa-7-001405,Csa-16-001325,Eche-4-000689,.,.,,Mpyg-6-001396,,,,,
Aara-2-001119,.,Aha-2-000968,Alsp-1-004778,,.,Asu-1-004269,Asu-7-000922,Ath-1-004494,.,,Cen-6-000874,,.,,Cla-5-01537,Cne-2-001945,,Crub-2-000922,,Csa-7-001404,Csa-16-001324,Eche-4-000690,Esal-2-002371,Iind-1-002740,,Mpyg-6-001395,,,,,
,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000923,,.,.,.,.,,,.,,,,,
,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000924,,.,.,.,.,,,.,,,,,
,.,Aha-2-000970,Alsp-1-004776,,.,Asu-1-004268,Asu-7-000923,Ath-1-004493,.,,.,,.,,.,.,,Crub-2-000925,,.,.,Eche-4-000691,.,,,.,,,,,
,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000926,,.,.,.,.,,,.,,,,,
,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000927,,.,.,.,.,,,.,,,,,
Aara-2-000168,Aare-2-000899,Aha-2-000972,Alsp-1-004775,,Aru-b02-000706,Asu-1-004267,Asu-7-000924,Ath-1-004492,.,,.,,.,,Cla-5-01533,.,,Crub-2-000928,,.,Csa-16-001323,Eche-4-000693,Esal-2-002365,,,Mpyg-6-001394,,,,Ggyn-3-000548,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000929,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000930,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000931,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000932,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000933,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,.,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000935,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000936,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,.,,.,.,.,.,,,.,,,,.,
.,.,.,.,,.,.,.,.,.,,.,,.,,.,.,,Crub-2-000938,,.,.,.,.,,,.,,,,.,
Aara-2-000171,Aare-2-000906,Aha-2-000975,Alsp-1-004766,,Aru-b02-000712,Asu-1-004263,Asu-7-000932,Ath-1-004489,.,,.,,Cfle-7-001677,,Cla-5-01546,Cne-2-001951,,Crub-2-000939,,Csa-7-001402,Csa-16-001320,Eche-4-000701,Esal-2-002346,,,Mpyg-6-001391,,,,Ggyn-3-000552,
.,Aare-2-000907,Aha-2-000976,.,,Aru-b02-000714,Asu-1-004262,Asu-7-000934,Ath-1-004488,Bdiv-1-000468,,.,,Cfle-7-001679,,Cla-5-01527,Cne-2-001952,,Crub-2-000940,,Csa-7-001401,Csa-16-001319,.,,,,Mpyg-6-001389,,,,.,
.,Aare-2-000908,Aha-2-000977,.,,Aru-b02-000715,Asu-1-004261,Asu-7-000935,Ath-1-004487,Bdiv-1-000469,,Cen-6-000872,,Cfle-7-001680,,Cla-5-01548,Cne-2-001953,,Crub-2-000941,,Csa-7-001400,Csa-16-001318,Eche-4-000703,,,,.,,,,.,
.,,.,.,,.,,.,,,,,,.,,.,.,,Crub-2-000942,,.,.,.,,,,.,,,,.,
.,,.,.,,.,,.,,,,,,.,,.,.,,Crub-2-000943,,.,.,.,,,,.,,,,.,
Aara-2-000175,,Aha-2-000981,.,,Aru-b02-000716,,Asu-7-000937,,,,,,.,,Cla-5-01552,.,,Crub-2-000944,,Csa-7-001399,Csa-16-001317,.,,,,Mpyg-6-001387,,,,Ggyn-3-000557,
Aara-2-000181,,Aha-2-000996,Alsp-1-004762,,Aru-b02-000717,,Asu-7-000938,,,,,,.,,Cla-5-01553,Cne-2-001958,,Crub-2-000945,,Csa-7-001398,Csa-16-001316,.,,,,.,,,,.,
.,,.,.,,.,,,,,,,,.,,.,.,,Crub-2-000946,,.,.,.,,,,.,,,,.,
.,,.,.,,.,,,,,,,,.,,.,.,,.,,.,.,.,,,,.,,,,.,
.,,.,.,,.,,,,,,,,.,,.,.,,Crub-2-000948,,.,.,.,,,,.,,,,.,
.,,.,.,,.,,,,,,,,.,,.,.,,Crub-2-000949,,.,.,.,,,,.,,,,.,
.,,.,.,,.,,,,,,,,.,,.,.,,Crub-2-000950,,.,.,.,,,,.,,,,.,
.,,.,.,,.,,,,,,,,.,,.,.,,Crub-2-000951,,.,.,.,,,,.,,,,.,
Aara-2-000183,,.,.,,.,,Asu-7-001039,,,Bst-2-001999,,,Cfle-7-001624,,Cla-5-01518,Cne-2-001973,,Crub-2-000952,,.,Csa-16-001308,Eche-4-000705,,,,.,,,,.,
.,,.,.,,.,,.,,,.,,,.,,.,.,,Crub-2-000953,,.,.,.,,,,.,,,,.,
.,Aare-2-000962,.,Alsp-2-000756,,.,Asu-1-005100,.,Ath-1-005394,,.,Cen-6-000960,,.,,Cla-5-01506,.,,Crub-2-000954,,Csa-7-001388,.,.,,,,.,,,,Ggyn-3-000560,
.,.,.,.,,.,.,.,.,,.,.,,.,,.,.,,Crub-2-000955,,.,.,.,,,,.,,,,.,
.,.,.,.,,.,.,.,.,,.,.,,.,,.,.,,Crub-2-000956,,.,.,.,,,,.,,,,.,
.,Aare-2-000965,.,Alsp-2-000762,,Aru-b02-000730,Asu-1-005103,Asu-7-001053,Ath-1-005397,,.,Cen-6-000961,,Cfle-7-001691,,Cla-5-01505,Cne-2-001976,,Crub-2-000957,,Csa-7-001390,Csa-16-001305,.,,,,Mpyg-6-001384,,,,Ggyn-3-000561,
.,.,.,Alsp-1-004757,,.,.,.,.,,.,.,,.,,,.,,Crub-2-000958,,.,,.,,,,.,,,,.,
.,.,.,.,,.,.,.,.,,.,.,,.,,,.,,Crub-2-000959,,.,,.,,,,.,,,,.,
.,.,.,.,,.,.,.,.,,.,.,,.,,,.,,Crub-2-000960,,.,,.,,,,.,,,,.,
.,.,.,.,,.,.,.,.,,.,.,,.,,,.,,Crub-2-000961,,.,,.,,,,.,,,,.,
Aara-2-000191,Aare-2-000979,Aha-2-001013,Alsp-2-000772,Aru-a02-001441,.,Asu-1-005112,Asu-7-001070,Ath-1-005406,,Bst-2-002006,Cen-6-000983,,Cfle-7-001616,,,.,,Crub-2-000962,,Csa-7-001395,,Eche-4-000712,,Iind-7-001764,,Mpyg-6-001369,,,,Ggyn-3-000581,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000963,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000964,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000965,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000966,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000967,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,.,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000969,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000970,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000971,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000972,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000973,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000974,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000975,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000976,,.,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,,.,.,,.,,,.,,Crub-2-000977,,.,,.,,.,,.,,,,.,
Aara-2-000192,Aare-2-000985,Aha-2-001020,Alsp-2-000775,Aru-a02-001440,Aru-b02-000733,Asu-1-005114,Asu-7-001076,Ath-1-005408,Bdiv-2-001803,Bst-2-002010,Cen-6-000984,,Cfle-7-001615,,,.,,Crub-2-000978,,Csa-7-001396,,Eche-4-000714,,Iind-7-001761,,Mpyg-6-001368,,,,.,
Aara-2-000193,.,Aha-2-001022,Alsp-2-000777,Aru-a02-001435,.,Asu-1-005115,Asu-7-001077,Ath-1-005409,.,.,.,,.,,,.,,Crub-2-000979,,Csa-7-001397,,Eche-4-000715,,.,,Mpyg-6-001367,,,,Ggyn-3-000586,
.,.,Aha-2-001023,Alsp-2-000780,.,.,Asu-1-005116,Asu-7-001079,Ath-1-005410,.,.,Cen-6-000986,,.,,,.,,Crub-2-000980,,,,.,,.,,Mpyg-6-001366,,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,,.,,Crub-2-000981,,,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,,.,,Crub-2-000982,,,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,,.,,Crub-2-000983,,,,.,,.,,.,,,,.,
.,.,Aha-2-001024,Alsp-2-000781,.,.,Asu-1-005117,.,Ath-1-005411,.,.,Cen-6-000993,,.,,,.,,Crub-2-000984,,,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,,.,,Crub-2-000985,,,,.,,.,,.,,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,,.,,Crub-2-000986,,,,.,,.,,.,,,,.,
Aara-2-000194,Aare-2-000988,Aha-2-001027,Alsp-2-000783,.,.,Asu-1-005119,Asu-7-001080,Ath-1-005413,.,Bst-2-002014,Cen-6-001000,,.,,Cla-5-01443,.,,Crub-2-000987,,,,.,Esal-1-001546,Iind-7-001752,,Mpyg-6-001357,Spar-5-001347,,,.,
.,.,.,.,.,.,.,.,.,Bdiv-2-001797,.,.,,.,,.,.,,Crub-2-000988,,,,.,.,.,,.,.,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,.,.,,Crub-2-000989,,,,.,.,.,,.,.,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,.,.,,Crub-2-000990,,,,.,.,.,,.,.,,,.,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,.,.,,Crub-2-000991,,,,.,.,.,,.,.,,,.,
Aara-2-000195,.,Aha-2-001031,Alsp-2-000791,.,Aru-b02-000745,Asu-1-005122,Asu-7-001081,Ath-1-005416,.,Bst-2-002016,Cen-6-001006,,Cfle-7-001606,,Cla-5-01444,.,,Crub-2-000992,,,,Eche-4-000718,.,Iind-7-001743,,Mpyg-6-001356,Spar-5-001348,,,.,
Aara-2-000196,.,Aha-2-001032,Alsp-2-000792,.,Aru-b02-000747,Asu-1-005123,Asu-7-001082,Ath-1-005417,.,.,Cen-6-001009,,.,,Cla-5-01446,.,,Crub-2-000993,,,,Eche-4-000719,.,Iind-7-001737,,Mpyg-6-001355,.,,,Ggyn-3-000588,
.,.,.,.,.,.,.,.,.,.,.,.,,.,,.,.,,Crub-2-000994,,,,.,.,.,,.,.,,,.,
Aara-2-000197,Aare-2-000996,Aha-2-001033,Alsp-2-000793,.,.,Asu-1-005124,Asu-7-001084,Ath-1-005418,.,Bst-2-002019,Cen-6-001022,,.,Chivh-4-003795,Cla-5-01448,Cne-2-001980,,Crub-2-000995,,Csa-7-001355,,Eche-4-000720,.,Iind-7-001735,,Mpyg-6-001354,Spar-5-001352,Tar-5-001655,,.,
.,.,,.,.,.,.,.,.,.,.,.,,.,.,.,.,,Crub-2-000996,,.,,.,.,.,,.,.,.,,.,
Aara-2-000198,.,Aha-2-001078,Alsp-2-000801,Aru-a02-001433,Aru-b02-000755,Asu-1-005125,Asu-7-001091,Ath-1-005419,.,.,Cen-6-001024,,.,.,Cla-5-01450,.,,Crub-2-000997,,.,,Eche-4-000722,.,Iind-7-001734,,Mpyg-6-001353,Spar-5-001353,.,,Ggyn-3-000590,
