ACBK1g00001,Tar-1-004059
ACBK1g03027,Tar-1-001196
ACBK1g03028,Tar-1-001197
ACBK1g03029,Tar-1-001205
ACBK1g03030,.
ACBK1g03031,.
ACBK1g03032,Tar-1-001207
ACBK1g03033,Tar-1-001208
ACBK1g03034,Tar-1-001209
ACBK1g03035,Tar-1-001210
ACBK1g03036,Tar-1-001212
ACBK1g03037,Tar-1-001213
ACBK1g03038,Tar-1-001215
ACBK1g03039,Tar-1-001216
ACBK1g03040,Tar-1-001219
ACBK1g03041,.
ACBK1g03042,.
ACBK1g03043,.
ACBK1g03044,.
ACBK1g03045,Tar-1-001222
ACBK1g03046,.
ACBK1g03047,.
ACBK1g03048,Tar-1-001239
ACBK1g03049,Tar-1-001247
ACBK1g03050,.
ACBK1g03051,Tar-1-001249
ACBK1g03052,Tar-1-001250
ACBK1g03053,Tar-1-001251
ACBK1g03054,Tar-1-001252
ACBK1g03055,.
ACBK1g03056,.
ACBK1g03057,.
ACBK1g03058,Tar-1-001253
ACBK1g03059,.
ACBK1g03060,Tar-1-001254
ACBK1g03061,.
ACBK1g03062,.
ACBK1g03063,.
ACBK1g03064,Tar-1-001256
ACBK1g03065,.
ACBK1g03066,Tar-1-001259
ACBK1g03067,.
ACBK1g03068,.
ACBK1g03069,.
ACBK1g03070,.
ACBK1g03071,.
ACBK1g03072,.
ACBK1g03073,.
ACBK1g03074,.
ACBK1g03075,.
ACBK1g03076,Tar-1-001261
ACBK1g03077,.
ACBK1g03078,.
ACBK1g03079,.
ACBK1g03080,.
ACBK1g03081,.
ACBK1g03082,.
ACBK1g03083,.
ACBK1g03084,.
ACBK1g03085,.
ACBK1g03086,.
ACBK1g03087,.
ACBK1g03088,.
ACBK1g03089,.
ACBK1g03090,.
ACBK1g03091,.
ACBK1g03092,.
ACBK1g03093,.
ACBK1g03094,Tar-1-001263
ACBK1g03095,Tar-1-001264
ACBK1g03096,Tar-1-001266
ACBK1g03097,Tar-1-001268
ACBK1g03098,Tar-1-001269
ACBK1g03099,Tar-1-001270
ACBK1g03100,Tar-1-001271
ACBK1g03101,.
ACBK1g03102,.
ACBK1g03103,Tar-1-001272
ACBK1g03104,Tar-1-001274
ACBK1g03105,Tar-1-001276
ACBK1g03106,Tar-1-001280
ACBK1g03107,Tar-1-001281
ACBK1g03108,.
ACBK1g03109,Tar-1-001293
ACBK1g03110,.
ACBK1g03111,.
ACBK1g03112,.
ACBK1g03113,.
ACBK1g03114,.
ACBK1g03115,.
ACBK1g03116,.
ACBK1g03117,.
ACBK1g03118,.
ACBK1g03119,.
ACBK1g03120,.
ACBK1g03121,.
ACBK1g03122,Tar-1-001304
ACBK1g03123,.
ACBK1g03124,.
ACBK1g03125,Tar-1-001306
ACBK1g03126,Tar-1-001308
ACBK1g03127,.
ACBK1g03128,.
ACBK1g03129,.
ACBK1g03130,Tar-1-001309
ACBK1g03131,.
ACBK1g03132,Tar-1-001310
ACBK1g03133,Tar-1-001313
ACBK1g03134,.
ACBK1g03135,Tar-1-001314
ACBK1g03136,.
ACBK1g03137,.
ACBK1g03138,.
ACBK1g03139,Tar-1-001315
ACBK1g03140,.
ACBK1g03141,Tar-1-001316
ACBK1g03142,Tar-1-001318
ACBK1g03143,Tar-1-001321
ACBK1g03144,.
ACBK1g03145,.
ACBK1g03146,.
ACBK1g03147,.
ACBK1g03148,.
ACBK1g03149,.
ACBK1g03150,.
ACBK1g03151,.
ACBK1g03152,Tar-1-001331
ACBK1g03153,Tar-1-001326
ACBK1g03154,.
ACBK1g03155,.
ACBK1g03156,Tar-1-001324
ACBK1g03157,Tar-1-001323
ACBK1g03158,Tar-1-001322
ACBK1g03159,.
ACBK1g03160,.
ACBK1g03161,.
ACBK1g03162,.
ACBK1g03163,.
ACBK1g03164,Tar-1-001325
ACBK1g03165,.
ACBK1g03166,.
ACBK1g03167,.
ACBK1g03168,.
ACBK1g03169,.
ACBK1g03170,.
ACBK1g03171,.
ACBK1g03172,.
ACBK1g03173,.
ACBK1g03174,.
ACBK1g03175,.
ACBK1g03176,.
ACBK1g03177,.
ACBK1g03178,.
ACBK1g03179,.
ACBK1g03180,.
ACBK1g03181,.
ACBK1g03182,.
ACBK1g03183,.
ACBK1g03184,.
ACBK1g03185,.
ACBK1g03186,.
ACBK1g03187,.
ACBK1g03188,Tar-1-001334
ACBK1g03189,.
ACBK1g03190,.
ACBK1g03191,.
ACBK1g03192,Tar-1-001365
ACBK1g03193,.
ACBK1g03194,Tar-1-001366
ACBK1g03195,Tar-1-001368
ACBK1g03196,.
ACBK1g03197,Tar-1-001369
ACBK1g03198,.
ACBK1g03199,.
ACBK1g03200,.
ACBK1g03201,.
ACBK1g03202,.
ACBK1g03203,.
ACBK1g03204,Tar-1-001376
ACBK1g03205,.
ACBK1g03206,.
ACBK1g03207,Tar-1-001344
ACBK1g03208,Tar-1-001345
ACBK1g03209,.
ACBK1g03210,.
ACBK1g03211,Tar-1-001346
ACBK1g03212,.
ACBK1g03213,.
ACBK1g03214,.
ACBK1g03215,.
ACBK1g03216,.
ACBK1g03217,.
ACBK1g03218,.
ACBK1g03219,.
ACBK1g03220,Tar-1-001348
ACBK1g03221,Tar-1-001350
ACBK1g03222,
ACBK1g03223,
ACBK1g03224,
ACBK1g03225,
ACBK1g03226,
ACBK1g03227,
ACBK1g03228,
ACBK1g03229,
ACBK1g03230,
ACBK1g03231,
ACBK1g03232,
ACBK1g03233,Tar-1-001385
ACBK1g03234,Tar-1-001384
ACBK1g03235,Tar-1-001383
ACBK1g03236,Tar-1-001381
ACBK1g03237,.
ACBK1g03238,.
ACBK1g03239,.
ACBK1g03240,.
ACBK1g03241,Tar-1-001377
ACBK1g03242,.
ACBK1g03243,.
ACBK1g03244,Tar-1-001362
ACBK1g03245,.
ACBK1g03246,.
ACBK1g03247,Tar-1-001361
ACBK1g03248,
ACBK1g03249,
ACBK1g03250,
ACBK1g03251,
ACBK1g03252,
ACBK1g03253,
ACBK1g03254,
ACBK1g03255,
ACBK1g03256,
ACBK1g03257,
ACBK1g03258,
ACBK1g03259,
ACBK1g03260,
ACBK1g03261,
ACBK1g03262,
ACBK1g03263,
ACBK1g03264,
ACBK1g03265,
ACBK1g03266,
ACBK1g03267,
ACBK1g03268,
ACBK1g03269,
ACBK1g03270,
ACBK1g03271,
ACBK1g03272,
ACBK1g03273,
ACBK1g03274,
ACBK1g03275,
ACBK1g03276,
ACBK1g03277,
ACBK1g03278,
ACBK1g03279,
ACBK1g03280,
ACBK1g03281,
ACBK1g03282,
ACBK1g03283,
ACBK1g03284,
ACBK1g03285,
ACBK1g03286,
ACBK1g03287,
ACBK1g03288,
ACBK1g03289,
ACBK1g03290,
ACBK1g03291,
ACBK1g03292,
ACBK1g03293,
ACBK1g03294,
ACBK1g03295,
ACBK1g03296,
ACBK1g03297,
ACBK1g03298,
ACBK1g03299,
ACBK1g03300,
ACBK1g03301,
ACBK1g03302,
ACBK1g03303,
ACBK1g03304,
ACBK1g03305,
ACBK1g03306,
ACBK1g03307,
ACBK1g03308,
ACBK1g03309,
ACBK1g03310,
ACBK1g03311,
ACBK1g03312,
ACBK1g03313,
ACBK1g03314,
ACBK1g03315,
ACBK1g03316,
ACBK1g03317,
ACBK1g03318,
ACBK1g03319,
ACBK1g03320,
ACBK1g03321,
ACBK1g03322,
ACBK1g03323,
ACBK1g03324,
ACBK1g03325,
ACBK1g03326,
ACBK1g03327,
ACBK1g03328,
ACBK1g03329,
ACBK1g03330,Tar-1-001352
ACBK1g03331,.
ACBK1g03332,.
ACBK1g03333,.
ACBK1g03334,Tar-1-001354
ACBK1g03335,.
ACBK1g03336,.
ACBK1g03337,.
ACBK1g03338,.
ACBK1g03339,.
ACBK1g03340,.
ACBK1g03341,Tar-1-001356
ACBK1g03342,Tar-1-001357
ACBK1g03343,.
ACBK1g03344,.
ACBK1g03345,Tar-1-001358
ACBK1g03346,
ACBK1g03347,
ACBK1g03348,
ACBK1g03349,
ACBK1g03350,
ACBK1g03351,
ACBK1g03352,
ACBK1g03353,
ACBK1g03354,Tar-1-001425
ACBK1g03355,Tar-1-001424
ACBK1g03356,Tar-1-001421
ACBK1g03357,Tar-1-001419
ACBK1g03358,.
ACBK1g03359,Tar-1-001418
ACBK1g03360,Tar-1-001417
ACBK1g03361,.
ACBK1g03362,Tar-1-001414
ACBK1g03363,Tar-1-001413
ACBK1g03364,Tar-1-001412
ACBK1g03365,.
ACBK1g03366,Tar-1-001409
ACBK1g03367,Tar-1-001408
ACBK1g03368,
ACBK1g03369,
ACBK1g03370,
ACBK1g03371,
ACBK1g03372,
ACBK1g03373,
ACBK1g03374,
ACBK1g03375,
ACBK1g03376,
ACBK1g03377,
ACBK1g03378,Tar-1-001453
ACBK1g03379,.
ACBK1g03380,.
ACBK1g03381,.
ACBK1g03382,.
ACBK1g03383,Tar-1-001456
ACBK1g03384,Tar-1-001460
ACBK1g03385,Tar-1-001463
ACBK1g03386,.
ACBK1g03387,Tar-1-001469
ACBK1g03388,Tar-1-001470
ACBK1g03389,.
ACBK1g03390,.
ACBK1g03391,Tar-1-001472
ACBK1g03392,Tar-1-001473
ACBK1g03393,.
ACBK1g03394,.
ACBK1g03395,.
ACBK1g03396,.
ACBK1g03397,.
ACBK1g03398,.
ACBK1g03399,.
ACBK1g03400,.
ACBK1g03401,.
ACBK1g03402,.
ACBK1g03403,.
ACBK1g03404,.
ACBK1g03405,.
ACBK1g03406,.
ACBK1g03407,Tar-1-001496
ACBK1g03408,.
ACBK1g03409,.
ACBK1g03410,Tar-1-001498
ACBK1g03411,Tar-1-001499
ACBK1g03412,Tar-1-001500
ACBK1g03413,Tar-1-001502
ACBK1g03414,Tar-1-001504
ACBK1g03415,.
ACBK1g03416,Tar-1-001505
ACBK1g03417,Tar-1-001506
ACBK1g03418,.
ACBK1g03419,.
ACBK1g03420,Tar-1-001511
ACBK1g03421,Tar-1-001512
ACBK1g03422,Tar-1-001476
ACBK1g03423,Tar-1-001478
ACBK1g03424,Tar-1-001482
ACBK1g03425,Tar-1-001483
ACBK1g03426,Tar-1-001484
ACBK1g03427,.
ACBK1g03428,.
ACBK1g03429,.
ACBK1g03430,.
ACBK1g03431,Tar-1-001518
ACBK1g03432,Tar-1-001520
ACBK1g03433,Tar-1-001522
ACBK1g03434,.
ACBK1g03435,Tar-1-001523
ACBK1g03436,Tar-1-001524
ACBK1g03437,.
ACBK1g03438,.
ACBK1g03439,Tar-1-001525
ACBK1g03440,Tar-1-001528
ACBK1g03441,.
ACBK1g03442,.
ACBK1g03443,Tar-1-001535
ACBK1g03444,.
ACBK1g03445,.
ACBK1g03446,.
ACBK1g03447,.
ACBK1g03448,.
ACBK1g03449,.
ACBK1g03450,.
ACBK1g03451,.
ACBK1g03452,.
ACBK1g03453,.
ACBK1g03454,Tar-1-001540
ACBK1g03455,Tar-1-001547
ACBK1g03456,Tar-1-001548
ACBK1g03457,Tar-1-001549
ACBK1g03458,Tar-1-001554
ACBK1g03459,.
ACBK1g03460,Tar-1-001555
ACBK1g03461,.
ACBK1g03462,.
ACBK1g03463,.
ACBK1g03464,.
ACBK1g03465,.
ACBK1g03466,.
ACBK1g03467,.
ACBK1g03468,.
ACBK1g03469,.
ACBK1g03470,.
ACBK1g03471,Tar-1-001558
ACBK1g03472,Tar-1-001561
ACBK1g03473,.
ACBK1g03474,.
ACBK1g03475,.
ACBK1g03476,.
ACBK1g03477,Tar-1-001566
ACBK1g03478,.
ACBK1g03479,.
ACBK1g03480,Tar-1-001568
ACBK1g03481,Tar-1-001570
ACBK1g03482,Tar-1-001574
ACBK1g03483,.
ACBK1g03484,Tar-1-001576
ACBK1g03485,.
ACBK1g03486,Tar-1-001579
ACBK1g03487,.
ACBK1g03488,.
ACBK1g03489,Tar-1-001580
ACBK1g03490,.
ACBK1g03491,Tar-1-001581
ACBK1g03492,.
ACBK1g03493,Tar-1-001584
ACBK1g03494,.
ACBK1g03495,.
ACBK1g03496,.
ACBK1g03497,.
ACBK1g03498,.
ACBK1g03499,.
ACBK1g03500,Tar-1-001591
ACBK1g03501,Tar-1-001592
ACBK1g03502,Tar-1-001593
ACBK1g03503,.
ACBK1g03504,Tar-1-001594
ACBK1g03505,.
ACBK1g03506,Tar-1-001595
ACBK1g03507,.
ACBK1g03508,Tar-1-001596
ACBK1g03509,.
ACBK1g03510,Tar-1-001597
ACBK1g03511,.
ACBK1g03512,Tar-1-001598
ACBK1g03513,.
ACBK1g03514,.
ACBK1g03515,.
ACBK1g03516,.
ACBK1g03517,.
ACBK1g03518,.
ACBK1g03519,.
ACBK1g03520,Tar-1-001608
ACBK1g03521,.
ACBK1g03522,Tar-1-001609
ACBK1g03523,.
ACBK1g03524,Tar-1-001611
ACBK1g03525,Tar-1-001613
ACBK1g03526,.
ACBK1g03527,.
ACBK1g03528,.
ACBK1g03529,.
ACBK1g03530,.
ACBK1g03531,.
ACBK1g03532,.
ACBK1g03533,.
ACBK1g03534,.
ACBK1g03535,.
ACBK1g03536,Tar-1-001614
ACBK1g03537,Tar-1-001616
ACBK1g03538,.
ACBK1g03539,.
ACBK1g03540,.
ACBK1g03541,.
ACBK1g03542,.
ACBK1g03543,.
ACBK1g03544,.
ACBK1g03545,.
ACBK1g03546,.
ACBK1g03547,.
ACBK1g03548,.
ACBK1g03549,.
ACBK1g03550,.
ACBK1g03551,.
ACBK1g03552,.
ACBK1g03553,.
ACBK1g03554,.
ACBK1g03555,.
ACBK1g03556,Tar-1-001620
ACBK1g03557,.
ACBK1g03558,.
ACBK1g03559,.
ACBK1g03560,.
ACBK1g03561,.
ACBK1g03562,.
ACBK1g03563,.
ACBK1g03564,.
ACBK1g03565,.
ACBK1g03566,.
ACBK1g03567,.
ACBK1g03568,.
ACBK1g03569,.
ACBK1g03570,.
ACBK1g03571,.
ACBK1g03572,.
ACBK1g03573,.
ACBK1g03574,.
ACBK1g03575,Tar-1-001625
ACBK1g03576,Tar-1-001629
ACBK1g03577,.
ACBK1g03578,Tar-1-001630
ACBK1g03579,.
ACBK1g03580,Tar-1-001631
ACBK1g03581,Tar-1-001632
ACBK1g03582,Tar-1-001636
ACBK1g03583,.
ACBK1g03584,Tar-1-001638
ACBK1g03585,.
ACBK1g03586,.
ACBK1g03587,Tar-1-001639
ACBK1g03588,.
ACBK1g03589,Tar-1-001640
ACBK1g03590,.
ACBK1g03591,Tar-1-001644
ACBK1g03592,Tar-1-001645
ACBK1g03593,Tar-1-001646
ACBK1g03594,Tar-1-001647
ACBK1g03595,.
ACBK1g03596,.
ACBK1g03597,Tar-1-001650
ACBK1g03598,Tar-1-001654
ACBK1g03599,Tar-1-001655
ACBK1g03600,Tar-1-001656
ACBK1g03601,Tar-1-001657
ACBK1g03602,Tar-1-001659
ACBK1g03603,Tar-1-001660
ACBK1g03604,Tar-1-001662
ACBK1g03605,.
ACBK1g03606,.
ACBK1g03607,Tar-1-001682
ACBK1g03608,Tar-1-001683
ACBK1g03609,.
ACBK1g03610,.
ACBK1g03611,.
ACBK1g03612,.
ACBK1g03613,.
ACBK1g03614,.
ACBK1g03615,Tar-1-001684
ACBK1g03616,Tar-1-001685
ACBK1g03617,Tar-1-001686
ACBK1g03618,Tar-1-001687
ACBK1g03619,.
ACBK1g03620,Tar-1-001688
ACBK1g03621,Tar-1-001689
ACBK1g03622,Tar-1-001690
ACBK1g03623,Tar-1-001691
ACBK1g03624,.
ACBK1g03625,.
ACBK1g03626,Tar-1-001694
ACBK1g03627,Tar-1-001698
ACBK1g03628,.
ACBK1g03629,.
ACBK1g03630,.
ACBK1g03631,Tar-1-001699
ACBK1g03632,Tar-1-001700
ACBK1g03633,.
ACBK1g03634,Tar-1-001702
ACBK1g03635,.
ACBK1g03636,Tar-1-001704
ACBK1g03637,Tar-1-001705
ACBK1g03638,Tar-1-001706
ACBK1g03639,Tar-1-001707
ACBK1g03640,.
ACBK1g03641,.
ACBK1g03642,.
ACBK1g03643,Tar-1-001709
ACBK1g03644,Tar-1-001711
ACBK1g03645,Tar-1-001712
ACBK1g03646,Tar-1-001713
ACBK1g03647,Tar-1-001714
ACBK1g03648,Tar-1-001715
ACBK1g03649,.
ACBK1g03650,.
ACBK1g03651,.
ACBK1g03652,Tar-1-001717
ACBK1g03653,Tar-1-001718
ACBK1g03654,.
ACBK1g03655,Tar-1-001719
ACBK1g03656,Tar-1-001724
ACBK1g03657,Tar-1-001725
ACBK1g03658,Tar-1-001726
ACBK1g03659,Tar-1-001728
ACBK1g03660,Tar-1-001729
ACBK1g03661,.
ACBK1g03662,.
ACBK1g03663,.
ACBK1g03664,.
ACBK1g03665,.
ACBK1g03666,.
ACBK1g03667,Tar-1-001733
ACBK1g03668,.
ACBK1g03669,.
ACBK1g03670,Tar-1-001735
ACBK1g03671,Tar-1-001736
ACBK1g03672,Tar-1-001738
ACBK1g03673,Tar-1-001739
ACBK1g03674,Tar-1-001740
ACBK1g03675,.
ACBK1g03676,Tar-1-001742
ACBK1g03677,Tar-1-001748
ACBK1g03678,Tar-1-001749
ACBK1g03679,Tar-1-001750
ACBK1g03680,Tar-1-001751
ACBK1g03681,Tar-1-001753
ACBK1g03682,.
ACBK1g03683,.
ACBK1g03684,.
ACBK1g03685,Tar-1-001754
ACBK1g03686,Tar-1-001755
ACBK1g03687,Tar-1-001756
ACBK1g03688,Tar-1-001757
ACBK1g03689,Tar-1-001758
ACBK1g03690,Tar-1-001759
ACBK1g03691,.
ACBK1g03692,.
ACBK1g03693,.
ACBK1g03694,.
ACBK1g03695,.
ACBK1g03696,Tar-1-001761
ACBK1g03697,Tar-1-001763
ACBK1g03698,Tar-1-001765
ACBK1g03699,Tar-1-001766
ACBK1g03700,.
ACBK1g03701,.
ACBK1g03702,.
ACBK1g03703,.
ACBK1g03704,.
ACBK1g03705,Tar-1-001770
ACBK1g03706,Tar-1-001771
ACBK1g03707,.
ACBK1g03708,.
ACBK1g03709,.
ACBK1g03710,.
ACBK1g03711,Tar-1-001775
ACBK1g03712,.
ACBK1g03713,Tar-1-001776
ACBK1g03714,Tar-1-001777
ACBK1g03715,Tar-1-001778
ACBK1g03716,.
ACBK1g03717,.
ACBK1g03718,Tar-1-001784
ACBK1g03719,Tar-1-001785
ACBK1g03720,Tar-1-001786
ACBK1g03721,.
ACBK1g03722,Tar-1-001787
ACBK1g03723,Tar-1-001788
ACBK1g03724,.
ACBK1g03725,Tar-1-001789
ACBK1g03726,.
ACBK1g03727,Tar-1-001790
ACBK1g03728,Tar-1-001791
ACBK1g03729,.
ACBK1g03730,Tar-1-001792
ACBK1g03731,.
ACBK1g03732,.
ACBK1g03733,.
ACBK1g03734,.
ACBK1g03735,.
ACBK1g03736,.
ACBK1g03737,Tar-1-001796
ACBK1g03738,.
ACBK1g03739,.
ACBK1g03740,Tar-1-001797
ACBK1g03741,.
ACBK1g03742,.
ACBK1g03743,.
ACBK1g03744,Tar-1-001798
ACBK1g03745,.
ACBK1g03746,Tar-1-001799
ACBK1g03747,.
ACBK1g03748,.
ACBK1g03749,.
ACBK1g03750,Tar-1-001801
ACBK1g03751,Tar-1-001805
ACBK1g03752,Tar-1-001806
ACBK1g03753,Tar-1-001809
ACBK1g03754,Tar-1-001810
ACBK1g03755,.
ACBK1g03756,Tar-1-001812
ACBK1g03757,Tar-1-001813
ACBK1g03758,Tar-1-001814
ACBK1g03759,Tar-1-001815
ACBK1g03760,.
ACBK1g03761,.
ACBK1g03762,Tar-1-001816
ACBK1g03763,.
ACBK1g03764,.
ACBK1g03765,.
ACBK1g03766,Tar-1-001819
ACBK1g03767,Tar-1-001825
ACBK1g03768,Tar-1-001826
ACBK1g03769,Tar-1-001827
ACBK1g03770,Tar-1-001829
ACBK1g03771,Tar-1-001830
ACBK1g03772,.
ACBK1g03773,Tar-1-001831
ACBK1g03774,.
ACBK1g03775,.
ACBK1g03776,Tar-1-001832
ACBK1g03777,Tar-1-001833
ACBK1g03778,Tar-1-001837
ACBK1g03779,Tar-1-001838
ACBK1g03780,Tar-1-001839
ACBK1g03781,Tar-1-001840
ACBK1g03782,.
ACBK1g03783,Tar-1-001841
ACBK1g03784,Tar-1-001842
ACBK1g03785,Tar-1-001843
ACBK1g03786,Tar-1-001844
ACBK1g03787,Tar-1-001845
ACBK1g03788,Tar-1-001847
ACBK1g03789,Tar-1-001848
ACBK1g03790,.
ACBK1g03791,Tar-1-001849
ACBK1g03792,Tar-1-001857
ACBK1g03793,Tar-1-001859
ACBK1g03794,Tar-1-001861
ACBK1g03795,.
ACBK1g03796,Tar-1-001863
ACBK1g03797,.
ACBK1g03798,Tar-1-001864
ACBK1g03799,Tar-1-001865
ACBK1g03800,.
ACBK1g03801,Tar-1-001866
ACBK1g03802,Tar-1-001867
ACBK1g03803,.
ACBK1g03804,.
ACBK1g03805,Tar-1-001869
ACBK1g03806,Tar-1-001870
ACBK1g03807,.
ACBK1g03808,.
ACBK1g03809,.
ACBK1g03810,.
ACBK1g03811,Tar-1-001872
ACBK1g03812,Tar-1-001875
ACBK1g03813,Tar-1-001876
ACBK1g03814,Tar-1-001877
ACBK1g03815,.
ACBK1g03816,Tar-1-001878
ACBK1g03817,.
ACBK1g03818,Tar-1-001879
ACBK1g03819,Tar-1-001880
ACBK1g03820,Tar-1-001890
ACBK1g03821,.
ACBK1g03822,Tar-1-001891
ACBK1g03823,Tar-1-001892
ACBK1g03824,.
ACBK1g03825,Tar-1-001893
ACBK1g03826,Tar-1-001894
ACBK1g03827,Tar-1-001897
ACBK1g03828,Tar-1-001899
ACBK1g03829,Tar-1-001900
ACBK1g03830,.
ACBK1g03831,Tar-1-001901
ACBK1g03832,.
ACBK1g03833,Tar-1-001902
ACBK1g03834,.
ACBK1g03835,Tar-1-001906
ACBK1g03836,.
ACBK1g03837,Tar-1-001907
ACBK1g03838,Tar-1-001908
ACBK1g03839,Tar-1-001909
ACBK1g03840,.
ACBK1g03841,.
ACBK1g03842,Tar-1-001910
ACBK1g03843,Tar-1-001911
ACBK1g03844,Tar-1-001912
ACBK1g03845,.
ACBK1g03846,.
ACBK1g03847,Tar-1-001915
ACBK1g03848,Tar-1-001917
ACBK1g03849,Tar-1-001919
ACBK1g03850,Tar-1-001921
ACBK1g03851,.
ACBK1g03852,.
ACBK1g03853,.
ACBK1g03854,.
ACBK1g03855,Tar-1-001923
ACBK1g03856,.
ACBK1g03857,Tar-1-001926
ACBK1g03858,Tar-1-001927
ACBK1g03859,Tar-1-001929
ACBK1g03860,.
ACBK1g03861,.
ACBK1g03862,.
ACBK1g03863,.
ACBK1g03864,Tar-1-001933
ACBK1g03865,Tar-1-001934
ACBK1g03866,.
ACBK1g03867,.
ACBK1g03868,Tar-1-001935
ACBK1g03869,Tar-1-001936
ACBK1g03870,.
ACBK1g03871,.
ACBK1g03872,Tar-1-001937
ACBK1g03873,Tar-1-001938
ACBK1g03874,.
ACBK1g03875,Tar-1-001939
ACBK1g03876,.
ACBK1g03877,Tar-1-001940
ACBK1g03878,Tar-1-001943
ACBK1g03879,.
ACBK1g03880,Tar-1-001944
ACBK1g03881,.
ACBK1g03882,.
ACBK1g03883,.
ACBK1g03884,Tar-1-001945
ACBK1g03885,.
ACBK1g03886,.
ACBK1g03887,Tar-1-001946
ACBK1g03888,Tar-1-001947
ACBK1g03889,.
ACBK1g03890,Tar-1-001948
ACBK1g03891,.
ACBK1g03892,.
ACBK1g03893,Tar-1-001949
ACBK1g03894,Tar-1-001950
ACBK1g03895,.
ACBK1g03896,.
ACBK1g03897,Tar-1-001951
ACBK1g03898,Tar-1-001952
ACBK1g03899,.
ACBK1g03900,Tar-1-001953
ACBK1g03901,Tar-1-001955
ACBK1g03902,Tar-1-001958
ACBK1g03903,Tar-1-001959
ACBK1g03904,Tar-1-001960
ACBK1g03905,.
ACBK1g03906,Tar-1-001963
ACBK1g03907,.
ACBK1g03908,Tar-1-001964
ACBK1g03909,.
ACBK1g03910,Tar-1-001965
ACBK1g03911,.
ACBK1g03912,Tar-1-001967
ACBK1g03913,.
ACBK1g03914,Tar-1-001968
ACBK1g03915,.
ACBK1g03916,.
ACBK1g03917,.
ACBK1g03918,.
ACBK1g03919,.
ACBK1g03920,Tar-1-001970
ACBK1g03921,Tar-1-001971
ACBK1g03922,.
ACBK1g03923,Tar-1-001972
ACBK1g03924,Tar-1-001974
ACBK1g03925,Tar-1-001977
ACBK1g03926,Tar-1-001978
ACBK1g03927,Tar-1-001979
ACBK1g03928,.
ACBK1g03929,.
ACBK1g03930,Tar-1-001980
ACBK1g03931,.
ACBK1g03932,Tar-1-001982
ACBK1g03933,Tar-1-001983
ACBK1g03934,.
ACBK1g03935,.
ACBK1g03936,.
ACBK1g03937,.
ACBK1g03938,Tar-1-001986
ACBK1g03939,Tar-1-001987
ACBK1g03940,.
ACBK1g03941,.
ACBK1g03942,.
ACBK1g03943,Tar-1-001989
ACBK1g03944,.
ACBK1g03945,.
ACBK1g03946,.
ACBK1g03947,Tar-1-001991
ACBK1g03948,.
ACBK1g03949,.
ACBK1g03950,Tar-1-001993
ACBK1g03951,Tar-1-001994
ACBK1g03952,Tar-1-001995
ACBK1g03953,Tar-1-001996
ACBK1g03954,Tar-1-001997
ACBK1g03955,.
ACBK1g03956,.
ACBK1g03957,Tar-1-001998
ACBK1g03958,Tar-1-001999
ACBK1g03959,Tar-1-002000
ACBK1g03960,.
ACBK1g03961,Tar-1-002001
ACBK1g03962,Tar-1-002003
ACBK1g03963,Tar-1-002006
ACBK1g03964,Tar-1-002010
ACBK1g03965,.
ACBK1g03966,Tar-1-002011
ACBK1g03967,.
ACBK1g03968,Tar-1-002012
ACBK1g03969,Tar-1-002013
ACBK1g03970,Tar-1-002014
ACBK1g03971,.
ACBK1g03972,.
ACBK1g03973,Tar-1-002017
ACBK1g03974,Tar-1-002018
ACBK1g03975,Tar-1-002019
ACBK1g03976,Tar-1-002020
ACBK1g03977,.
ACBK1g03978,Tar-1-002021
ACBK1g03979,Tar-1-002023
ACBK1g03980,Tar-1-002025
ACBK1g03981,.
ACBK1g03982,Tar-1-002026
ACBK1g03983,Tar-1-002027
ACBK1g03984,Tar-1-002028
ACBK1g03985,Tar-1-002029
ACBK1g03986,Tar-1-002030
ACBK1g03987,Tar-1-002033
ACBK1g03988,Tar-1-002034
ACBK1g03989,Tar-1-002035
ACBK1g03990,.
ACBK1g03991,Tar-1-002036
ACBK1g03992,.
ACBK1g03993,.
ACBK1g03994,Tar-1-002039
ACBK1g03995,Tar-1-002040
ACBK1g03996,.
ACBK1g03997,Tar-1-002042
ACBK1g03998,Tar-1-002043
ACBK1g03999,.
ACBK1g04000,.
ACBK1g04001,Tar-1-002044
ACBK1g04002,.
ACBK1g04003,Tar-1-002045
ACBK1g04004,.
ACBK1g04005,.
ACBK1g04006,.
ACBK1g04007,.
ACBK1g04008,Tar-1-002046
ACBK1g04009,Tar-1-002048
ACBK1g04010,.
ACBK1g04011,Tar-1-002049
ACBK1g04012,Tar-1-002050
ACBK1g04013,Tar-1-002051
ACBK1g04014,Tar-1-002052
ACBK1g04015,.
ACBK1g04016,.
ACBK1g04017,.
ACBK1g04018,Tar-1-002053
ACBK1g04019,Tar-1-002054
ACBK1g04020,Tar-1-002056
ACBK1g04021,Tar-1-002057
ACBK1g04022,Tar-1-002058
ACBK1g04023,Tar-1-002059
ACBK1g04024,.
ACBK1g04025,Tar-1-002060
ACBK1g04026,Tar-1-002061
ACBK1g04027,Tar-1-002062
ACBK1g04028,.
ACBK1g04029,.
ACBK1g04030,.
ACBK1g04031,.
ACBK1g04032,.
ACBK1g04033,Tar-1-002064
ACBK1g04034,.
ACBK1g04035,.
ACBK1g04036,.
ACBK1g04037,.
ACBK1g04038,Tar-1-002065
ACBK1g04039,.
ACBK1g04040,Tar-1-002066
ACBK1g04041,.
