ACBK1g00001,Iind-3-000007
ACBK1g02817,.
ACBK1g02818,.
ACBK1g02819,.
ACBK1g02820,.
ACBK1g02821,.
ACBK1g02822,.
ACBK1g02823,.
ACBK1g02824,.
ACBK1g02825,.
ACBK1g02826,.
ACBK1g02827,.
ACBK1g02828,.
ACBK1g02829,Iind-3-002618
ACBK1g02830,Iind-3-002620
ACBK1g02831,.
ACBK1g02832,Iind-3-002622
ACBK1g02833,Iind-3-002623
ACBK1g02834,Iind-3-002627
ACBK1g02835,.
ACBK1g02836,.
ACBK1g02837,Iind-3-002628
ACBK1g02838,Iind-3-002629
ACBK1g02839,.
ACBK1g02840,.
ACBK1g02841,.
ACBK1g02842,.
ACBK1g02843,Iind-3-002630
ACBK1g02844,Iind-3-002631
ACBK1g02845,Iind-3-002635
ACBK1g02846,Iind-3-002636
ACBK1g02847,.
ACBK1g02848,Iind-3-002637
ACBK1g02849,.
ACBK1g02850,.
ACBK1g02851,Iind-3-002638
ACBK1g02852,Iind-3-002641
ACBK1g02853,.
ACBK1g02854,Iind-3-002642
ACBK1g02855,Iind-3-002643
ACBK1g02856,Iind-3-002645
ACBK1g02857,.
ACBK1g02858,.
ACBK1g02859,.
ACBK1g02860,.
ACBK1g02861,.
ACBK1g02862,Iind-3-002646
ACBK1g02863,Iind-3-002648
ACBK1g02864,Iind-3-002650
ACBK1g02865,Iind-3-002651
ACBK1g02866,Iind-3-002652
ACBK1g02867,.
ACBK1g02868,Iind-3-002653
ACBK1g02869,Iind-3-002654
ACBK1g02870,.
ACBK1g02871,Iind-3-002655
ACBK1g02872,Iind-3-002657
ACBK1g02873,Iind-3-002658
ACBK1g02874,.
ACBK1g02875,Iind-3-002660
ACBK1g02876,.
ACBK1g02877,Iind-3-002661
ACBK1g02878,Iind-3-002662
ACBK1g02879,Iind-3-002663
ACBK1g02880,Iind-3-002664
ACBK1g02881,Iind-3-002665
ACBK1g02882,Iind-3-002666
ACBK1g02883,Iind-3-002667
ACBK1g02884,Iind-3-002668
ACBK1g02885,.
ACBK1g02886,.
ACBK1g02887,.
ACBK1g02888,.
ACBK1g02889,Iind-3-002669
ACBK1g02890,.
ACBK1g02891,.
ACBK1g02892,Iind-3-002673
ACBK1g02893,.
ACBK1g02894,Iind-3-002674
ACBK1g02895,Iind-3-002679
ACBK1g02896,Iind-3-002684
ACBK1g02897,.
ACBK1g02898,Iind-3-002689
ACBK1g02899,Iind-3-002690
ACBK1g02900,Iind-3-002692
ACBK1g02901,.
ACBK1g02902,Iind-3-002696
ACBK1g02903,Iind-3-002697
ACBK1g02904,Iind-3-002698
ACBK1g02905,Iind-3-002699
ACBK1g02906,Iind-3-002701
ACBK1g02907,Iind-3-002702
ACBK1g02908,Iind-3-002703
ACBK1g02909,Iind-3-002704
ACBK1g02910,Iind-3-002705
ACBK1g02911,Iind-3-002708
ACBK1g02912,Iind-3-002709
ACBK1g02913,Iind-3-002713
ACBK1g02914,Iind-3-002714
ACBK1g02915,Iind-3-002715
ACBK1g02916,Iind-3-002716
ACBK1g02917,Iind-3-002717
ACBK1g02918,Iind-3-002718
ACBK1g02919,.
ACBK1g02920,.
ACBK1g02921,.
ACBK1g02922,.
ACBK1g02923,Iind-3-002719
ACBK1g02924,.
ACBK1g02925,.
ACBK1g02926,Iind-3-002721
ACBK1g02927,Iind-3-002722
ACBK1g02928,.
ACBK1g02929,Iind-3-002726
ACBK1g02930,Iind-3-002727
ACBK1g02931,.
ACBK1g02932,Iind-3-002728
ACBK1g02933,Iind-3-002729
ACBK1g02934,Iind-3-002730
ACBK1g02935,Iind-3-002731
ACBK1g02936,Iind-3-002736
ACBK1g02937,Iind-3-002737
ACBK1g02938,.
ACBK1g02939,Iind-3-002739
ACBK1g02940,Iind-3-002740
ACBK1g02941,Iind-3-002743
ACBK1g02942,.
ACBK1g02943,Iind-3-002745
ACBK1g02944,Iind-3-002746
ACBK1g02945,Iind-3-002747
ACBK1g02946,Iind-3-002748
ACBK1g02947,Iind-3-002749
ACBK1g02948,Iind-3-002751
ACBK1g02949,Iind-3-002752
ACBK1g02950,Iind-3-002753
ACBK1g02951,Iind-3-002754
ACBK1g02952,Iind-3-002755
ACBK1g02953,.
ACBK1g02954,.
ACBK1g02955,.
ACBK1g02956,Iind-3-002756
ACBK1g02957,Iind-3-002759
ACBK1g02958,Iind-3-002760
ACBK1g02959,.
ACBK1g02960,.
ACBK1g02961,Iind-3-002761
ACBK1g02962,Iind-3-002762
ACBK1g02963,Iind-3-002763
ACBK1g02964,Iind-3-002764
ACBK1g02965,Iind-3-002765
ACBK1g02966,.
ACBK1g02967,.
ACBK1g02968,Iind-3-002766
ACBK1g02969,Iind-3-002767
ACBK1g02970,.
ACBK1g02971,.
ACBK1g02972,Iind-3-002768
ACBK1g02973,.
ACBK1g02974,.
ACBK1g02975,.
ACBK1g02976,Iind-3-002769
ACBK1g02977,.
ACBK1g02978,.
ACBK1g02979,Iind-3-002770
ACBK1g02980,.
ACBK1g02981,Iind-3-002772
ACBK1g02982,Iind-3-002774
ACBK1g02983,Iind-3-002775
ACBK1g02984,Iind-3-002776
ACBK1g02985,.
ACBK1g02986,Iind-3-002778
ACBK1g02987,.
ACBK1g02988,.
ACBK1g02989,Iind-3-002780
ACBK1g02990,.
ACBK1g02991,Iind-3-002782
ACBK1g02992,Iind-3-002783
ACBK1g02993,Iind-3-002784
ACBK1g02994,Iind-3-002786
ACBK1g02995,Iind-3-002791
ACBK1g02996,Iind-3-002792
ACBK1g02997,Iind-3-002793
ACBK1g02998,Iind-3-002795
ACBK1g02999,Iind-3-002796
ACBK1g03000,.
ACBK1g03001,Iind-3-002800
ACBK1g03002,Iind-3-002801
ACBK1g03003,Iind-3-002804
ACBK1g03004,Iind-3-002806
ACBK1g03005,Iind-3-002807
ACBK1g03006,.
ACBK1g03007,.
ACBK1g03008,.
ACBK1g03009,.
ACBK1g03010,Iind-3-002808
ACBK1g03011,.
ACBK1g03012,.
ACBK1g03013,.
ACBK1g03014,.
ACBK1g03015,Iind-3-002812
ACBK1g03016,Iind-3-002814
ACBK1g03017,Iind-3-002818
ACBK1g03018,Iind-3-002820
ACBK1g03019,Iind-3-002821
ACBK1g03020,.
ACBK1g03021,Iind-3-002825
ACBK1g03022,.
ACBK1g03023,Iind-3-002826
ACBK1g03024,Iind-3-002828
ACBK1g03025,Iind-3-002829
ACBK1g03026,.
ACBK1g03027,Iind-3-002830
ACBK1g03028,Iind-3-002832
ACBK1g03029,Iind-3-002835
ACBK1g03030,.
ACBK1g03031,.
ACBK1g03032,Iind-3-002836
ACBK1g03033,Iind-3-002837
ACBK1g03034,Iind-3-002838
ACBK1g03035,Iind-3-002842
ACBK1g03036,Iind-3-002844
ACBK1g03037,Iind-3-002845
ACBK1g03038,Iind-3-002846
ACBK1g03039,Iind-3-002847
ACBK1g03040,.
ACBK1g03041,.
ACBK1g03042,.
ACBK1g03043,Iind-3-002851
ACBK1g03044,.
ACBK1g03045,.
ACBK1g03046,.
ACBK1g03047,.
ACBK1g03048,Iind-3-002857
ACBK1g03049,Iind-3-002858
ACBK1g03050,.
ACBK1g03051,Iind-3-002860
ACBK1g03052,Iind-3-002861
ACBK1g03053,Iind-3-002862
ACBK1g03054,Iind-3-002863
ACBK1g03055,Iind-3-002864
ACBK1g03056,Iind-3-002865
ACBK1g03057,.
ACBK1g03058,Iind-3-002866
ACBK1g03059,.
ACBK1g03060,Iind-3-002867
ACBK1g03061,.
ACBK1g03062,.
ACBK1g03063,.
ACBK1g03064,Iind-3-002870
ACBK1g03065,Iind-3-002871
ACBK1g03066,Iind-3-002874
ACBK1g03067,.
ACBK1g03068,.
ACBK1g03069,.
ACBK1g03070,Iind-3-002877
ACBK1g03071,.
ACBK1g03072,.
ACBK1g03073,.
ACBK1g03074,.
ACBK1g03075,.
ACBK1g03076,Iind-3-002879
ACBK1g03077,.
ACBK1g03078,.
ACBK1g03079,.
ACBK1g03080,.
ACBK1g03081,Iind-3-002880
ACBK1g03082,.
ACBK1g03083,Iind-3-002881
ACBK1g03084,Iind-3-002884
ACBK1g03085,Iind-3-002885
ACBK1g03086,Iind-3-002892
ACBK1g03087,Iind-3-002893
ACBK1g03088,Iind-3-002894
ACBK1g03089,.
ACBK1g03090,Iind-3-002895
ACBK1g03091,Iind-3-002898
ACBK1g03092,.
ACBK1g03093,Iind-3-002899
ACBK1g03094,Iind-3-002902
ACBK1g03095,Iind-3-002903
ACBK1g03096,Iind-3-002904
ACBK1g03097,.
ACBK1g03098,Iind-3-002905
ACBK1g03099,.
ACBK1g03100,Iind-3-002908
ACBK1g03101,.
ACBK1g03102,.
ACBK1g03103,Iind-3-002910
ACBK1g03104,Iind-3-002911
ACBK1g03105,.
ACBK1g03106,.
ACBK1g03107,Iind-3-002917
ACBK1g03108,.
ACBK1g03109,Iind-3-002936
ACBK1g03110,.
ACBK1g03111,.
ACBK1g03112,.
ACBK1g03113,.
ACBK1g03114,.
ACBK1g03115,.
ACBK1g03116,Iind-3-002937
ACBK1g03117,.
ACBK1g03118,Iind-3-002938
ACBK1g03119,.
ACBK1g03120,Iind-3-002939
ACBK1g03121,Iind-3-002940
ACBK1g03122,Iind-3-002942
ACBK1g03123,.
ACBK1g03124,.
ACBK1g03125,.
ACBK1g03126,Iind-3-002948
ACBK1g03127,.
ACBK1g03128,.
ACBK1g03129,.
ACBK1g03130,Iind-3-002949
ACBK1g03131,Iind-3-002950
ACBK1g03132,Iind-3-002951
ACBK1g03133,Iind-3-002952
ACBK1g03134,Iind-3-002953
ACBK1g03135,Iind-3-002962
ACBK1g03136,.
ACBK1g03137,.
ACBK1g03138,Iind-3-002963
ACBK1g03139,.
ACBK1g03140,.
ACBK1g03141,Iind-3-002964
ACBK1g03142,Iind-3-002965
ACBK1g03143,Iind-3-002967
ACBK1g03144,.
ACBK1g03145,.
ACBK1g03146,Iind-3-002968
ACBK1g03147,Iind-3-002969
ACBK1g03148,Iind-3-002970
ACBK1g03149,Iind-3-002972
ACBK1g03150,Iind-3-002974
ACBK1g03151,.
ACBK1g03152,Iind-3-002975
ACBK1g03153,Iind-3-002978
ACBK1g03154,.
ACBK1g03155,.
ACBK1g03156,Iind-3-002980
ACBK1g03157,Iind-3-002981
ACBK1g03158,Iind-3-002983
ACBK1g03159,.
ACBK1g03160,.
ACBK1g03161,.
ACBK1g03162,.
ACBK1g03163,Iind-3-002987
ACBK1g03164,Iind-3-002988
ACBK1g03165,.
ACBK1g03166,.
ACBK1g03167,.
ACBK1g03168,.
ACBK1g03169,.
ACBK1g03170,.
ACBK1g03171,Iind-3-002992
ACBK1g03172,.
ACBK1g03173,.
ACBK1g03174,Iind-3-003011
ACBK1g03175,.
ACBK1g03176,.
ACBK1g03177,.
ACBK1g03178,.
ACBK1g03179,Iind-3-003015
ACBK1g03180,Iind-3-003016
ACBK1g03181,.
ACBK1g03182,.
ACBK1g03183,.
ACBK1g03184,.
ACBK1g03185,.
ACBK1g03186,.
ACBK1g03187,.
ACBK1g03188,Iind-3-003019
ACBK1g03189,.
ACBK1g03190,.
ACBK1g03191,Iind-3-003022
ACBK1g03192,Iind-3-003023
ACBK1g03193,.
ACBK1g03194,Iind-3-003028
ACBK1g03195,Iind-3-003055
ACBK1g03196,.
ACBK1g03197,Iind-3-003060
ACBK1g03198,.
ACBK1g03199,.
ACBK1g03200,.
ACBK1g03201,Iind-3-003061
ACBK1g03202,.
ACBK1g03203,.
ACBK1g03204,Iind-3-003064
ACBK1g03205,.
ACBK1g03206,.
ACBK1g03207,Iind-3-003066
ACBK1g03208,Iind-3-003067
ACBK1g03209,.
ACBK1g03210,.
ACBK1g03211,Iind-3-003070
ACBK1g03212,.
ACBK1g03213,.
ACBK1g03214,.
ACBK1g03215,.
ACBK1g03216,.
ACBK1g03217,.
ACBK1g03218,.
ACBK1g03219,.
ACBK1g03220,.
ACBK1g03221,Iind-3-003071
ACBK1g03222,.
ACBK1g03223,.
ACBK1g03224,.
ACBK1g03225,.
ACBK1g03226,.
ACBK1g03227,.
ACBK1g03228,.
ACBK1g03229,.
ACBK1g03230,.
ACBK1g03231,.
ACBK1g03232,.
ACBK1g03233,Iind-3-003087
ACBK1g03234,Iind-3-003088
ACBK1g03235,Iind-3-003090
ACBK1g03236,Iind-3-003103
ACBK1g03237,Iind-3-003105
ACBK1g03238,.
ACBK1g03239,.
ACBK1g03240,Iind-3-003114
ACBK1g03241,Iind-3-003117
ACBK1g03242,Iind-3-003121
ACBK1g03243,.
ACBK1g03244,Iind-3-003123
ACBK1g03245,.
ACBK1g03246,Iind-3-003125
ACBK1g03247,Iind-3-003130
ACBK1g03248,.
ACBK1g03249,Iind-3-003135
ACBK1g03250,.
ACBK1g03251,Iind-3-003143
ACBK1g03252,.
ACBK1g03253,.
ACBK1g03254,.
ACBK1g03255,.
ACBK1g03256,.
ACBK1g03257,.
ACBK1g03258,.
ACBK1g03259,Iind-3-003144
ACBK1g03260,.
ACBK1g03261,.
ACBK1g03262,.
ACBK1g03263,.
ACBK1g03264,.
ACBK1g03265,.
ACBK1g03266,.
ACBK1g03267,.
ACBK1g03268,.
ACBK1g03269,.
ACBK1g03270,Iind-3-003150
ACBK1g03271,.
ACBK1g03272,Iind-3-003155
ACBK1g03273,.
ACBK1g03274,.
ACBK1g03275,.
ACBK1g03276,.
ACBK1g03277,.
ACBK1g03278,.
ACBK1g03279,.
ACBK1g03280,.
ACBK1g03281,.
ACBK1g03282,.
ACBK1g03283,.
ACBK1g03284,.
ACBK1g03285,.
ACBK1g03286,.
ACBK1g03287,.
ACBK1g03288,.
ACBK1g03289,.
ACBK1g03290,.
ACBK1g03291,.
ACBK1g03292,Iind-3-003162
ACBK1g03293,.
ACBK1g03294,.
ACBK1g03295,.
ACBK1g03296,.
ACBK1g03297,Iind-3-003168
ACBK1g03298,.
ACBK1g03299,.
ACBK1g03300,.
ACBK1g03301,.
ACBK1g03302,.
ACBK1g03303,.
ACBK1g03304,.
ACBK1g03305,.
ACBK1g03306,.
ACBK1g03307,Iind-3-003179
ACBK1g03308,.
ACBK1g03309,.
ACBK1g03310,.
ACBK1g03311,.
ACBK1g03312,.
ACBK1g03313,Iind-3-003183
ACBK1g03314,Iind-3-003186
ACBK1g03315,Iind-3-003188
ACBK1g03316,.
ACBK1g03317,.
ACBK1g03318,.
ACBK1g03319,Iind-3-003192
ACBK1g03320,Iind-3-003193
ACBK1g03321,.
ACBK1g03322,.
ACBK1g03323,.
ACBK1g03324,Iind-3-003203
ACBK1g03325,.
ACBK1g03326,.
ACBK1g03327,Iind-3-003209
ACBK1g03328,.
ACBK1g03329,.
ACBK1g03330,Iind-3-003223
ACBK1g03331,.
ACBK1g03332,Iind-3-003224
ACBK1g03333,Iind-3-003234
ACBK1g03334,Iind-3-003235
ACBK1g03335,.
ACBK1g03336,.
ACBK1g03337,.
ACBK1g03338,Iind-3-003246
ACBK1g03339,.
ACBK1g03340,.
ACBK1g03341,Iind-3-003250
ACBK1g03342,Iind-3-003251
ACBK1g03343,.
ACBK1g03344,.
ACBK1g03345,.
ACBK1g03346,.
ACBK1g03347,Iind-3-003257
ACBK1g03348,.
ACBK1g03349,.
ACBK1g03350,.
ACBK1g03351,.
ACBK1g03352,Iind-3-003259
ACBK1g03353,.
ACBK1g03354,Iind-3-003260
ACBK1g03355,.
ACBK1g03356,Iind-3-003282
ACBK1g03357,Iind-3-003283
ACBK1g03358,.
ACBK1g03359,Iind-3-003284
ACBK1g03360,Iind-3-003285
ACBK1g03361,.
ACBK1g03362,Iind-3-003287
ACBK1g03363,Iind-3-003290
ACBK1g03364,Iind-3-003291
ACBK1g03365,.
ACBK1g03366,Iind-3-003295
ACBK1g03367,Iind-3-003301
ACBK1g03368,.
ACBK1g03369,.
ACBK1g03370,.
ACBK1g03371,.
ACBK1g03372,.
ACBK1g03373,.
ACBK1g03374,.
ACBK1g03375,.
ACBK1g03376,Iind-3-003306
ACBK1g03377,.
ACBK1g03378,Iind-3-003307
ACBK1g03379,.
ACBK1g03380,.
ACBK1g03381,.
ACBK1g03382,.
ACBK1g03383,Iind-3-003309
ACBK1g03384,Iind-3-003310
ACBK1g03385,Iind-3-003314
ACBK1g03386,.
ACBK1g03387,Iind-3-003318
ACBK1g03388,Iind-3-003319
ACBK1g03389,.
ACBK1g03390,.
ACBK1g03391,Iind-3-003321
ACBK1g03392,Iind-3-003322
ACBK1g03393,.
ACBK1g03394,.
ACBK1g03395,.
ACBK1g03396,Iind-3-003323
ACBK1g03397,.
ACBK1g03398,Iind-3-003327
ACBK1g03399,Iind-3-003330
ACBK1g03400,.
ACBK1g03401,.
ACBK1g03402,Iind-3-003331
ACBK1g03403,.
ACBK1g03404,Iind-3-003339
ACBK1g03405,.
ACBK1g03406,.
ACBK1g03407,.
ACBK1g03408,.
ACBK1g03409,.
ACBK1g03410,Iind-3-003341
ACBK1g03411,Iind-3-003343
ACBK1g03412,Iind-3-003344
ACBK1g03413,Iind-3-003349
ACBK1g03414,Iind-3-003351
ACBK1g03415,.
ACBK1g03416,Iind-3-003363
ACBK1g03417,Iind-3-003370
ACBK1g03418,.
ACBK1g03419,.
ACBK1g03420,Iind-3-003372
ACBK1g03421,.
ACBK1g03422,Iind-3-003373
ACBK1g03423,Iind-3-003378
ACBK1g03424,.
ACBK1g03425,Iind-3-003398
ACBK1g03426,Iind-3-003401
ACBK1g03427,.
ACBK1g03428,.
ACBK1g03429,.
ACBK1g03430,.
ACBK1g03431,.
ACBK1g03432,Iind-3-003413
ACBK1g03433,Iind-3-003416
ACBK1g03434,.
ACBK1g03435,Iind-3-003417
ACBK1g03436,Iind-3-003418
ACBK1g03437,.
ACBK1g03438,.
ACBK1g03439,Iind-3-003419
ACBK1g03440,.
ACBK1g03441,Iind-3-003425
ACBK1g03442,.
ACBK1g03443,Iind-3-003430
ACBK1g03444,.
ACBK1g03445,Iind-3-003434
ACBK1g03446,Iind-3-003438
ACBK1g03447,.
ACBK1g03448,.
ACBK1g03449,Iind-3-003445
ACBK1g03450,.
ACBK1g03451,.
ACBK1g03452,.
ACBK1g03453,Iind-3-003461
ACBK1g03454,Iind-3-003462
ACBK1g03455,Iind-3-003464
ACBK1g03456,.
ACBK1g03457,Iind-3-003468
ACBK1g03458,Iind-3-003469
ACBK1g03459,Iind-3-003472
ACBK1g03460,Iind-3-003473
ACBK1g03461,.
ACBK1g03462,.
ACBK1g03463,.
ACBK1g03464,.
ACBK1g03465,.
ACBK1g03466,.
ACBK1g03467,.
ACBK1g03468,.
ACBK1g03469,.
ACBK1g03470,.
ACBK1g03471,.
ACBK1g03472,Iind-3-003477
ACBK1g03473,.
ACBK1g03474,.
ACBK1g03475,.
ACBK1g03476,.
ACBK1g03477,Iind-3-003486
ACBK1g03478,.
ACBK1g03479,.
ACBK1g03480,.
ACBK1g03481,Iind-3-003487
ACBK1g03482,.
ACBK1g03483,.
ACBK1g03484,Iind-3-003488
ACBK1g03485,Iind-3-003489
ACBK1g03486,Iind-3-003491
ACBK1g03487,Iind-3-003492
ACBK1g03488,.
ACBK1g03489,Iind-3-003493
ACBK1g03490,.
ACBK1g03491,Iind-3-003497
ACBK1g03492,.
ACBK1g03493,Iind-3-003500
ACBK1g03494,.
ACBK1g03495,.
ACBK1g03496,.
ACBK1g03497,.
ACBK1g03498,.
ACBK1g03499,.
ACBK1g03500,Iind-3-003504
ACBK1g03501,Iind-3-003505
ACBK1g03502,Iind-3-003506
ACBK1g03503,.
ACBK1g03504,Iind-3-003508
ACBK1g03505,.
ACBK1g03506,Iind-3-003509
ACBK1g03507,.
ACBK1g03508,Iind-3-003511
ACBK1g03509,.
ACBK1g03510,Iind-3-003512
ACBK1g03511,.
ACBK1g03512,Iind-3-003515
ACBK1g03513,Iind-3-003516
ACBK1g03514,.
ACBK1g03515,.
ACBK1g03516,.
ACBK1g03517,.
ACBK1g03518,Iind-3-003520
ACBK1g03519,.
ACBK1g03520,Iind-3-003522
ACBK1g03521,Iind-3-003523
ACBK1g03522,Iind-3-003525
ACBK1g03523,.
ACBK1g03524,Iind-3-003528
ACBK1g03525,Iind-3-003529
ACBK1g03526,.
ACBK1g03527,.
ACBK1g03528,.
ACBK1g03529,.
ACBK1g03530,.
ACBK1g03531,.
ACBK1g03532,.
ACBK1g03533,.
ACBK1g03534,.
ACBK1g03535,.
ACBK1g03536,Iind-3-003532
ACBK1g03537,Iind-3-003535
ACBK1g03538,Iind-3-003536
ACBK1g03539,.
ACBK1g03540,.
ACBK1g03541,.
ACBK1g03542,.
ACBK1g03543,.
ACBK1g03544,.
ACBK1g03545,.
ACBK1g03546,.
ACBK1g03547,.
ACBK1g03548,.
ACBK1g03549,.
ACBK1g03550,.
ACBK1g03551,.
ACBK1g03552,.
ACBK1g03553,.
ACBK1g03554,.
ACBK1g03555,Iind-3-003542
ACBK1g03556,.
ACBK1g03557,.
ACBK1g03558,.
ACBK1g03559,.
ACBK1g03560,.
ACBK1g03561,.
ACBK1g03562,.
ACBK1g03563,.
ACBK1g03564,.
ACBK1g03565,.
ACBK1g03566,.
ACBK1g03567,.
ACBK1g03568,.
ACBK1g03569,.
ACBK1g03570,.
ACBK1g03571,.
ACBK1g03572,Iind-3-003543
ACBK1g03573,.
ACBK1g03574,Iind-3-003544
ACBK1g03575,Iind-3-003545
ACBK1g03576,Iind-3-003549
ACBK1g03577,.
ACBK1g03578,Iind-3-003553
ACBK1g03579,.
ACBK1g03580,.
ACBK1g03581,.
ACBK1g03582,Iind-3-003556
ACBK1g03583,.
ACBK1g03584,Iind-3-003558
ACBK1g03585,.
ACBK1g03586,.
ACBK1g03587,Iind-3-003559
ACBK1g03588,.
ACBK1g03589,Iind-3-003562
ACBK1g03590,.
ACBK1g03591,Iind-3-003568
ACBK1g03592,Iind-3-003569
ACBK1g03593,Iind-3-003570
ACBK1g03594,Iind-3-003571
ACBK1g03595,.
ACBK1g03596,.
ACBK1g03597,Iind-3-003574
ACBK1g03598,Iind-3-003575
ACBK1g03599,Iind-3-003576
ACBK1g03600,Iind-3-003578
ACBK1g03601,.
ACBK1g03602,Iind-3-003581
ACBK1g03603,.
ACBK1g03604,Iind-3-003584
ACBK1g03605,.
ACBK1g03606,.
ACBK1g03607,.
ACBK1g03608,Iind-3-003586
ACBK1g03609,.
ACBK1g03610,.
ACBK1g03611,.
ACBK1g03612,.
ACBK1g03613,.
ACBK1g03614,.
ACBK1g03615,Iind-3-003587
ACBK1g03616,Iind-3-003588
ACBK1g03617,Iind-3-003589
ACBK1g03618,Iind-3-003591
ACBK1g03619,.
ACBK1g03620,Iind-3-003592
ACBK1g03621,.
ACBK1g03622,Iind-3-003594
ACBK1g03623,Iind-3-003597
ACBK1g03624,.
ACBK1g03625,Iind-3-003598
ACBK1g03626,Iind-3-003599
ACBK1g03627,Iind-3-003600
ACBK1g03628,Iind-3-003601
ACBK1g03629,.
ACBK1g03630,Iind-3-003602
ACBK1g03631,Iind-3-003604
ACBK1g03632,Iind-3-003605
ACBK1g03633,.
ACBK1g03634,Iind-3-003606
ACBK1g03635,Iind-3-003607
ACBK1g03636,Iind-3-003609
ACBK1g03637,Iind-3-003612
ACBK1g03638,Iind-3-003615
ACBK1g03639,Iind-3-003616
ACBK1g03640,.
ACBK1g03641,.
ACBK1g03642,.
ACBK1g03643,Iind-3-003618
ACBK1g03644,.
ACBK1g03645,Iind-3-003621
ACBK1g03646,Iind-3-003623
ACBK1g03647,Iind-3-003624
ACBK1g03648,Iind-3-003626
ACBK1g03649,.
ACBK1g03650,.
ACBK1g03651,.
ACBK1g03652,Iind-3-003630
ACBK1g03653,Iind-3-003632
ACBK1g03654,Iind-3-003633
ACBK1g03655,Iind-3-003634
ACBK1g03656,Iind-3-003636
ACBK1g03657,Iind-3-003638
ACBK1g03658,Iind-3-003643
ACBK1g03659,.
ACBK1g03660,Iind-3-003647
ACBK1g03661,.
ACBK1g03662,.
ACBK1g03663,.
ACBK1g03664,.
ACBK1g03665,.
ACBK1g03666,.
ACBK1g03667,Iind-3-003648
ACBK1g03668,Iind-3-003650
ACBK1g03669,Iind-3-003651
ACBK1g03670,Iind-3-003652
ACBK1g03671,.
ACBK1g03672,Iind-3-003653
ACBK1g03673,Iind-3-003654
ACBK1g03674,Iind-3-003655
ACBK1g03675,.
ACBK1g03676,Iind-3-003656
ACBK1g03677,Iind-3-003659
ACBK1g03678,Iind-3-003662
ACBK1g03679,Iind-3-003663
ACBK1g03680,Iind-3-003664
ACBK1g03681,Iind-3-003665
ACBK1g03682,.
ACBK1g03683,.
ACBK1g03684,Iind-3-003666
ACBK1g03685,.
ACBK1g03686,Iind-3-003667
ACBK1g03687,.
ACBK1g03688,Iind-3-003668
ACBK1g03689,Iind-3-003669
ACBK1g03690,Iind-3-003670
ACBK1g03691,.
ACBK1g03692,Iind-3-003672
ACBK1g03693,.
ACBK1g03694,Iind-3-003674
ACBK1g03695,.
ACBK1g03696,Iind-3-003676
ACBK1g03697,Iind-3-003677
ACBK1g03698,Iind-3-003678
ACBK1g03699,Iind-3-003679
ACBK1g03700,.
ACBK1g03701,.
ACBK1g03702,.
ACBK1g03703,.
ACBK1g03704,Iind-3-003680
ACBK1g03705,Iind-3-003681
ACBK1g03706,.
ACBK1g03707,.
ACBK1g03708,.
ACBK1g03709,.
ACBK1g03710,.
ACBK1g03711,.
ACBK1g03712,Iind-3-003684
ACBK1g03713,Iind-3-003685
ACBK1g03714,Iind-3-003687
ACBK1g03715,.
ACBK1g03716,.
ACBK1g03717,.
ACBK1g03718,Iind-3-003689
ACBK1g03719,.
ACBK1g03720,.
ACBK1g03721,Iind-3-003691
ACBK1g03722,Iind-3-003692
ACBK1g03723,Iind-3-003693
ACBK1g03724,.
ACBK1g03725,Iind-3-003694
ACBK1g03726,Iind-3-003695
ACBK1g03727,Iind-3-003696
ACBK1g03728,Iind-3-003698
ACBK1g03729,.
ACBK1g03730,Iind-3-003699
ACBK1g03731,.
ACBK1g03732,.
ACBK1g03733,.
ACBK1g03734,.
ACBK1g03735,.
ACBK1g03736,.
ACBK1g03737,Iind-3-003708
ACBK1g03738,Iind-3-003709
ACBK1g03739,Iind-3-003710
ACBK1g03740,Iind-3-003711
ACBK1g03741,Iind-3-003712
ACBK1g03742,.
ACBK1g03743,.
ACBK1g03744,Iind-3-003714
ACBK1g03745,Iind-3-003715
ACBK1g03746,Iind-3-003717
ACBK1g03747,.
ACBK1g03748,.
ACBK1g03749,.
ACBK1g03750,Iind-3-003719
ACBK1g03751,Iind-3-003720
ACBK1g03752,Iind-3-003721
ACBK1g03753,Iind-3-003723
ACBK1g03754,Iind-3-003724
ACBK1g03755,.
ACBK1g03756,Iind-3-003725
ACBK1g03757,Iind-3-003726
ACBK1g03758,Iind-3-003729
ACBK1g03759,Iind-3-003730
ACBK1g03760,.
ACBK1g03761,Iind-3-003731
ACBK1g03762,Iind-3-003732
ACBK1g03763,.
ACBK1g03764,.
ACBK1g03765,.
ACBK1g03766,Iind-3-003734
ACBK1g03767,Iind-3-003735
ACBK1g03768,Iind-3-003736
ACBK1g03769,Iind-3-003737
ACBK1g03770,Iind-3-003739
ACBK1g03771,Iind-3-003740
ACBK1g03772,.
ACBK1g03773,Iind-3-003741
ACBK1g03774,.
ACBK1g03775,.
ACBK1g03776,Iind-3-003742
ACBK1g03777,.
ACBK1g03778,Iind-3-003745
ACBK1g03779,Iind-3-003746
ACBK1g03780,Iind-3-003747
ACBK1g03781,Iind-3-003748
ACBK1g03782,Iind-3-003749
ACBK1g03783,Iind-3-003750
ACBK1g03784,.
ACBK1g03785,Iind-3-003752
ACBK1g03786,Iind-3-003753
ACBK1g03787,Iind-3-003754
ACBK1g03788,Iind-3-003755
ACBK1g03789,Iind-3-003756
ACBK1g03790,.
ACBK1g03791,Iind-3-003760
