ACBK1g00001,Alsp-1-000008
ACBK1g03176,.
ACBK1g03177,.
ACBK1g03178,.
ACBK1g03179,Alsp-1-003524
ACBK1g03180,Alsp-1-003528
ACBK1g03181,Alsp-1-003529
ACBK1g03182,Alsp-1-003530
ACBK1g03183,.
ACBK1g03184,Alsp-1-003534
ACBK1g03185,Alsp-1-003535
ACBK1g03186,Alsp-1-003536
ACBK1g03187,Alsp-1-003537
ACBK1g03188,Alsp-1-003541
ACBK1g03189,Alsp-1-003542
ACBK1g03190,Alsp-1-003543
ACBK1g03191,Alsp-1-003544
ACBK1g03192,Alsp-1-003545
ACBK1g03193,.
ACBK1g03194,Alsp-1-003547
ACBK1g03195,Alsp-1-003548
ACBK1g03196,.
ACBK1g03197,Alsp-1-003549
ACBK1g03198,.
ACBK1g03199,.
ACBK1g03200,Alsp-1-003550
ACBK1g03201,Alsp-1-003551
ACBK1g03202,Alsp-1-003554
ACBK1g03203,.
ACBK1g03204,Alsp-1-003556
ACBK1g03205,.
ACBK1g03206,Alsp-1-003559
ACBK1g03207,Alsp-1-003560
ACBK1g03208,Alsp-1-003561
ACBK1g03209,.
ACBK1g03210,.
ACBK1g03211,Alsp-1-003563
ACBK1g03212,.
ACBK1g03213,.
ACBK1g03214,.
ACBK1g03215,.
ACBK1g03216,.
ACBK1g03217,.
ACBK1g03218,.
ACBK1g03219,.
ACBK1g03220,Alsp-1-003564
ACBK1g03221,Alsp-1-003565
ACBK1g03222,Alsp-1-003566
ACBK1g03223,Alsp-1-003567
ACBK1g03224,.
ACBK1g03225,.
ACBK1g03226,Alsp-1-003568
ACBK1g03227,.
ACBK1g03228,Alsp-1-003569
ACBK1g03229,.
ACBK1g03230,.
ACBK1g03231,.
ACBK1g03232,.
ACBK1g03233,Alsp-1-003570
ACBK1g03234,Alsp-1-003571
ACBK1g03235,Alsp-1-003572
ACBK1g03236,Alsp-1-003578
ACBK1g03237,Alsp-1-003579
ACBK1g03238,.
ACBK1g03239,.
ACBK1g03240,Alsp-1-003580
ACBK1g03241,Alsp-1-003581
ACBK1g03242,Alsp-1-003582
ACBK1g03243,.
ACBK1g03244,Alsp-1-003584
ACBK1g03245,.
ACBK1g03246,Alsp-1-003586
ACBK1g03247,Alsp-1-003587
ACBK1g03248,Alsp-1-003588
ACBK1g03249,Alsp-1-003590
ACBK1g03250,.
ACBK1g03251,Alsp-1-003591
ACBK1g03252,.
ACBK1g03253,.
ACBK1g03254,.
ACBK1g03255,.
ACBK1g03256,.
ACBK1g03257,.
ACBK1g03258,.
ACBK1g03259,Alsp-1-003594
ACBK1g03260,.
ACBK1g03261,Alsp-1-003596
ACBK1g03262,.
ACBK1g03263,Alsp-1-003598
ACBK1g03264,.
ACBK1g03265,.
ACBK1g03266,.
ACBK1g03267,.
ACBK1g03268,.
ACBK1g03269,.
ACBK1g03270,Alsp-1-003600
ACBK1g03271,.
ACBK1g03272,Alsp-1-003601
ACBK1g03273,Alsp-1-003603
ACBK1g03274,.
ACBK1g03275,.
ACBK1g03276,.
ACBK1g03277,.
ACBK1g03278,.
ACBK1g03279,.
ACBK1g03280,.
ACBK1g03281,.
ACBK1g03282,.
ACBK1g03283,.
ACBK1g03284,.
ACBK1g03285,.
ACBK1g03286,.
ACBK1g03287,.
ACBK1g03288,.
ACBK1g03289,.
ACBK1g03290,.
ACBK1g03291,.
ACBK1g03292,Alsp-1-003610
ACBK1g03293,.
ACBK1g03294,.
ACBK1g03295,.
ACBK1g03296,.
ACBK1g03297,.
ACBK1g03298,.
ACBK1g03299,.
ACBK1g03300,.
ACBK1g03301,.
ACBK1g03302,.
ACBK1g03303,.
ACBK1g03304,.
ACBK1g03305,.
ACBK1g03306,.
ACBK1g03307,Alsp-1-003623
ACBK1g03308,Alsp-1-003624
ACBK1g03309,.
ACBK1g03310,.
ACBK1g03311,.
ACBK1g03312,Alsp-1-003625
ACBK1g03313,Alsp-1-003626
ACBK1g03314,Alsp-1-003628
ACBK1g03315,Alsp-1-003629
ACBK1g03316,Alsp-1-003630
ACBK1g03317,.
ACBK1g03318,.
ACBK1g03319,Alsp-1-003633
ACBK1g03320,Alsp-1-003634
ACBK1g03321,.
ACBK1g03322,.
ACBK1g03323,Alsp-1-003635
ACBK1g03324,Alsp-1-003636
ACBK1g03325,Alsp-1-003640
ACBK1g03326,Alsp-1-003641
ACBK1g03327,.
ACBK1g03328,.
ACBK1g03329,Alsp-1-003642
ACBK1g03330,Alsp-1-003644
ACBK1g03331,.
ACBK1g03332,Alsp-1-003646
ACBK1g03333,Alsp-1-003647
ACBK1g03334,Alsp-1-003648
ACBK1g03335,.
ACBK1g03336,.
ACBK1g03337,.
ACBK1g03338,Alsp-1-003649
ACBK1g03339,.
ACBK1g03340,.
ACBK1g03341,Alsp-1-003650
ACBK1g03342,Alsp-1-003653
ACBK1g03343,.
ACBK1g03344,Alsp-1-003654
ACBK1g03345,Alsp-1-003655
ACBK1g03346,Alsp-1-003656
ACBK1g03347,Alsp-1-003657
ACBK1g03348,.
ACBK1g03349,.
ACBK1g03350,.
ACBK1g03351,.
ACBK1g03352,Alsp-1-003659
ACBK1g03353,.
ACBK1g03354,Alsp-1-003661
ACBK1g03355,Alsp-1-003663
ACBK1g03356,Alsp-1-003664
ACBK1g03357,Alsp-1-003665
ACBK1g03358,.
ACBK1g03359,Alsp-1-003666
ACBK1g03360,Alsp-1-003668
ACBK1g03361,Alsp-1-003675
ACBK1g03362,Alsp-1-003685
ACBK1g03363,Alsp-1-003682
ACBK1g03364,Alsp-1-003681
ACBK1g03365,.
ACBK1g03366,Alsp-1-003679
ACBK1g03367,Alsp-1-003678
ACBK1g03368,.
ACBK1g03369,.
ACBK1g03370,.
ACBK1g03371,.
ACBK1g03372,.
ACBK1g03373,.
ACBK1g03374,.
ACBK1g03375,.
ACBK1g03376,Alsp-1-003688
ACBK1g03377,.
ACBK1g03378,Alsp-1-003689
ACBK1g03379,Alsp-1-003690
ACBK1g03380,Alsp-1-003691
ACBK1g03381,.
ACBK1g03382,.
ACBK1g03383,Alsp-1-003692
ACBK1g03384,Alsp-1-003693
ACBK1g03385,Alsp-1-003695
ACBK1g03386,.
ACBK1g03387,Alsp-1-003696
ACBK1g03388,Alsp-1-003697
ACBK1g03389,.
ACBK1g03390,.
ACBK1g03391,Alsp-1-003698
ACBK1g03392,Alsp-1-003699
ACBK1g03393,.
ACBK1g03394,.
ACBK1g03395,Alsp-1-003700
ACBK1g03396,Alsp-1-003701
ACBK1g03397,Alsp-1-003703
ACBK1g03398,Alsp-1-003704
ACBK1g03399,Alsp-1-003705
ACBK1g03400,.
ACBK1g03401,Alsp-1-003706
ACBK1g03402,Alsp-1-003707
ACBK1g03403,Alsp-1-003708
ACBK1g03404,Alsp-1-003709
ACBK1g03405,.
ACBK1g03406,.
ACBK1g03407,Alsp-1-003710
ACBK1g03408,.
ACBK1g03409,.
ACBK1g03410,Alsp-1-003712
ACBK1g03411,Alsp-1-003713
ACBK1g03412,Alsp-1-003714
ACBK1g03413,Alsp-1-003715
ACBK1g03414,Alsp-1-003717
ACBK1g03415,.
ACBK1g03416,Alsp-1-003720
ACBK1g03417,Alsp-1-003723
ACBK1g03418,.
ACBK1g03419,.
ACBK1g03420,Alsp-1-003724
ACBK1g03421,Alsp-1-003725
ACBK1g03422,Alsp-1-003728
ACBK1g03423,Alsp-1-003729
ACBK1g03424,Alsp-1-003731
ACBK1g03425,Alsp-1-003732
ACBK1g03426,Alsp-1-003733
ACBK1g03427,.
ACBK1g03428,.
ACBK1g03429,.
ACBK1g03430,.
ACBK1g03431,Alsp-1-003735
ACBK1g03432,Alsp-1-003736
ACBK1g03433,Alsp-1-003737
ACBK1g03434,.
ACBK1g03435,Alsp-1-003739
ACBK1g03436,Alsp-1-003742
ACBK1g03437,.
ACBK1g03438,.
ACBK1g03439,Alsp-1-003743
ACBK1g03440,Alsp-1-003744
ACBK1g03441,Alsp-1-003745
ACBK1g03442,Alsp-1-003746
ACBK1g03443,Alsp-1-003747
ACBK1g03444,.
ACBK1g03445,Alsp-1-003748
ACBK1g03446,Alsp-1-003749
ACBK1g03447,.
ACBK1g03448,.
ACBK1g03449,Alsp-1-003751
ACBK1g03450,.
ACBK1g03451,.
ACBK1g03452,.
ACBK1g03453,Alsp-1-003753
ACBK1g03454,Alsp-1-003754
ACBK1g03455,Alsp-1-003755
ACBK1g03456,Alsp-1-003756
ACBK1g03457,Alsp-1-003762
ACBK1g03458,Alsp-1-003768
ACBK1g03459,Alsp-1-003769
ACBK1g03460,Alsp-1-003770
ACBK1g03461,Alsp-1-003771
ACBK1g03462,Alsp-1-003772
ACBK1g03463,.
ACBK1g03464,.
ACBK1g03465,.
ACBK1g03466,.
ACBK1g03467,.
ACBK1g03468,.
ACBK1g03469,.
ACBK1g03470,.
ACBK1g03471,Alsp-1-003773
ACBK1g03472,Alsp-1-003774
ACBK1g03473,Alsp-1-003775
ACBK1g03474,.
ACBK1g03475,.
ACBK1g03476,Alsp-1-003777
ACBK1g03477,Alsp-1-003778
ACBK1g03478,Alsp-1-003779
ACBK1g03479,.
ACBK1g03480,Alsp-1-003781
ACBK1g03481,Alsp-1-003784
ACBK1g03482,Alsp-1-003785
ACBK1g03483,.
ACBK1g03484,Alsp-1-003786
ACBK1g03485,Alsp-1-003787
ACBK1g03486,Alsp-1-003788
ACBK1g03487,Alsp-1-003789
ACBK1g03488,.
ACBK1g03489,Alsp-1-003791
ACBK1g03490,Alsp-1-003794
ACBK1g03491,Alsp-1-003797
ACBK1g03492,Alsp-1-003798
ACBK1g03493,Alsp-1-003799
ACBK1g03494,Alsp-1-003802
ACBK1g03495,.
ACBK1g03496,.
ACBK1g03497,.
ACBK1g03498,.
ACBK1g03499,.
ACBK1g03500,Alsp-1-003807
ACBK1g03501,Alsp-1-003808
ACBK1g03502,Alsp-1-003809
ACBK1g03503,Alsp-1-003810
ACBK1g03504,Alsp-1-003811
ACBK1g03505,.
ACBK1g03506,Alsp-1-003812
ACBK1g03507,.
ACBK1g03508,Alsp-1-003813
ACBK1g03509,.
ACBK1g03510,Alsp-1-003816
ACBK1g03511,Alsp-1-003819
ACBK1g03512,Alsp-1-003820
ACBK1g03513,Alsp-1-003821
ACBK1g03514,Alsp-1-003822
ACBK1g03515,.
ACBK1g03516,.
ACBK1g03517,.
ACBK1g03518,Alsp-1-003824
ACBK1g03519,Alsp-1-003825
ACBK1g03520,Alsp-1-003831
ACBK1g03521,Alsp-1-003832
ACBK1g03522,Alsp-1-003834
ACBK1g03523,.
ACBK1g03524,Alsp-1-003838
ACBK1g03525,Alsp-1-003839
ACBK1g03526,.
ACBK1g03527,.
ACBK1g03528,.
ACBK1g03529,.
ACBK1g03530,.
ACBK1g03531,.
ACBK1g03532,.
ACBK1g03533,.
ACBK1g03534,.
ACBK1g03535,.
ACBK1g03536,Alsp-1-003840
ACBK1g03537,Alsp-1-003841
ACBK1g03538,Alsp-1-003842
ACBK1g03539,.
ACBK1g03540,.
ACBK1g03541,.
ACBK1g03542,.
ACBK1g03543,.
ACBK1g03544,.
ACBK1g03545,Alsp-1-003843
ACBK1g03546,.
ACBK1g03547,.
ACBK1g03548,.
ACBK1g03549,Alsp-1-003844
ACBK1g03550,.
ACBK1g03551,Alsp-1-003853
ACBK1g03552,Alsp-1-003854
ACBK1g03553,.
ACBK1g03554,.
ACBK1g03555,Alsp-1-003856
ACBK1g03556,.
ACBK1g03557,.
ACBK1g03558,.
ACBK1g03559,.
ACBK1g03560,.
ACBK1g03561,.
ACBK1g03562,.
ACBK1g03563,.
ACBK1g03564,.
ACBK1g03565,.
ACBK1g03566,.
ACBK1g03567,.
ACBK1g03568,.
ACBK1g03569,.
ACBK1g03570,.
ACBK1g03571,.
ACBK1g03572,Alsp-1-003857
ACBK1g03573,.
ACBK1g03574,Alsp-1-003858
ACBK1g03575,Alsp-1-003859
ACBK1g03576,Alsp-1-003860
ACBK1g03577,Alsp-1-003861
ACBK1g03578,Alsp-1-003864
ACBK1g03579,.
ACBK1g03580,Alsp-1-003865
ACBK1g03581,Alsp-1-003866
ACBK1g03582,Alsp-1-003868
ACBK1g03583,.
ACBK1g03584,Alsp-1-003870
ACBK1g03585,.
ACBK1g03586,.
ACBK1g03587,Alsp-1-003871
ACBK1g03588,.
ACBK1g03589,Alsp-1-003872
ACBK1g03590,.
ACBK1g03591,Alsp-1-003874
ACBK1g03592,Alsp-1-003875
ACBK1g03593,Alsp-1-003876
ACBK1g03594,Alsp-1-003877
ACBK1g03595,Alsp-1-003880
ACBK1g03596,Alsp-1-003884
ACBK1g03597,Alsp-1-003885
ACBK1g03598,Alsp-1-003886
ACBK1g03599,Alsp-1-003887
ACBK1g03600,Alsp-1-003888
ACBK1g03601,Alsp-1-003889
ACBK1g03602,Alsp-1-003890
ACBK1g03603,Alsp-1-003891
ACBK1g03604,Alsp-1-003892
ACBK1g03605,.
ACBK1g03606,.
ACBK1g03607,Alsp-1-003897
ACBK1g03608,Alsp-1-003898
ACBK1g03609,.
ACBK1g03610,Alsp-1-003899
ACBK1g03611,.
ACBK1g03612,.
ACBK1g03613,.
ACBK1g03614,.
ACBK1g03615,Alsp-1-003900
ACBK1g03616,Alsp-1-003901
ACBK1g03617,Alsp-1-003902
ACBK1g03618,Alsp-1-003904
ACBK1g03619,.
ACBK1g03620,Alsp-1-003905
ACBK1g03621,Alsp-1-003906
ACBK1g03622,Alsp-1-003907
ACBK1g03623,Alsp-1-003908
ACBK1g03624,Alsp-1-003910
ACBK1g03625,Alsp-1-003911
ACBK1g03626,Alsp-1-003912
ACBK1g03627,Alsp-1-003913
ACBK1g03628,Alsp-1-003914
ACBK1g03629,Alsp-1-003915
ACBK1g03630,Alsp-1-003917
ACBK1g03631,Alsp-1-003920
ACBK1g03632,Alsp-1-003921
ACBK1g03633,.
ACBK1g03634,Alsp-1-003922
ACBK1g03635,Alsp-1-003923
ACBK1g03636,Alsp-1-003924
ACBK1g03637,Alsp-1-003926
ACBK1g03638,Alsp-1-003927
ACBK1g03639,Alsp-1-003928
ACBK1g03640,.
ACBK1g03641,Alsp-1-003931
ACBK1g03642,Alsp-1-003932
ACBK1g03643,Alsp-1-003933
ACBK1g03644,Alsp-1-003935
ACBK1g03645,Alsp-1-003936
ACBK1g03646,Alsp-1-003937
ACBK1g03647,Alsp-1-003938
ACBK1g03648,Alsp-1-003939
ACBK1g03649,.
ACBK1g03650,.
ACBK1g03651,.
ACBK1g03652,Alsp-1-003942
ACBK1g03653,Alsp-1-003944
ACBK1g03654,Alsp-1-003945
ACBK1g03655,Alsp-1-003946
ACBK1g03656,Alsp-1-003947
ACBK1g03657,Alsp-1-003948
ACBK1g03658,.
ACBK1g03659,.
ACBK1g03660,Alsp-1-003950
ACBK1g03661,.
ACBK1g03662,Alsp-1-003951
ACBK1g03663,Alsp-1-003953
ACBK1g03664,.
ACBK1g03665,Alsp-1-003954
ACBK1g03666,.
ACBK1g03667,Alsp-1-003957
ACBK1g03668,Alsp-1-003958
ACBK1g03669,Alsp-1-003959
ACBK1g03670,Alsp-1-003960
ACBK1g03671,Alsp-1-003961
ACBK1g03672,Alsp-1-003965
ACBK1g03673,Alsp-1-003966
ACBK1g03674,Alsp-1-003967
ACBK1g03675,.
ACBK1g03676,Alsp-1-003968
ACBK1g03677,Alsp-1-003973
ACBK1g03678,Alsp-1-003974
ACBK1g03679,Alsp-1-003975
ACBK1g03680,Alsp-1-003979
ACBK1g03681,Alsp-1-003981
ACBK1g03682,.
ACBK1g03683,.
ACBK1g03684,.
ACBK1g03685,Alsp-1-003983
ACBK1g03686,Alsp-1-003984
ACBK1g03687,Alsp-1-003985
ACBK1g03688,Alsp-1-003986
ACBK1g03689,Alsp-1-003987
ACBK1g03690,Alsp-1-003988
ACBK1g03691,.
ACBK1g03692,Alsp-1-003990
ACBK1g03693,.
ACBK1g03694,Alsp-1-003991
ACBK1g03695,Alsp-1-003992
ACBK1g03696,Alsp-1-003993
ACBK1g03697,Alsp-1-003994
ACBK1g03698,Alsp-1-003995
ACBK1g03699,Alsp-1-003996
ACBK1g03700,.
ACBK1g03701,Alsp-1-003998
ACBK1g03702,.
ACBK1g03703,Alsp-1-004000
ACBK1g03704,Alsp-1-004001
ACBK1g03705,Alsp-1-004002
ACBK1g03706,Alsp-1-004003
ACBK1g03707,.
ACBK1g03708,.
ACBK1g03709,Alsp-1-004004
ACBK1g03710,.
ACBK1g03711,Alsp-1-004005
ACBK1g03712,Alsp-1-004006
ACBK1g03713,Alsp-1-004007
ACBK1g03714,Alsp-1-004008
ACBK1g03715,Alsp-1-004009
ACBK1g03716,.
ACBK1g03717,.
ACBK1g03718,Alsp-1-004014
ACBK1g03719,Alsp-1-004015
ACBK1g03720,Alsp-1-004017
ACBK1g03721,Alsp-1-004018
ACBK1g03722,Alsp-1-004019
ACBK1g03723,Alsp-1-004025
ACBK1g03724,.
ACBK1g03725,Alsp-1-004027
ACBK1g03726,Alsp-1-004028
ACBK1g03727,Alsp-1-004029
ACBK1g03728,Alsp-1-004030
ACBK1g03729,.
ACBK1g03730,Alsp-1-004031
ACBK1g03731,Alsp-1-004032
ACBK1g03732,.
ACBK1g03733,Alsp-1-004041
ACBK1g03734,.
ACBK1g03735,Alsp-1-004046
ACBK1g03736,Alsp-1-004047
ACBK1g03737,Alsp-1-004048
ACBK1g03738,Alsp-1-004050
ACBK1g03739,Alsp-1-004063
ACBK1g03740,Alsp-1-004064
ACBK1g03741,Alsp-1-004065
ACBK1g03742,.
ACBK1g03743,.
ACBK1g03744,Alsp-1-004069
ACBK1g03745,Alsp-1-004070
ACBK1g03746,Alsp-1-004072
ACBK1g03747,.
ACBK1g03748,Alsp-1-004073
ACBK1g03749,.
ACBK1g03750,Alsp-1-004075
ACBK1g03751,Alsp-1-004076
ACBK1g03752,Alsp-1-004077
ACBK1g03753,Alsp-1-004078
ACBK1g03754,Alsp-1-004079
ACBK1g03755,.
ACBK1g03756,Alsp-1-004083
ACBK1g03757,Alsp-1-004084
ACBK1g03758,Alsp-1-004085
ACBK1g03759,Alsp-1-004086
ACBK1g03760,Alsp-1-004089
ACBK1g03761,Alsp-1-004090
ACBK1g03762,.
ACBK1g03763,.
ACBK1g03764,.
ACBK1g03765,Alsp-1-004091
ACBK1g03766,Alsp-1-004092
ACBK1g03767,Alsp-1-004093
ACBK1g03768,Alsp-1-004095
ACBK1g03769,Alsp-1-004097
ACBK1g03770,Alsp-1-004100
ACBK1g03771,Alsp-1-004101
ACBK1g03772,Alsp-1-004103
ACBK1g03773,Alsp-1-004104
ACBK1g03774,.
ACBK1g03775,.
ACBK1g03776,Alsp-1-004105
ACBK1g03777,Alsp-1-004106
ACBK1g03778,Alsp-1-004107
ACBK1g03779,Alsp-1-004108
ACBK1g03780,Alsp-1-004109
ACBK1g03781,Alsp-1-004110
ACBK1g03782,Alsp-1-004111
ACBK1g03783,Alsp-1-004112
ACBK1g03784,Alsp-1-004113
ACBK1g03785,Alsp-1-004114
ACBK1g03786,Alsp-1-004117
ACBK1g03787,Alsp-1-004118
ACBK1g03788,Alsp-1-004120
ACBK1g03789,Alsp-1-004121
ACBK1g03790,.
ACBK1g03791,Alsp-1-004125
ACBK1g03792,Alsp-1-004126
ACBK1g03793,Alsp-1-004127
ACBK1g03794,Alsp-1-004128
ACBK1g03795,.
ACBK1g03796,Alsp-1-004129
ACBK1g03797,Alsp-1-004130
ACBK1g03798,Alsp-1-004132
ACBK1g03799,Alsp-1-004133
ACBK1g03800,Alsp-1-004135
ACBK1g03801,Alsp-1-004136
ACBK1g03802,Alsp-1-004137
ACBK1g03803,Alsp-1-004138
ACBK1g03804,Alsp-1-004139
ACBK1g03805,Alsp-1-004140
ACBK1g03806,Alsp-1-004141
ACBK1g03807,Alsp-1-004142
ACBK1g03808,.
ACBK1g03809,Alsp-1-004143
ACBK1g03810,Alsp-1-004147
ACBK1g03811,Alsp-1-004148
ACBK1g03812,Alsp-1-004149
ACBK1g03813,Alsp-1-004150
ACBK1g03814,Alsp-1-004151
ACBK1g03815,Alsp-1-004155
ACBK1g03816,Alsp-1-004156
ACBK1g03817,Alsp-1-004157
ACBK1g03818,Alsp-1-004158
ACBK1g03819,Alsp-1-004159
ACBK1g03820,Alsp-1-004160
ACBK1g03821,Alsp-1-004161
ACBK1g03822,Alsp-1-004162
ACBK1g03823,Alsp-1-004163
ACBK1g03824,.
ACBK1g03825,Alsp-1-004164
ACBK1g03826,Alsp-1-004165
ACBK1g03827,Alsp-1-004167
ACBK1g03828,Alsp-1-004168
ACBK1g03829,Alsp-1-004169
ACBK1g03830,Alsp-1-004170
ACBK1g03831,Alsp-1-004171
ACBK1g03832,Alsp-1-004173
ACBK1g03833,Alsp-1-004174
ACBK1g03834,.
ACBK1g03835,Alsp-1-004176
ACBK1g03836,Alsp-1-004178
ACBK1g03837,Alsp-1-004179
ACBK1g03838,Alsp-1-004180
ACBK1g03839,Alsp-1-004181
ACBK1g03840,Alsp-1-004182
ACBK1g03841,Alsp-1-004183
ACBK1g03842,Alsp-1-004184
ACBK1g03843,Alsp-1-004185
ACBK1g03844,Alsp-1-004186
ACBK1g03845,Alsp-1-004188
ACBK1g03846,.
ACBK1g03847,Alsp-1-004193
ACBK1g03848,Alsp-1-004194
ACBK1g03849,Alsp-1-004202
ACBK1g03850,Alsp-1-004205
ACBK1g03851,.
ACBK1g03852,Alsp-1-004211
ACBK1g03853,.
ACBK1g03854,.
ACBK1g03855,Alsp-1-004215
ACBK1g03856,Alsp-1-004217
ACBK1g03857,Alsp-1-004218
ACBK1g03858,Alsp-1-004219
ACBK1g03859,Alsp-1-004220
ACBK1g03860,.
ACBK1g03861,Alsp-1-004222
ACBK1g03862,.
ACBK1g03863,Alsp-1-004229
ACBK1g03864,Alsp-1-004239
ACBK1g03865,Alsp-1-004240
ACBK1g03866,Alsp-1-004241
ACBK1g03867,.
ACBK1g03868,Alsp-1-004242
ACBK1g03869,Alsp-1-004243
ACBK1g03870,Alsp-1-004244
ACBK1g03871,Alsp-1-004245
ACBK1g03872,Alsp-1-004246
ACBK1g03873,Alsp-1-004247
ACBK1g03874,.
ACBK1g03875,Alsp-1-004249
ACBK1g03876,Alsp-1-004250
ACBK1g03877,Alsp-1-004251
ACBK1g03878,Alsp-1-004252
ACBK1g03879,Alsp-1-004253
ACBK1g03880,Alsp-1-004254
ACBK1g03881,Alsp-1-004255
ACBK1g03882,.
ACBK1g03883,Alsp-1-004256
ACBK1g03884,Alsp-1-004258
ACBK1g03885,Alsp-1-004259
ACBK1g03886,.
ACBK1g03887,Alsp-1-004260
ACBK1g03888,Alsp-1-004261
ACBK1g03889,.
ACBK1g03890,Alsp-1-004262
ACBK1g03891,.
ACBK1g03892,Alsp-1-004264
ACBK1g03893,Alsp-1-004266
ACBK1g03894,Alsp-1-004267
ACBK1g03895,.
ACBK1g03896,Alsp-1-004269
ACBK1g03897,Alsp-1-004270
ACBK1g03898,Alsp-1-004273
ACBK1g03899,Alsp-1-004274
ACBK1g03900,Alsp-1-004275
ACBK1g03901,Alsp-1-004277
ACBK1g03902,Alsp-1-004279
ACBK1g03903,Alsp-1-004280
ACBK1g03904,Alsp-1-004281
ACBK1g03905,Alsp-1-004282
ACBK1g03906,Alsp-1-004284
ACBK1g03907,Alsp-1-004285
ACBK1g03908,Alsp-1-004286
ACBK1g03909,Alsp-1-004287
ACBK1g03910,Alsp-1-004288
ACBK1g03911,Alsp-1-004290
ACBK1g03912,Alsp-1-004291
ACBK1g03913,Alsp-1-004292
ACBK1g03914,Alsp-1-004293
ACBK1g03915,Alsp-1-004295
ACBK1g03916,Alsp-1-004296
ACBK1g03917,.
ACBK1g03918,.
ACBK1g03919,Alsp-1-004297
ACBK1g03920,Alsp-1-004298
ACBK1g03921,Alsp-1-004299
ACBK1g03922,Alsp-1-004300
ACBK1g03923,Alsp-1-004301
ACBK1g03924,Alsp-1-004302
ACBK1g03925,Alsp-1-004303
ACBK1g03926,Alsp-1-004304
ACBK1g03927,Alsp-1-004305
ACBK1g03928,Alsp-1-004306
ACBK1g03929,Alsp-1-004307
ACBK1g03930,Alsp-1-004308
ACBK1g03931,Alsp-1-004313
ACBK1g03932,Alsp-1-004314
ACBK1g03933,Alsp-1-004316
ACBK1g03934,.
ACBK1g03935,.
ACBK1g03936,.
ACBK1g03937,.
ACBK1g03938,Alsp-1-004318
ACBK1g03939,Alsp-1-004320
ACBK1g03940,Alsp-1-004324
ACBK1g03941,Alsp-1-004328
ACBK1g03942,.
ACBK1g03943,Alsp-1-004329
ACBK1g03944,Alsp-1-004330
ACBK1g03945,Alsp-1-004331
ACBK1g03946,.
ACBK1g03947,Alsp-1-004332
ACBK1g03948,Alsp-1-004333
ACBK1g03949,Alsp-1-004334
ACBK1g03950,Alsp-1-004335
ACBK1g03951,Alsp-1-004336
ACBK1g03952,Alsp-1-004337
ACBK1g03953,Alsp-1-004338
ACBK1g03954,Alsp-1-004339
ACBK1g03955,.
ACBK1g03956,Alsp-1-004340
ACBK1g03957,Alsp-1-004342
ACBK1g03958,Alsp-1-004344
ACBK1g03959,Alsp-1-004345
ACBK1g03960,Alsp-1-004348
ACBK1g03961,Alsp-1-004349
ACBK1g03962,Alsp-1-004350
ACBK1g03963,Alsp-1-004352
ACBK1g03964,.
ACBK1g03965,.
ACBK1g03966,.
ACBK1g03967,.
ACBK1g03968,.
ACBK1g03969,.
ACBK1g03970,.
ACBK1g03971,.
ACBK1g03972,Alsp-1-004354
ACBK1g03973,Alsp-1-004355
ACBK1g03974,Alsp-1-004356
ACBK1g03975,Alsp-1-004357
ACBK1g03976,Alsp-1-004358
ACBK1g03977,.
ACBK1g03978,Alsp-1-004361
ACBK1g03979,.
ACBK1g03980,Alsp-1-004363
ACBK1g03981,Alsp-1-004364
ACBK1g03982,Alsp-1-004367
ACBK1g03983,Alsp-1-004368
ACBK1g03984,Alsp-1-004369
ACBK1g03985,Alsp-1-004370
ACBK1g03986,Alsp-1-004371
ACBK1g03987,Alsp-1-004373
ACBK1g03988,Alsp-1-004374
ACBK1g03989,Alsp-1-004375
ACBK1g03990,Alsp-1-004376
ACBK1g03991,Alsp-1-004377
ACBK1g03992,Alsp-1-004378
ACBK1g03993,.
ACBK1g03994,Alsp-1-004379
ACBK1g03995,Alsp-1-004380
ACBK1g03996,.
ACBK1g03997,Alsp-1-004382
ACBK1g03998,Alsp-1-004384
ACBK1g03999,Alsp-1-004385
ACBK1g04000,Alsp-1-004386
ACBK1g04001,Alsp-1-004389
ACBK1g04002,Alsp-1-004390
ACBK1g04003,Alsp-1-004391
ACBK1g04004,Alsp-1-004392
ACBK1g04005,.
ACBK1g04006,Alsp-1-004393
ACBK1g04007,Alsp-1-004394
ACBK1g04008,Alsp-1-004396
ACBK1g04009,Alsp-1-004398
ACBK1g04010,Alsp-1-004399
ACBK1g04011,Alsp-1-004400
ACBK1g04012,Alsp-1-004401
ACBK1g04013,Alsp-1-004402
ACBK1g04014,Alsp-1-004403
ACBK1g04015,.
ACBK1g04016,.
ACBK1g04017,.
ACBK1g04018,Alsp-1-004404
ACBK1g04019,Alsp-1-004405
ACBK1g04020,Alsp-1-004407
ACBK1g04021,Alsp-1-004408
ACBK1g04022,Alsp-1-004409
ACBK1g04023,Alsp-1-004410
ACBK1g04024,.
ACBK1g04025,Alsp-1-004411
ACBK1g04026,Alsp-1-004412
ACBK1g04027,Alsp-1-004413
ACBK1g04028,.
ACBK1g04029,.
ACBK1g04030,Alsp-1-004416
ACBK1g04031,Alsp-1-004419
ACBK1g04032,.
ACBK1g04033,Alsp-1-004420
ACBK1g04034,Alsp-1-004421
ACBK1g04035,.
ACBK1g04036,.
ACBK1g04037,Alsp-1-004423
ACBK1g04038,Alsp-1-004424
